tstamp,gaze_x,gaze_y
21982284.530842,0.129612,0.510404
21982319.316601,0.129612,0.509180
21982331.094369,0.129612,0.509180
21982364.248207,0.130558,0.509180
21982375.526626,0.130558,0.510404
21982409.421232,0.433302,0.494492
21982419.176614,0.430464,0.493268
21982439.373703,0.484390,0.490820
21982466.343912,0.491012,0.489596
21982483.863079,0.490066,0.490820
21982509.661893,0.487228,0.490820
21982528.283288,0.483444,0.495716
21982555.411914,0.482498,0.496940
21982574.140408,0.487228,0.498164
21982589.336865,0.489120,0.499388
21982620.371928,0.489120,0.499388
21982633.807499,0.491012,0.495716
21982644.414764,0.491012,0.494492
21982663.236523,0.491958,0.492044
21982678.208965,0.492904,0.493268
21982690.647177,0.491958,0.496940
21982710.547066,0.491012,0.496940
21982725.769406,0.491958,0.496940
21982739.857835,0.492904,0.496940
21982771.840278,0.491012,0.494492
21982781.900445,0.493851,0.494492
21982798.333896,0.442763,0.492044
21982812.860539,0.239357,0.484700
21982829.858491,0.197729,0.482252
21982844.286513,0.157048,0.481028
21982860.615989,0.154210,0.481028
21982873.587018,0.152318,0.481028
21982891.074056,0.144749,0.481028
21982917.523496,0.143803,0.479804
21982933.274637,0.142857,0.479804
21982947.952111,0.143803,0.478580
21982960.538030,0.142857,0.479804
21982978.365107,0.140965,0.482252
21982994.127850,0.136235,0.474908
21983006.595960,0.137181,0.473684
21983025.627455,0.142857,0.472460
21983039.611909,0.143803,0.472460
21983068.995862,0.139073,0.472460
21983083.303398,0.140965,0.474908
21983095.842907,0.143803,0.474908
21983113.669538,0.176916,0.470012
21983130.172603,0.494797,0.407589
21983140.180560,0.558184,0.395349
21983159.734609,0.602649,0.388005
21983174.247417,0.618732,0.384333
21983184.299552,0.638600,0.369645
21983218.832737,0.656575,0.372093
21983231.231233,0.658467,0.374541
21983249.127031,0.666036,0.374541
21983264.111076,0.665090,0.370869
21983275.347994,0.668874,0.367197
21983293.167931,0.701987,0.378213
21983309.117651,0.712394,0.381885
21983319.613801,0.717124,0.383109
21983338.815762,0.724693,0.391677
21983366.494163,0.738884,0.392901
21983384.321686,0.736991,0.386781
21983399.176319,0.734153,0.378213
21983409.750116,0.731315,0.376989
21983428.473254,0.730369,0.376989
21983442.908417,0.728477,0.380661
21983455.569751,0.724693,0.385557
21983474.013540,0.716178,0.394125
21983490.936969,0.717124,0.392901
21983521.200919,0.714286,0.401469
21983533.768988,0.717124,0.400245
21983544.205341,0.722800,0.395349
21983563.272535,0.719962,0.396573
21983577.561329,0.716178,0.446756
21983591.279374,0.693472,0.660955
21983610.298820,0.692526,0.664627
21983625.277955,0.693472,0.663403
21983641.516843,0.693472,0.669523
21983670.387614,0.693472,0.669523
21983679.304053,0.693472,0.669523
21983698.450233,0.676443,0.660955
21983712.843448,0.654683,0.638923
21983726.746685,0.658467,0.642595
21983746.655945,0.660360,0.643819
21983760.422184,0.657521,0.640147
21983772.983560,0.655629,0.637699
21983790.617412,0.654683,0.636475
21983816.936995,0.648061,0.620563
21983833.356612,0.650899,0.629131
21983847.774371,0.644276,0.624235
21983860.624021,0.639546,0.625459
21983878.774627,0.635762,0.624235
21983893.855953,0.632923,0.625459
21983905.627919,0.631031,0.627907
21983924.795073,0.629139,0.625459
21983939.120012,0.630085,0.625459
21983969.055971,0.493851,0.574051
21983983.255515,0.513718,0.581395
21983995.989142,0.432356,0.548348
21984014.329402,0.338694,0.504284
21984029.488821,0.328288,0.493268
21984040.377221,0.317881,0.485924
21984058.983889,0.296121,0.474908
21984074.484686,0.295175,0.474908
21984084.930410,0.291391,0.474908
21984118.943272,0.290445,0.473684
21984131.041890,0.285714,0.476132
21984149.442840,0.278146,0.479804
21984164.417067,0.258278,0.485924
21984175.372850,0.245033,0.490820
21984193.103538,0.251656,0.488372
21984209.720842,0.245033,0.488372
21984219.365108,0.236518,0.484700
21984239.221711,0.227058,0.482252
21984266.889849,0.227058,0.482252
21984284.415710,0.227058,0.478580
21984298.841501,0.245033,0.470012
21984309.367549,0.346263,0.418605
21984328.207604,0.386944,0.395349
21984343.337571,0.413434,0.381885
21984356.259513,0.413434,0.381885
21984375.195511,0.409650,0.381885
21984390.013106,0.411542,0.380661
21984422.329341,0.420057,0.376989
21984433.209708,0.418165,0.376989
21984444.626463,0.459792,0.379437
21984463.107290,0.474929,0.379437
21984477.912837,0.484390,0.376989
21984492.628241,0.484390,0.375765
21984510.019336,0.496689,0.363525
21984524.792306,0.495743,0.367197
21984539.524222,0.494797,0.369645
21984569.090689,0.492904,0.372093
21984579.747041,0.491012,0.368421
21984598.295698,0.468307,0.370869
21984612.729967,0.468307,0.373317
21984626.521196,0.460738,0.373317
21984643.909614,0.459792,0.372093
21984660.364931,0.457900,0.376989
21984670.607167,0.457900,0.379437
21984690.155860,0.456008,0.379437
21984716.372806,0.454115,0.383109
21984732.960659,0.453169,0.383109
21984748.219590,0.451277,0.381885
21984760.623441,0.450331,0.380661
21984779.195303,0.449385,0.381885
21984794.430137,0.449385,0.380661
