tstamp,gaze_x,gaze_y
22145030.261719,0.554399,0.607099
22145061.449398,0.556291,0.607099
22145075.089350,0.560076,0.607099
22145089.169300,0.557237,0.613219
22145106.621977,0.556291,0.611995
22145123.504797,0.556291,0.613219
22145132.311906,0.555345,0.611995
22145152.716500,0.554399,0.610771
22145165.411303,0.552507,0.611995
22145176.716496,0.539262,0.605875
22145210.916335,0.458846,0.553244
22145224.021684,0.467360,0.559364
22145241.630993,0.440870,0.537332
22145256.547654,0.403974,0.505508
22145268.699376,0.360454,0.466340
22145287.601460,0.297067,0.408813
22145301.924614,0.298013,0.410037
22145312.391757,0.298959,0.411261
22145330.532992,0.300851,0.412485
22145358.696908,0.301798,0.413709
22145377.018426,0.300851,0.411261
22145391.224218,0.300851,0.413709
22145403.470097,0.300851,0.416157
22145421.526545,0.298959,0.418605
22145436.894361,0.297067,0.421053
22145446.983980,0.295175,0.422277
22145465.464361,0.295175,0.422277
22145480.887512,0.296121,0.424725
22145513.188128,0.298013,0.421053
22145526.500535,0.298959,0.421053
22145537.948527,0.301798,0.419829
22145571.450884,0.308420,0.416157
22145582.427640,0.310312,0.414933
22145615.428862,0.384106,0.401469
22145627.739001,0.399243,0.400245
22145661.714825,0.425733,0.397797
22145672.581358,0.448439,0.389229
22145705.077877,0.438032,0.394125
22145719.048050,0.438032,0.395349
22145739.026033,0.437086,0.396573
22145752.089435,0.438032,0.395349
22145762.460636,0.438978,0.394125
22145780.746453,0.438978,0.394125
22145808.210210,0.445601,0.388005
22145824.602161,0.445601,0.388005
22145840.065473,0.444655,0.388005
22145854.490818,0.446547,0.386781
22145872.341100,0.448439,0.384333
22145888.646032,0.447493,0.380661
22145902.610851,0.446547,0.383109
22145915.514051,0.445601,0.383109
22145930.352619,0.440870,0.384333
22145961.480055,0.438978,0.384333
22145975.204347,0.440870,0.386781
22145988.899187,0.439924,0.386781
22146006.765980,0.439924,0.386781
22146022.361828,0.442763,0.385557
22146032.307310,0.436140,0.385557
22146052.254947,0.428571,0.385557
22146065.393319,0.291391,0.364749
22146076.900662,0.286660,0.364749
22146111.118796,0.274361,0.361077
22146123.751571,0.273415,0.359853
22146142.145381,0.275307,0.364749
22146159.289255,0.274361,0.373317
22146169.070519,0.277200,0.358629
22146186.411634,0.276254,0.373317
22146201.792837,0.274361,0.370869
22146212.396532,0.275307,0.370869
22146230.293224,0.276254,0.372093
22146258.961398,0.274361,0.370869
22146276.095902,0.270577,0.369645
22146290.461896,0.268685,0.372093
22146302.828262,0.268685,0.375765
22146321.423774,0.268685,0.375765
22146336.582301,0.270577,0.380661
22146348.323030,0.270577,0.380661
22146365.196034,0.270577,0.381885
22146380.804822,0.269631,0.380661
22146412.937204,0.269631,0.380661
22146425.468681,0.267739,0.379437
22146438.413382,0.267739,0.384333
22146455.520664,0.268685,0.383109
22146471.070548,0.268685,0.384333
22146482.625639,0.268685,0.383109
22146501.397865,0.269631,0.383109
22146517.448884,0.270577,0.386781
22146527.564832,0.269631,0.385557
22146561.458546,0.273415,0.383109
22146571.829300,0.273415,0.384333
22146590.382419,0.268685,0.392901
22146605.763623,0.268685,0.390453
22146618.574003,0.269631,0.390453
22146637.968296,0.270577,0.383109
22146653.337004,0.272469,0.381885
22146662.339569,0.273415,0.380661
22146685.100787,0.275307,0.379437
22146707.910199,0.273415,0.378213
22146725.371801,0.255440,0.383109
22146740.705256,0.231788,0.385557
22146755.675913,0.220435,0.385557
22146772.859950,0.205298,0.380661
22146788.001965,0.192053,0.372093
22146797.432926,0.189215,0.370869
22146816.355090,0.190161,0.375765
22146830.291796,0.192999,0.373317
22146861.325966,0.192053,0.373317
22146875.168514,0.192053,0.369645
22146889.025341,0.192053,0.369645
22146906.951485,0.189215,0.368421
22146922.342505,0.185430,0.370869
22146933.419667,0.185430,0.369645
22146951.759927,0.188269,0.369645
22146965.248601,0.189215,0.370869
22146977.294563,0.191107,0.372093
22147010.948197,0.192999,0.375765
22147023.357849,0.193945,0.376989
22147041.425452,0.193945,0.379437
22147055.769134,0.193945,0.381885
22147068.172538,0.195837,0.376989
22147086.893892,0.195837,0.375765
22147101.342442,0.195837,0.379437
22147112.731975,0.195837,0.379437
22147130.223922,0.199622,0.384333
22147159.382074,0.209082,0.386781
22147176.199743,0.223273,0.385557
22147190.670605,0.222327,0.385557
22147204.193640,0.230842,0.380661
22147221.193378,0.245979,0.376989
22147236.304156,0.251656,0.379437
22147247.459857,0.255440,0.376989
22147266.480642,0.259224,0.380661
22147281.425416,0.263009,0.388005
22147312.056181,0.261116,0.380661
22147325.369927,0.261116,0.374541
22147338.063837,0.261116,0.373317
22147355.383086,0.262062,0.375765
22147370.904411,0.262062,0.375765
22147382.396581,0.263955,0.376989
22147402.262556,0.266793,0.378213
22147418.525541,0.267739,0.380661
22147430.668784,0.267739,0.381885
22147461.230380,0.267739,0.381885
22147472.015697,0.266793,0.388005
22147505.732698,0.331126,0.414933
22147518.819305,0.351939,0.418605
22147553.224417,0.439924,0.450428
22147561.481751,0.485336,0.458996
22147607.669539,0.612110,0.499388
22147624.813413,0.614002,0.488372
22147640.418632,0.608325,0.488372
22147654.349090,0.611164,0.492044
22147672.726835,0.611164,0.492044
22147687.552462,0.612110,0.494492
22147697.244030,0.612110,0.489596
22147716.173334,0.613056,0.490820
22147730.647320,0.616840,0.481028
22147761.160275,0.614948,0.474908
22147775.904685,0.609272,0.476132
22147790.649096,0.611164,0.476132
22147807.471673,0.611164,0.477356
22147822.470444,0.613056,0.477356
22147833.360182,0.614002,0.477356
22147851.521944,0.613056,0.481028
22147864.836136,0.613056,0.483476
22147877.484084,0.618732,0.501836
22147911.716944,0.623463,0.523868
22147922.919055,0.626301,0.539780
22147941.774729,0.630085,0.560588
22147955.530258,0.631031,0.574051
22147968.067983,0.628193,0.577723
22147986.519804,0.628193,0.576499
22148001.809527,0.628193,0.575275
22148012.465433,0.626301,0.572827
22148030.889587,0.625355,0.574051
22148058.879468,0.631977,0.576499
22148076.238879,0.637654,0.575275
