tstamp,gaze_x,gaze_y
22176620.323734,0.335856,0.503060
22176631.697203,0.335856,0.503060
22176649.115518,0.333964,0.498164
22176664.124106,0.330180,0.494492
22176677.088888,0.327342,0.490820
22176712.517688,0.509934,0.466340
22176725.898817,0.489120,0.467564
22176742.010079,0.604541,0.443084
22176754.725409,0.659413,0.429621
22176766.267559,0.725639,0.412485
22176783.929079,0.760643,0.381885
22176798.839939,0.801324,0.362301
22176812.645448,0.804163,0.356181
22176832.101323,0.807001,0.353733
22176859.472707,0.809839,0.345165
22176876.058328,0.809839,0.345165
22176891.937542,0.801324,0.350061
22176901.999494,0.798486,0.350061
22176919.124626,0.801324,0.348837
22176933.737394,0.818354,0.352509
22176947.384040,0.822138,0.352509
22176980.043884,0.824030,0.352509
22177011.948234,0.854305,0.368421
22177025.965263,0.862819,0.372093
22177036.837598,0.859981,0.372093
22177053.844922,0.854305,0.367197
22177068.951684,0.846736,0.361077
22177082.015978,0.832545,0.351285
22177099.069711,0.826868,0.346389
22177115.670951,0.824030,0.346389
22177132.282008,0.833491,0.363525
