tstamp,mouse_x,mouse_y
1430003885709,0.571429,0.292534
1430003885794,0.574267,0.29743
1430003885927,0.578051,0.307222
1430003886048,0.579943,0.329253
1430003886111,0.580889,0.341493
1430003886189,0.580889,0.351285
1430003886318,0.580889,0.370869
1430003886451,0.579943,0.389229
1430003886593,0.573321,0.421053
1430003886726,0.550615,0.479804
1430003886848,0.51088,0.5459
1430003886998,0.485336,0.609547
1430003887122,0.490066,0.658507
1430003887243,0.524125,0.691554
1430003887388,0.566698,0.697674
1430003887521,0.596973,0.679315
1430003887644,0.611164,0.671971
1430003887776,0.61211,0.670747
1430003887852,0.606433,0.670747
1430003887983,0.59035,0.673195
1430003888107,0.578997,0.669523
1430003888253,0.574267,0.654835
1430003888381,0.573321,0.643819
1430003888511,0.576159,0.637699
1430003888659,0.580889,0.631579
1430003888783,0.581835,0.632803
1430003888917,0.579943,0.634027
1430003889058,0.577105,0.636475
1430003889187,0.573321,0.636475
