tstamp,mouse_x,mouse_y
1430003999453,0.61211,0.4541
1430003999585,0.61211,0.456548
1430003999646,0.611164,0.457772
1430003999794,0.61684,0.4541
1430003999928,0.622517,0.451652
1430004000048,0.629139,0.452876
1430004000188,0.637654,0.450428
1430004000318,0.647114,0.449204
1430004000453,0.656575,0.452876
1430004000590,0.66509,0.452876
1430004000717,0.675497,0.458996
1430004000848,0.684011,0.462668
1430004000988,0.690634,0.461444
1430004001126,0.694418,0.463892
1430004001246,0.693472,0.468788
1430004001394,0.684011,0.481028
1430004001517,0.659413,0.523868
1430004001582,0.642384,0.553244
1430004001712,0.611164,0.600979
1430004001787,0.599811,0.615667
1430004001917,0.583728,0.634027
1430004002045,0.573321,0.640147
1430004002173,0.570482,0.634027
1430004002254,0.570482,0.629131
1430004002381,0.570482,0.621787
1430004002512,0.567644,0.611995
1430004002652,0.53737,0.598531
1430004002782,0.46736,0.586291
1430004002909,0.428571,0.581395
1430004003053,0.410596,0.572827
1430004003181,0.393567,0.569155
1430004003312,0.385998,0.556916
1430004003453,0.389782,0.541004
1430004003582,0.393567,0.522644
1430004003722,0.399243,0.506732
1430004003853,0.405866,0.504284
1430004003923,0.40965,0.506732
