tstamp,mouse_x,mouse_y
1430002631244,0.658467,0.829865
1430002631375,0.659413,0.829865
1430002631463,0.661306,0.827417
1430002631582,0.662252,0.826193
1430002631715,0.66509,0.818849
1430002631859,0.671712,0.789474
1430002631987,0.680227,0.731946
1430002632111,0.693472,0.684211
1430002632258,0.71334,0.648715
1430002632382,0.734153,0.621787
1430002632513,0.754967,0.605875
1430002632660,0.773888,0.585067
1430002632787,0.783349,0.565483
1430002632910,0.782403,0.560588
1430002633057,0.776727,0.567931
1430002633180,0.768212,0.572827
1430002633332,0.758751,0.576499
1430002633437,0.752129,0.577723
1430002633517,0.74929,0.577723
1430002633645,0.74456,0.583843
1430002633777,0.740776,0.583843
1430002633927,0.735099,0.586291
1430002634045,0.725639,0.587515
1430002634185,0.714286,0.591187
1430002634325,0.703879,0.592411
1430002634456,0.69158,0.593635
1430002634575,0.66982,0.592411
1430002634717,0.636708,0.592411
1430002634847,0.604541,0.591187
1430002634982,0.576159,0.585067
1430002635157,0.552507,0.576499
1430002635245,0.53264,0.587515
1430002635308,0.516556,0.615667
1430002635441,0.490066,0.681763
1430002635526,0.487228,0.707466
1430002635645,0.488174,0.73317
1430002635778,0.48912,0.744186
1430002635839,0.48912,0.746634
1430002635994,0.486282,0.75153
1430002636109,0.478713,0.768666
1430002636243,0.465468,0.78825
1430002636381,0.453169,0.811505
1430002636510,0.449385,0.823745
1430002636648,0.448439,0.821297
1430002636790,0.449385,0.816401
1430002636908,0.451277,0.815178
1430002636990,0.453169,0.815178
1430002637106,0.450331,0.817625
1430002637180,0.438032,0.821297
1430002637310,0.382214,0.828641
1430002637438,0.328288,0.831089
1430002637515,0.305582,0.829865
1430002637649,0.259224,0.823745
1430002637773,0.217597,0.807834
1430002637905,0.192053,0.798042
1430002637980,0.183538,0.795594
1430002638111,0.178808,0.789474
1430002638247,0.182592,0.787026
1430002638302,0.191107,0.787026
1430002638467,0.221381,0.789474
1430002638576,0.248817,0.791922
1430002638709,0.267739,0.798042
1430002638844,0.278146,0.802938
1430002638917,0.280038,0.804162
1430002639044,0.280984,0.804162
1430002639166,0.278146,0.80661
1430002639246,0.2772,0.80661
1430002639373,0.275307,0.807834
1430002639503,0.273415,0.807834
1430002639644,0.274361,0.80661
