tstamp,mouse_x,mouse_y
1430002785131,0.319773,0.188494
1430002785267,0.321665,0.187271
1430002785414,0.321665,0.188494
1430002785532,0.319773,0.19951
1430002785659,0.318827,0.239902
1430002785753,0.316935,0.265606
1430002785872,0.312204,0.304774
1430002785996,0.315043,0.323133
1430002786147,0.323557,0.340269
1430002786269,0.331126,0.362301
1430002786332,0.333964,0.373317
1430002786460,0.33491,0.403917
1430002786540,0.333964,0.422277
1430002786677,0.328288,0.463892
1430002786797,0.316935,0.50306
1430002786932,0.314097,0.517748
1430002787009,0.314097,0.518972
1430002787132,0.315989,0.516524
1430002787263,0.318827,0.512852
1430002787410,0.321665,0.507956
1430002787537,0.320719,0.523868
1430002787595,0.319773,0.534884
1430002787725,0.318827,0.548348
1430002787812,0.318827,0.550796
1430002787946,0.322611,0.547124
1430002788063,0.33018,0.538556
1430002788205,0.346263,0.532436
1430002788336,0.38789,0.537332
1430002788460,0.471145,0.534884
1430002788613,0.567644,0.52142
1430002788732,0.644276,0.49082
1430002788797,0.672658,0.476132
1430002788924,0.706717,0.450428
1430002789076,0.714286,0.435741
1430002789195,0.707663,0.436965
1430002789325,0.701041,0.439412
1430002789390,0.700095,0.445532
1430002789478,0.700095,0.44798
1430002789596,0.715232,0.463892
1430002789732,0.740776,0.489596
1430002789870,0.764428,0.517748
1430002789995,0.774834,0.531212
1430002790124,0.771996,0.572827
1430002790272,0.759697,0.615667
1430002790396,0.747398,0.648715
1430002790527,0.740776,0.663403
1430002790669,0.737938,0.662179
1430002790800,0.731315,0.658507
1430002790924,0.673605,0.620563
1430002791074,0.529801,0.631579
1430002791210,0.406812,0.663403
1430002791326,0.351939,0.674419
1430002791453,0.33491,0.679315
1430002791534,0.336802,0.680539
1430002791660,0.351939,0.684211
1430002791790,0.368023,0.691554
1430002791855,0.369915,0.697674
1430002791939,0.369915,0.706242
1430002792060,0.360454,0.742962
1430002792189,0.347209,0.790698
1430002792265,0.343425,0.80661
1430002792405,0.342479,0.820073
1430002792524,0.345317,0.833537
1430002792591,0.347209,0.834761
1430002792733,0.348155,0.832313
1430002792861,0.350047,0.828641
1430002792993,0.351939,0.826193
1430002793064,0.35667,0.821297
1430002793137,0.373699,0.811505
1430002793267,0.437086,0.77601
1430002793390,0.482498,0.73929
1430002793521,0.500473,0.730722
1430002793596,0.503311,0.731946
1430002793725,0.502365,0.73929
1430002793792,0.498581,0.73929
1430002793917,0.491012,0.738066
1430002793997,0.488174,0.73929
1430002794124,0.486282,0.736842
1430002794256,0.487228,0.731946
