tstamp,mouse_x,mouse_y
1430003010272,0.498581,0.216646
1430003010413,0.497635,0.219094
1430003010542,0.498581,0.21787
1430003010672,0.495743,0.216646
1430003010799,0.496689,0.226438
1430003010876,0.500473,0.239902
1430003011004,0.507096,0.27907
1430003011136,0.511826,0.314565
1430003011276,0.520341,0.345165
1430003011411,0.53737,0.379437
1430003011533,0.555345,0.422277
1430003011599,0.561968,0.444308
1430003011676,0.566698,0.46634
1430003011804,0.562914,0.514076
1430003011940,0.535478,0.586291
1430003012091,0.483444,0.69645
1430003012208,0.449385,0.783354
1430003012268,0.438978,0.811505
1430003012398,0.426679,0.843329
1430003012481,0.424787,0.849449
1430003012604,0.429518,0.848225
1430003012735,0.439924,0.838433
1430003012859,0.450331,0.822521
1430003012943,0.454115,0.813953
1430003013077,0.454115,0.807834
1430003013150,0.452223,0.80661
1430003013265,0.444655,0.809058
1430003013340,0.43614,0.810282
1430003013469,0.408704,0.812729
1430003013601,0.368969,0.809058
1430003013740,0.326395,0.798042
1430003013867,0.295175,0.789474
1430003013997,0.2772,0.783354
1430003014066,0.272469,0.780906
1430003014203,0.270577,0.779682
1430003014334,0.271523,0.778458
1430003014471,0.270577,0.778458
1430003014611,0.263955,0.784578
1430003014744,0.252602,0.789474
1430003014862,0.244087,0.789474
1430003014939,0.244087,0.787026
1430003015069,0.245979,0.787026
1430003015199,0.258278,0.779682
1430003015270,0.270577,0.762546
1430003015405,0.321665,0.698898
1430003015533,0.407758,0.604651
1430003015662,0.502365,0.507956
1430003015815,0.587512,0.435741
1430003015935,0.664144,0.389229
1430003016060,0.7228,0.370869
1430003016205,0.74929,0.363525
1430003016333,0.754967,0.362301
1430003016467,0.751183,0.362301
1430003016603,0.743614,0.352509
1430003016668,0.73983,0.340269
1430003016802,0.731315,0.308446
1430003016924,0.727531,0.282742
1430003017004,0.728477,0.275398
1430003017137,0.733207,0.274174
1430003017197,0.736045,0.277846
1430003017325,0.737938,0.29131
1430003017467,0.730369,0.313341
1430003017599,0.701041,0.361077
1430003017723,0.658467,0.408813
1430003017877,0.632923,0.457772
1430003017997,0.629139,0.488372
1430003018126,0.633869,0.507956
1430003018267,0.641438,0.538556
1430003018398,0.651845,0.569155
1430003018523,0.657521,0.588739
1430003018668,0.653737,0.600979
1430003018797,0.647114,0.598531
1430003018927,0.644276,0.594859
1430003019067,0.641438,0.589963
1430003019133,0.639546,0.586291
1430003019264,0.635762,0.569155
1430003019387,0.628193,0.528764
1430003019470,0.62157,0.504284
1430003019604,0.614948,0.458996
1430003019727,0.622517,0.425949
1430003019852,0.632923,0.397797
1430003019933,0.6386,0.381885
1430003020065,0.655629,0.341493
1430003020189,0.671712,0.29743
1430003020334,0.682119,0.25459
1430003020402,0.68685,0.238678
1430003020526,0.69631,0.222766
1430003020653,0.699149,0.225214
1430003020745,0.700095,0.228886
1430003020864,0.701041,0.23011
1430003020988,0.702933,0.21787
1430003021052,0.703879,0.206854
1430003021134,0.704825,0.192166
1430003021273,0.710501,0.165239
