tstamp,mouse_x,mouse_y
1430004357233,0.315043,0.507956
1430004357375,0.346263,0.501836
1430004357503,0.423841,0.473684
1430004357630,0.511826,0.44798
1430004357775,0.575213,0.435741
1430004357900,0.605487,0.430845
1430004357967,0.613056,0.429621
1430004358092,0.625355,0.429621
1430004358172,0.630085,0.432069
1430004358302,0.628193,0.432069
1430004358377,0.626301,0.430845
1430004358500,0.626301,0.425949
1430004358562,0.627247,0.422277
1430004358641,0.629139,0.419829
1430004358767,0.634816,0.414933
1430004358899,0.641438,0.416157
1430004359044,0.644276,0.419829
1430004359168,0.646168,0.418605
1430004359304,0.645222,0.419829
1430004359441,0.631031,0.418605
1430004359566,0.575213,0.408813
1430004359697,0.48912,0.403917
1430004359836,0.424787,0.401469
1430004359968,0.392621,0.397797
1430004360093,0.379376,0.396573
1430004360240,0.375591,0.397797
1430004360365,0.380322,0.396573
1430004360431,0.38316,0.397797
1430004360556,0.394513,0.397797
1430004360702,0.430464,0.391677
1430004360830,0.502365,0.389229
1430004360904,0.543046,0.390453
1430004361022,0.600757,0.390453
1430004361110,0.619678,0.388005
1430004361230,0.653737,0.388005
1430004361356,0.68685,0.389229
1430004361501,0.704825,0.388005
1430004361571,0.707663,0.388005
1430004361704,0.71334,0.390453
1430004361821,0.71807,0.394125
1430004361910,0.717124,0.397797
1430004362035,0.716178,0.406365
1430004362156,0.711447,0.419829
1430004362301,0.682119,0.465116
1430004362432,0.639546,0.541004
1430004362556,0.628193,0.593635
1430004362700,0.629139,0.614443
1430004362829,0.630085,0.631579
1430004362895,0.631031,0.635251
1430004363019,0.630085,0.632803
1430004363166,0.619678,0.625459
1430004363239,0.605487,0.619339
1430004363355,0.560076,0.604651
1430004363486,0.498581,0.589963
1430004363564,0.472091,0.581395
1430004363694,0.442763,0.563035
1430004363819,0.44087,0.541004
1430004363966,0.458846,0.516524
1430004364092,0.476821,0.489596
1430004364169,0.486282,0.481028
1430004364285,0.504257,0.474908
1430004364363,0.51088,0.473684
1430004364493,0.51561,0.471236
