tstamp,mouse_x,mouse_y
1430004653212,0.360454,0.375765
1430004653292,0.357616,0.376989
1430004653422,0.349101,0.375765
1430004653549,0.327342,0.376989
1430004653699,0.305582,0.381885
1430004653821,0.296121,0.383109
1430004653951,0.292337,0.383109
1430004654091,0.288552,0.384333
1430004654222,0.28666,0.381885
1430004654349,0.284768,0.380661
1430004654412,0.282876,0.380661
1430004654493,0.280984,0.380661
1430004654620,0.278146,0.381885
1430004654751,0.274361,0.383109
1430004654892,0.263955,0.389229
1430004655022,0.206244,0.405141
1430004655150,0.125828,0.434517
1430004655277,0.0917692,0.463892
1430004655371,0.0870388,0.474908
1430004655486,0.0908231,0.489596
1430004655617,0.103122,0.495716
1430004655676,0.111637,0.49694
1430004655756,0.120151,0.49694
1430004655892,0.134342,0.493268
1430004656012,0.140019,0.489596
1430004656158,0.141911,0.49082
1430004656285,0.142857,0.49082
1430004656415,0.166509,0.488372
1430004656556,0.254494,0.476132
1430004656686,0.357616,0.473684
1430004656812,0.43141,0.47246
1430004656958,0.485336,0.476132
1430004657085,0.536424,0.488372
1430004657214,0.611164,0.522644
1430004657355,0.703879,0.550796
1430004657486,0.754021,0.556916
1430004657613,0.784295,0.555692
1430004657741,0.801324,0.549572
1430004657820,0.802271,0.544676
1430004657955,0.801324,0.534884
1430004658080,0.800378,0.520196
1430004658221,0.806055,0.50918
1430004658352,0.817408,0.50306
1430004658475,0.830653,0.494492
1430004658623,0.840114,0.488372
1430004658749,0.847682,0.492044
1430004658883,0.851466,0.49694
1430004659022,0.85052,0.50306
1430004659151,0.840114,0.512852
1430004659276,0.807001,0.523868
1430004659423,0.746452,0.52754
1430004659549,0.666982,0.534884
1430004659683,0.584674,0.542228
1430004659804,0.521287,0.53978
1430004659887,0.498581,0.536108
1430004659952,0.479659,0.531212
1430004660076,0.454115,0.522644
1430004660205,0.443709,0.510404
1430004660293,0.443709,0.50306
1430004660413,0.454115,0.494492
1430004660540,0.468307,0.485924
1430004660686,0.478713,0.474908
1430004660817,0.48439,0.46634
1430004660940,0.485336,0.461444
1430004661088,0.483444,0.452876
1430004661213,0.483444,0.449204
1430004661283,0.482498,0.44798
1430004661403,0.486282,0.445532
1430004661485,0.491012,0.443084
1430004661616,0.498581,0.44186
1430004661739,0.507096,0.438188
1430004661887,0.514664,0.427173
1430004662012,0.523179,0.410037
1430004662146,0.534532,0.392901
1430004662269,0.544939,0.390453
1430004662351,0.547777,0.395349
1430004662475,0.548723,0.405141
1430004662539,0.547777,0.407589
1430004662669,0.546831,0.408813
