tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
748726964,0.331434,0.498734,0.332384,0.464557,1
748726997,0.332384,0.517722,0.333333,0.467089,1
748727030,0.346629,0.526582,0.334283,0.470886,1
748727063,0.340931,0.497468,0.335233,0.472152,1
748727097,0.335233,0.510127,0.336182,0.474684,1
748727129,0.337132,0.517722,0.337132,0.477215,1
748727162,0.351377,0.51519,0.337132,0.481013,1
748727196,0.34283,0.529114,0.338082,0.486076,1
748727229,0.34188,0.527848,0.338082,0.489873,1
748727262,0.337132,0.520253,0.338082,0.493671,1
748727296,0.339981,0.534177,0.339031,0.497468,1
748727330,0.337132,0.551899,0.339031,0.502532,1
748727362,0.331434,0.534177,0.339031,0.506329,1
748727396,0.333333,0.517722,0.339031,0.508861,1
748727429,0.339981,0.516456,0.339031,0.510127,1
748727462,0.331434,0.536709,0.338082,0.513924,1
748727496,0.336182,0.531646,0.338082,0.516456,1
748727529,0.337132,0.507595,0.338082,0.517722,1
748727562,0.334283,0.53038,0.338082,0.518987,1
748727596,0.34378,0.544304,0.338082,0.522785,1
748727629,0.349478,0.531646,0.339031,0.524051,1
748727662,0.728395,0.611392,0.728395,0.611392,0
748727696,0.717949,0.588608,0.717949,0.588608,0
748727730,0.725546,0.612658,0.721747,0.6,0
748727762,0.720798,0.611392,0.721747,0.603797,0
748727797,0.717949,0.603797,0.720798,0.603797,0
748727829,0.719848,0.620253,0.720798,0.607595,0
748727862,0.688509,0.432911,0.7151,0.577215,1
748727896,0.693257,0.450633,0.711301,0.558228,1
748727929,0.679012,0.483544,0.707502,0.548101,1
748727962,0.68471,0.463291,0.704653,0.537975,1
748727996,0.669516,0.463291,0.700855,0.529114,1
748728028,0.700855,0.494937,0.700855,0.525316,1
748728062,0.708452,0.565823,0.700855,0.527848,1
748728095,0.710351,0.568354,0.701804,0.53038,1
748728128,0.726496,0.581013,0.703704,0.534177,1
748728163,0.710351,0.568354,0.703704,0.536709,1
748728196,0.718898,0.565823,0.704653,0.53924,1
748728228,0.716999,0.579747,0.705603,0.541772,1
748728262,0.763533,0.475949,0.710351,0.536709,1
748728295,0.749288,0.460759,0.7132,0.531646,1
748728328,0.74264,0.429114,0.7151,0.525316,1
748728361,0.735043,0.458228,0.716999,0.520253,1
748728395,0.745489,0.446835,0.718898,0.51519,1
748728428,0.729345,0.434177,0.719848,0.508861,1
748728461,0.739791,0.431646,0.721747,0.503797,1
748728495,0.752137,0.434177,0.723647,0.498734,1
748728530,0.756885,0.440506,0.726496,0.492405,1
748728561,0.739791,0.432911,0.728395,0.486076,1
748728595,0.747388,0.45443,0.729345,0.481013,1
748728629,0.634378,0.34557,0.634378,0.34557,0
748728662,0.625831,0.363291,0.625831,0.363291,0
748728696,0.619183,0.375949,0.622982,0.36962,0
748728728,0.633428,0.358228,0.625831,0.365823,0
748728761,0.621083,0.381013,0.624881,0.36962,0
748728795,0.631529,0.389873,0.625831,0.373418,0
748728828,0.504274,0.368354,0.604938,0.373418,1
748728861,0.471035,0.374684,0.584995,0.373418,1
748728895,0.481481,0.359494,0.5717,0.370886,1
748728928,0.472934,0.391139,0.559354,0.373418,1
748728961,0.465337,0.383544,0.547958,0.374684,1
748728995,0.474834,0.386076,0.540361,0.375949,1
748729027,0.463438,0.373418,0.531814,0.375949,1
748729061,0.34378,0.517722,0.34378,0.517722,0
748729094,0.34188,0.497468,0.34188,0.497468,0
748729127,0.338082,0.48481,0.339981,0.491139,0
748729161,0.31339,0.496203,0.331434,0.492405,0
748729194,0.324786,0.512658,0.329535,0.497468,0
748729227,0.319088,0.502532,0.327635,0.498734,0
748729261,0.332384,0.537975,0.328585,0.505063,1
748729294,0.254511,0.572152,0.317189,0.51519,1
748729328,0.262108,0.602532,0.310541,0.526582,1
748729361,0.250712,0.563291,0.302944,0.531646,1
748729395,0.247863,0.55443,0.296296,0.534177,1
748729427,0.248813,0.565823,0.291548,0.537975,1
748729461,0.261159,0.56962,0.287749,0.541772,1
748729495,0.261159,0.563291,0.2849,0.544304,1
748729527,0.262108,0.579747,0.283001,0.546835,1
748729560,0.251662,0.594937,0.280152,0.551899,1
748729594,0.394112,0.462025,0.287749,0.54557,1
748729627,0.676163,0.481013,0.676163,0.481013,0
748729660,0.709402,0.516456,0.709402,0.516456,0
748729693,0.712251,0.516456,0.711301,0.516456,0
748729727,0.819563,0.535443,0.747388,0.522785,0
748729761,0.868946,0.531646,0.777778,0.525316,0
748729794,0.85755,0.532911,0.794872,0.526582,0
748729827,0.864198,0.53924,0.807217,0.529114,1
748729860,0.873694,0.536709,0.873694,0.536709,0
748729894,0.854701,0.511392,0.854701,0.511392,0
