tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
748670275,0.590693,0.237975,0.593542,0.222785,1
748670311,0.594492,0.227848,0.593542,0.224051,1
748670341,0.593542,0.226582,0.593542,0.224051,1
748670376,0.593542,0.23038,0.594492,0.225316,1
748670409,0.596391,0.231646,0.594492,0.225316,1
748670442,0.588794,0.234177,0.594492,0.226582,1
748670475,0.579297,0.246835,0.593542,0.227848,1
748670509,0.60114,0.227848,0.593542,0.227848,1
748670541,0.588794,0.222785,0.593542,0.227848,1
748670574,0.595442,0.227848,0.593542,0.227848,1
748670610,0.597341,0.253165,0.593542,0.23038,1
748670641,0.591643,0.251899,0.593542,0.231646,1
748670675,0.597341,0.263291,0.593542,0.234177,1
748670708,0.584046,0.248101,0.593542,0.235443,1
748670741,0.604938,0.192405,0.594492,0.232911,1
748670774,0.611586,0.227848,0.595442,0.232911,1
748670807,0.584046,0.202532,0.594492,0.23038,1
748670841,0.584995,0.203797,0.594492,0.229114,1
748670874,0.596391,0.206329,0.594492,0.227848,1
748670908,0.598291,0.202532,0.594492,0.226582,1
748670941,0.579297,0.196203,0.593542,0.224051,1
748670974,0.586895,0.208861,0.592593,0.222785,1
748671008,0.593542,0.2,0.592593,0.221519,1
748671041,0.593542,0.211392,0.592593,0.220253,1
748671074,0.584995,0.189873,0.592593,0.217722,1
748671108,0.587844,0.194937,0.591643,0.216456,1
748671141,0.606838,0.208861,0.592593,0.21519,1
748671174,0.591643,0.210127,0.592593,0.213924,1
748671208,0.584995,0.213924,0.592593,0.213924,1
748671240,0.569801,0.225316,0.590693,0.213924,1
748671274,0.577398,0.213924,0.589744,0.212658,1
748671313,0.60114,0.227848,0.590693,0.213924,1
748671343,0.593542,0.218987,0.590693,0.213924,1
748671374,0.604938,0.218987,0.591643,0.213924,1
748671410,0.567901,0.224051,0.589744,0.213924,1
748671440,0.580247,0.227848,0.588794,0.213924,1
748671474,0.586895,0.239241,0.588794,0.21519,1
748671507,0.607787,0.194937,0.589744,0.213924,1
748671540,0.605888,0.222785,0.590693,0.213924,1
748671574,0.612536,0.203797,0.591643,0.213924,1
748671607,0.615385,0.21519,0.593542,0.213924,1
748671640,0.617284,0.213924,0.595442,0.213924,1
748671675,0.607787,0.207595,0.596391,0.213924,1
748671708,0.569801,0.267089,0.594492,0.217722,1
748671740,0.547958,0.336709,0.591643,0.225316,1
748671773,0.565052,0.365823,0.590693,0.234177,1
748671807,0.550807,0.35443,0.587844,0.243038,1
748671840,0.558405,0.359494,0.585945,0.251899,1
748671873,0.559354,0.368354,0.584046,0.26076,1
748671907,0.559354,0.383544,0.582146,0.26962,1
748671940,0.554606,0.364557,0.580247,0.278481,1
748671973,0.565052,0.358228,0.578348,0.286076,1
748672007,0.450142,0.473418,0.450142,0.473418,0
748672040,0.383666,0.616456,0.383666,0.616456,0
748672073,0.369421,0.616456,0.376068,0.616456,0
748672110,0.37227,0.607595,0.375119,0.613924,0
748672141,0.37037,0.613924,0.374169,0.613924,0
748672173,0.377018,0.648101,0.374169,0.620253,0
748672208,0.377018,0.64557,0.375119,0.625316,1
748672241,0.360874,0.626582,0.373219,0.625316,1
748672273,0.369421,0.637975,0.369421,0.637975,0
748672307,0.368471,0.65443,0.368471,0.65443,0
748672340,0.249763,0.58481,0.308642,0.618987,0
748672373,0.243115,0.572152,0.2868,0.603797,0
748672407,0.236467,0.558228,0.273504,0.592405,0
748672440,0.238367,0.586076,0.266857,0.591139,0
748672474,0.289649,0.386076,0.289649,0.386076,0
748672507,0.297246,0.391139,0.297246,0.391139,0
748672539,0.282051,0.388608,0.289649,0.389873,0
748672573,0.289649,0.392405,0.289649,0.389873,0
748672607,0.287749,0.383544,0.288699,0.388608,0
748672639,0.2849,0.383544,0.287749,0.387342,0
748672673,0.282051,0.373418,0.2868,0.38481,1
748672707,0.276353,0.383544,0.28585,0.38481,1
748672739,0.291548,0.370886,0.28585,0.383544,1
748672773,0.2849,0.392405,0.28585,0.38481,1
748672806,0.276353,0.378481,0.2849,0.383544,1
748672840,0.282051,0.393671,0.2849,0.38481,1
748672873,0.276353,0.375949,0.283951,0.383544,1
748672907,0.282051,0.377215,0.283951,0.383544,1
748672939,0.283001,0.382278,0.283951,0.383544,1
748672972,0.356125,0.231646,0.356125,0.231646,0
748673007,0.368471,0.222785,0.368471,0.222785,0
748673040,0.365622,0.227848,0.367521,0.225316,0
748673073,0.375119,0.229114,0.369421,0.226582,0
748673107,0.376068,0.203797,0.37132,0.220253,0
748673139,0.366572,0.231646,0.37037,0.222785,0
748673172,0.471985,0.263291,0.387464,0.23038,1
748673206,0.469136,0.255696,0.39981,0.234177,1
748673240,0.460589,0.272152,0.408357,0.239241,1
748673272,0.45584,0.24557,0.414055,0.239241,1
748673306,0.45679,0.272152,0.418803,0.243038,1
748673339,0.471035,0.273418,0.424501,0.246835,1
748673372,0.461538,0.258228,0.4283,0.248101,1
748673405,0.471035,0.26962,0.433048,0.250633,1
748673439,0.475783,0.274684,0.436847,0.251899,1
748673472,0.480532,0.262025,0.441595,0.253165,1
748673505,0.474834,0.277215,0.444444,0.255696,1
748673539,0.37227,0.362025,0.439696,0.263291,1
748673572,0.334283,0.370886,0.433048,0.272152,1
748673605,0.350427,0.397468,0.42735,0.281013,1
748673638,0.34378,0.368354,0.421652,0.287342,1
748673672,0.337132,0.374684,0.415954,0.294937,1
748673705,0.34378,0.386076,0.411206,0.301266,1
748673739,0.353276,0.383544,0.407407,0.308861,1
748673772,0.334283,0.388608,0.401709,0.31519,1
748673807,0.339981,0.403797,0.396961,0.321519,1
748673839,0.338082,0.379747,0.392213,0.327848,1
748673872,0.34188,0.388608,0.388414,0.335443,1
748673906,0.340931,0.475949,0.340931,0.475949,0
748673939,0.337132,0.474684,0.337132,0.474684,0
748673972,0.338082,0.467089,0.338082,0.470886,0
748674007,0.34188,0.46962,0.339031,0.470886,0
748674038,0.319088,0.465823,0.334283,0.46962,0
748674072,0.323837,0.481013,0.332384,0.472152,0
748674105,0.326686,0.470886,0.331434,0.470886,1
748674138,0.321937,0.478481,0.329535,0.472152,1
748674171,0.34378,0.477215,0.331434,0.473418,1
748674205,0.34188,0.459494,0.332384,0.472152,1
748674238,0.332384,0.412658,0.332384,0.465823,1
748674271,0.330484,0.402532,0.332384,0.459494,1
748674305,0.349478,0.402532,0.334283,0.453165,1
748674338,0.34283,0.407595,0.335233,0.449367,1
748674371,0.329535,0.405063,0.334283,0.44557,1
748674406,0.336182,0.396203,0.334283,0.440506,1
748674438,0.31339,0.373418,0.333333,0.435443,1
748674471,0.325736,0.412658,0.332384,0.432911,1
748674504,0.332384,0.377215,0.332384,0.427848,1
