tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
749335846,0.191833,0.332911,0.194682,0.320253,1
749335879,0.19943,0.351899,0.195632,0.322785,1
749335911,0.207977,0.350633,0.195632,0.324051,1
749335945,0.188034,0.33038,0.195632,0.325316,1
749335978,0.192783,0.346835,0.195632,0.326582,1
749336011,0.196581,0.343038,0.195632,0.327848,1
749336045,0.197531,0.331646,0.195632,0.327848,1
749336078,0.193732,0.335443,0.195632,0.329114,1
749336111,0.187085,0.35443,0.195632,0.33038,1
749336144,0.188034,0.349367,0.194682,0.331646,1
749336180,0.191833,0.359494,0.194682,0.334177,1
749336211,0.193732,0.365823,0.194682,0.336709,1
749336246,0.373219,0.327848,0.373219,0.327848,0
749336278,0.349478,0.308861,0.349478,0.308861,0
749336312,0.360874,0.334177,0.355176,0.321519,0
749336345,0.358025,0.326582,0.356125,0.322785,0
749336378,0.359924,0.327848,0.357075,0.324051,0
749336412,0.364672,0.332911,0.358974,0.326582,0
749336447,0.355176,0.322785,0.358025,0.325316,1
749336478,0.538462,0.302532,0.538462,0.302532,0
749336511,0.670465,0.331646,0.670465,0.331646,0
749336544,0.681861,0.341772,0.676163,0.336709,0
749336578,0.680912,0.320253,0.678063,0.331646,0
749336611,0.682811,0.339241,0.679012,0.332911,0
749336644,0.682811,0.335443,0.679962,0.334177,0
749336678,0.688509,0.360759,0.688509,0.360759,0
749336711,0.687559,0.329114,0.687559,0.329114,0
749336745,0.682811,0.337975,0.68566,0.334177,0
749336778,0.698006,0.335443,0.689459,0.334177,0
749336811,0.768281,0.325316,0.709402,0.331646,0
749336844,0.755935,0.332911,0.718898,0.331646,0
749336878,0.754986,0.317722,0.725546,0.329114,1
749336911,0.766382,0.343038,0.732194,0.331646,1
749336944,0.753086,0.324051,0.735043,0.33038,1
749336978,0.773029,0.310127,0.739791,0.327848,1
749337010,0.77018,0.318987,0.74359,0.326582,1
749337045,0.356125,0.451899,0.356125,0.451899,0
749337078,0.173789,0.553165,0.173789,0.553165,0
749337111,0.173789,0.573418,0.173789,0.563291,0
749337144,0.17189,0.565823,0.17284,0.564557,0
749337178,0.162393,0.551899,0.17094,0.560759,0
749337211,0.164292,0.559494,0.169041,0.560759,0
749337244,0.163343,0.565823,0.163343,0.565823,0
749337278,0.169041,0.553165,0.169041,0.553165,0
749337310,0.216524,0.277215,0.192783,0.41519,0
749337343,0.238367,0.25443,0.207977,0.362025,0
749337377,0.242165,0.267089,0.216524,0.336709,0
749337410,0.230769,0.249367,0.219373,0.318987,0
749337443,0.242165,0.265823,0.242165,0.265823,0
749337477,0.237417,0.274684,0.237417,0.274684,0
749337510,0.237417,0.265823,0.237417,0.270886,0
749337544,0.246914,0.272152,0.240266,0.270886,0
749337578,0.233618,0.289873,0.238367,0.275949,0
749337610,0.548908,0.281013,0.301994,0.277215,0
749337643,0.567901,0.294937,0.567901,0.294937,0
749337677,0.573599,0.277215,0.573599,0.277215,0
749337710,0.565052,0.318987,0.568851,0.298734,0
749337743,0.5717,0.301266,0.569801,0.3,0
749337777,0.5717,0.28481,0.57075,0.296203,0
749337810,0.602089,0.308861,0.576448,0.298734,0
749337843,0.781576,0.327848,0.781576,0.327848,0
749337879,0.787274,0.310127,0.787274,0.310127,0
749337915,0.786325,0.329114,0.786325,0.318987,0
749337944,0.793922,0.317722,0.789174,0.318987,0
749337977,0.790123,0.332911,0.789174,0.322785,0
749338010,0.791073,0.326582,0.790123,0.322785,0
749338043,0.786325,0.331646,0.789174,0.325316,1
749338077,0.597341,0.281013,0.597341,0.281013,0
749338110,0.37132,0.25443,0.37132,0.25443,0
749338143,0.364672,0.256962,0.368471,0.255696,0
749338176,0.379867,0.270886,0.37227,0.26076,0
749338210,0.376068,0.259494,0.373219,0.26076,0
749338243,0.373219,0.274684,0.373219,0.263291,0
749338277,0.476733,0.281013,0.476733,0.281013,0
749338377,0.79867,0.305063,0.788224,0.33038,0
749338409,0.787274,0.308861,0.788224,0.325316,0
749338442,0.788224,0.305063,0.788224,0.321519,0
749338477,0.779677,0.3,0.779677,0.3,0
749338509,0.773029,0.316456,0.773029,0.316456,0
749338542,0.780627,0.321519,0.776828,0.318987,0
749338576,0.783476,0.316456,0.778727,0.317722,0
749338609,0.773979,0.317722,0.777778,0.317722,0
749338642,0.762583,0.339241,0.774929,0.322785,0
749338679,0.782526,0.350633,0.775878,0.326582,1
749338709,0.77018,0.329114,0.774929,0.327848,1
749338743,0.859449,0.460759,0.786325,0.344304,1
749338778,0.849953,0.493671,0.793922,0.363291,1
749338809,0.82906,0.506329,0.797721,0.378481,1
749338843,0.843305,0.517722,0.802469,0.393671,1
749338876,0.835707,0.529114,0.806268,0.406329,1
749338909,0.832859,0.506329,0.809117,0.416456,1
749338942,0.813865,0.524051,0.810066,0.426582,1
749339076,0.754986,0.559494,0.738841,0.593671,0
749339109,0.759734,0.559494,0.744539,0.58481,0
749339143,0.751187,0.559494,0.745489,0.579747,0
749339175,0.756885,0.574684,0.747388,0.578481,1
749339275,0.530864,0.732911,0.530864,0.732911,0
749339308,0.528015,0.720253,0.528965,0.726582,0
