tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
749255909,0.452042,0.756962,0.442545,0.743038,1
749255941,0.433998,0.729114,0.441595,0.741772,1
749255975,0.446344,0.73038,0.442545,0.740506,1
749256008,0.444444,0.737975,0.442545,0.740506,1
749256041,0.445394,0.722785,0.442545,0.739241,1
749256075,0.453941,0.720253,0.443495,0.736709,1
749256109,0.51472,0.267089,0.51472,0.267089,0
749256142,0.502374,0.301266,0.502374,0.301266,0
749256175,0.505223,0.332911,0.504274,0.317722,0
749256208,0.498576,0.302532,0.502374,0.312658,0
749256241,0.495726,0.310127,0.500475,0.311392,0
749256276,0.503324,0.312658,0.501424,0.312658,0
749256309,0.503324,0.297468,0.501424,0.310127,1
749256342,0.492877,0.310127,0.500475,0.310127,1
749256374,0.74264,0.283544,0.74264,0.283544,0
749256414,0.738841,0.282278,0.738841,0.282278,0
749256441,0.758784,0.279747,0.749288,0.281013,0
749256474,0.74359,0.279747,0.747388,0.281013,0
749256508,0.744539,0.292405,0.746439,0.283544,0
749256541,0.750237,0.287342,0.747388,0.28481,0
749256574,0.812916,0.303797,0.758784,0.287342,1
749256608,0.793922,0.3,0.763533,0.289873,1
749256642,0.802469,0.294937,0.769231,0.291139,1
749256674,0.795821,0.320253,0.77208,0.293671,1
749256707,0.784425,0.298734,0.773979,0.294937,1
749256741,0.782526,0.311392,0.774929,0.296203,1
749256774,0.793922,0.307595,0.776828,0.297468,1
749256807,0.794872,0.313924,0.778727,0.298734,1
749256840,0.781576,0.292405,0.779677,0.298734,1
749256875,0.790123,0.305063,0.780627,0.3,1
749256908,0.812916,0.305063,0.783476,0.3,1
749256941,0.83001,0.331646,0.787274,0.302532,1
749256974,0.830959,0.297468,0.790123,0.302532,1
749257007,0.844254,0.306329,0.794872,0.302532,1
749257040,0.845204,0.313924,0.79867,0.303797,1
749257075,0.843305,0.324051,0.801519,0.305063,1
749257108,0.835707,0.325316,0.804368,0.306329,1
749257141,0.842355,0.317722,0.808167,0.307595,1
749257174,0.354226,0.435443,0.354226,0.435443,0
749257207,0.255461,0.487342,0.255461,0.487342,0
749257240,0.264008,0.534177,0.260209,0.510127,0
749257274,0.250712,0.51519,0.25641,0.512658,0
749257307,0.241216,0.513924,0.252612,0.512658,0
749257340,0.245964,0.5,0.251662,0.510127,0
749257373,0.252612,0.5,0.251662,0.508861,1
749257407,0.254511,0.513924,0.251662,0.508861,1
749257440,0.183286,0.644304,0.243115,0.526582,1
749257646,0.220323,0.768354,0.226971,0.791139,0
749257673,0.278253,0.748101,0.235518,0.783544,1
749257708,0.28585,0.75443,0.243115,0.779747,1
749257740,0.270655,0.765823,0.246914,0.777215,1
749257773,0.266857,0.762025,0.249763,0.774684,1
749257807,0.261159,0.743038,0.250712,0.772152,1
749257840,0.264008,0.76962,0.252612,0.770886,1
749257874,0.272555,0.740506,0.254511,0.768354,1
749257907,0.271605,0.765823,0.25641,0.767089,1
749257940,0.279202,0.753165,0.25831,0.765823,1
749257973,0.287749,0.758228,0.261159,0.765823,1
749258009,0.279202,0.746835,0.263058,0.763291,1
749258040,0.268756,0.774684,0.263058,0.764557,1
749258074,0.268756,0.750633,0.264008,0.763291,1
749258106,0.283951,0.770886,0.265907,0.763291,1
749258139,0.307692,0.756962,0.268756,0.763291,1
749258173,0.299145,0.774684,0.271605,0.763291,1
749258206,0.304843,0.74557,0.273504,0.762025,1
749258240,0.304843,0.770886,0.276353,0.762025,1
749258273,0.301045,0.759494,0.278253,0.762025,1
749258306,0.309592,0.741772,0.281102,0.760759,1
749258339,0.31434,0.748101,0.283951,0.759494,1
749258373,0.303894,0.762025,0.2868,0.759494,1
749258406,0.340931,0.682278,0.291548,0.75443,1
