tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
749237658,0.725546,0.74557,0.726496,0.751899,1
749237689,0.726496,0.729114,0.726496,0.750633,1
749237723,0.718898,0.716456,0.725546,0.748101,1
749237756,0.716999,0.74557,0.725546,0.746835,1
749237789,0.720798,0.753165,0.724596,0.748101,1
749237823,0.721747,0.734177,0.724596,0.746835,1
749237857,0.716999,0.749367,0.723647,0.746835,1
749237889,0.732194,0.721519,0.724596,0.744304,1
749237926,0.724596,0.739241,0.724596,0.744304,1
749237956,0.728395,0.731646,0.724596,0.743038,1
749237989,0.720798,0.748101,0.724596,0.743038,1
749238022,0.679012,0.518987,0.679012,0.518987,0
749238056,0.695157,0.456962,0.695157,0.456962,0
749238089,0.688509,0.429114,0.692308,0.443038,0
749238122,0.698955,0.446835,0.694207,0.444304,0
749238156,0.704653,0.455696,0.697056,0.446835,0
749238189,0.716049,0.340506,0.700855,0.425316,0
749238223,0.718898,0.306329,0.703704,0.405063,1
749238256,0.71415,0.296203,0.705603,0.388608,1
749238290,0.707502,0.317722,0.705603,0.378481,1
749238322,0.717949,0.288608,0.707502,0.367089,1
749238358,0.717949,0.313924,0.708452,0.360759,1
749238389,0.731244,0.306329,0.711301,0.35443,1
749238422,0.661918,0.275949,0.706553,0.346835,1
749238457,0.676163,0.302532,0.703704,0.341772,1
749238489,0.68566,0.288608,0.68566,0.288608,0
749238522,0.670465,0.293671,0.670465,0.293671,0
749238555,0.776828,0.313924,0.723647,0.303797,0
749238588,0.777778,0.321519,0.74169,0.308861,0
749238622,0.774929,0.312658,0.750237,0.310127,0
749238656,0.778727,0.301266,0.755935,0.308861,0
749238688,0.767331,0.313924,0.758784,0.308861,1
749238723,0.764482,0.31519,0.759734,0.310127,1
749238756,0.769231,0.31519,0.760684,0.311392,1
749238788,0.77208,0.336709,0.762583,0.313924,1
749238822,0.774929,0.336709,0.763533,0.316456,1
749238855,0.77208,0.324051,0.764482,0.317722,1
749238888,0.851852,0.286076,0.773029,0.31519,1
749238921,0.834758,0.28481,0.778727,0.312658,1
749238956,0.836657,0.310127,0.783476,0.311392,1
749238989,0.846154,0.305063,0.789174,0.311392,1
749239022,0.834758,0.305063,0.792972,0.311392,1
749239056,0.843305,0.289873,0.797721,0.308861,1
749239089,0.83001,0.303797,0.80057,0.308861,1
749239121,0.82906,0.306329,0.803419,0.308861,1
749239157,0.847104,0.306329,0.847104,0.306329,0
749239188,0.814815,0.441772,0.814815,0.441772,0
749239221,0.791073,0.491139,0.803419,0.467089,0
749239255,0.781576,0.510127,0.795821,0.481013,0
749239288,0.783476,0.517722,0.792972,0.491139,0
749239321,0.783476,0.536709,0.791073,0.5,0
749239354,0.787274,0.511392,0.787274,0.511392,0
749239388,0.789174,0.526582,0.789174,0.526582,0
749239421,0.793922,0.517722,0.792023,0.522785,0
749239455,0.782526,0.534177,0.788224,0.526582,0
749239488,0.791073,0.531646,0.789174,0.527848,0
749239521,0.801519,0.54557,0.792023,0.531646,0
749239554,0.786325,0.532911,0.791073,0.531646,1
749239588,0.761633,0.534177,0.786325,0.531646,1
749239621,0.421652,0.503797,0.421652,0.503797,0
749239654,0.419753,0.510127,0.419753,0.510127,0
749239687,0.396011,0.513924,0.408357,0.511392,0
749239721,0.217474,0.496203,0.344729,0.506329,0
749239754,0.212726,0.517722,0.310541,0.508861,0
749239788,0.214625,0.518987,0.291548,0.511392,0
749239821,0.206078,0.503797,0.206078,0.503797,0
749239854,0.212726,0.516456,0.212726,0.516456,0
749239887,0.204179,0.526582,0.208927,0.521519,0
749239921,0.212726,0.498734,0.209877,0.513924,0
749239955,0.213675,0.496203,0.210826,0.508861,0
749239989,0.203229,0.496203,0.209877,0.506329,0
749240021,0.264008,0.477215,0.218424,0.501266,1
749240054,0.246914,0.443038,0.223172,0.492405,1
749240087,0.253561,0.429114,0.226971,0.48481,1
749240121,0.321937,0.367089,0.238367,0.470886,1
749240154,0.465337,0.312658,0.465337,0.312658,0
749240187,0.477683,0.297468,0.477683,0.297468,0
749240220,0.478632,0.307595,0.477683,0.302532,0
749240254,0.490978,0.305063,0.482431,0.303797,0
749240287,0.48623,0.320253,0.483381,0.307595,0
749240320,0.482431,0.306329,0.483381,0.307595,0
749240354,0.48528,0.287342,0.483381,0.303797,1
749240387,0.51377,0.270886,0.488129,0.298734,1
749240420,0.51377,0.281013,0.490978,0.296203,1
749240453,0.507123,0.279747,0.493827,0.294937,1
749240487,0.51567,0.292405,0.495726,0.293671,1
749240521,0.521368,0.274684,0.498576,0.292405,1
749240555,0.536562,0.253165,0.502374,0.288608,1
749240587,0.554606,0.312658,0.507123,0.289873,1
749240620,0.623932,0.413924,0.623932,0.413924,0
749240654,0.716049,0.603797,0.716049,0.603797,0
749240687,0.7132,0.618987,0.7151,0.611392,0
