tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532707736,0.611311,0.333333,0.613106,0.371661,1
532707769,0.614004,0.333333,0.614004,0.369338,1
532707804,0.62298,0.33101,0.614901,0.367015,1
532707835,0.60772,0.328688,0.614901,0.364692,1
532707868,0.608618,0.348432,0.614004,0.363531,1
532707902,0.635548,0.351916,0.615799,0.361208,1
532707935,0.629264,0.339141,0.616697,0.360046,1
532707968,0.612208,0.347271,0.616697,0.358885,1
532708002,0.641831,0.339141,0.618492,0.356562,1
532708035,0.626571,0.347271,0.61939,0.355401,1
532708068,0.628366,0.360046,0.620287,0.355401,1
532708102,0.651706,0.415796,0.622083,0.357724,1
532708135,0.627469,0.425087,0.62298,0.361208,1
532708168,0.632855,0.413473,0.623878,0.363531,1
532708202,0.638241,0.429733,0.624776,0.367015,1
532708235,0.631957,0.390244,0.625673,0.368177,1
532708268,0.626571,0.320558,0.626571,0.365854,1
532708301,0.643627,0.303136,0.627469,0.361208,1
532708335,0.63465,0.308943,0.628366,0.357724,1
532708368,0.637343,0.319396,0.629264,0.355401,1
532708402,0.647217,0.31475,0.630162,0.353078,1
532708435,0.631059,0.29849,0.631059,0.349593,1
532708468,0.638241,0.308943,0.631957,0.347271,1
532708502,0.640934,0.305459,0.632855,0.344948,1
532708535,0.631059,0.329849,0.632855,0.342625,1
532708568,0.628366,0.334495,0.632855,0.342625,1
532708768,0.635548,0.320558,0.640934,0.343786,1
532708801,0.63465,0.321719,0.640934,0.342625,1
532708834,0.637343,0.324042,0.640934,0.341463,1
532708868,0.654399,0.332172,0.641831,0.340302,1
532708901,0.640036,0.313589,0.642729,0.337979,1
532708934,0.642729,0.318235,0.642729,0.335656,1
532708967,0.652603,0.329849,0.643627,0.333333,1
532709001,0.622083,0.426249,0.642729,0.337979,1
532709034,0.631059,0.416957,0.641831,0.342625,1
532709067,0.633752,0.420441,0.640934,0.346109,1
532709101,0.631957,0.437863,0.640934,0.353078,1
532709134,0.643627,0.437863,0.640934,0.360046,1
532709167,0.636445,0.440186,0.640934,0.365854,1
532709201,0.640036,0.439024,0.640934,0.372822,1
532709234,0.630162,0.4518,0.640036,0.37863,1
532709267,0.643627,0.439024,0.640036,0.384437,1
532709301,0.628366,0.458769,0.639138,0.391405,1
532709335,0.633752,0.506388,0.633752,0.506388,0
532709370,0.652603,0.537747,0.652603,0.537747,0
532709400,0.637343,0.563298,0.644524,0.550523,0
