tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532996741,0.591562,0.333333,0.598743,0.325203,1
532996774,0.59246,0.340302,0.598743,0.325203,1
532996807,0.598743,0.350755,0.599641,0.326365,1
532996842,0.588869,0.340302,0.599641,0.326365,1
532996877,0.585278,0.363531,0.598743,0.327526,1
532996906,0.59605,0.361208,0.598743,0.328688,1
532996939,0.588869,0.356562,0.598743,0.329849,1
532996975,0.599641,0.353078,0.598743,0.33101,1
532997006,0.601436,0.358885,0.599641,0.332172,1
532997039,0.576302,0.368177,0.597846,0.334495,1
532997072,0.586176,0.347271,0.596948,0.335656,1
532997106,0.588869,0.339141,0.596948,0.335656,1
532997139,0.575404,0.337979,0.595153,0.336818,1
532997172,0.587971,0.347271,0.595153,0.337979,1
532997206,0.583483,0.377468,0.593357,0.341463,1
532997239,0.598743,0.370499,0.593357,0.343786,1
532997272,0.588869,0.357724,0.593357,0.344948,1
532997306,0.597846,0.349593,0.593357,0.346109,1
532997339,0.588869,0.362369,0.59246,0.348432,1
532997372,0.493716,0.518002,0.493716,0.518002,0
532997406,0.475763,0.499419,0.475763,0.499419,0
532997439,0.483842,0.506388,0.480251,0.502904,0
532997473,0.48833,0.500581,0.482944,0.501742,0
532997505,0.468582,0.507549,0.479354,0.502904,0
532997539,0.476661,0.547038,0.478456,0.512195,0
532997606,0.48833,0.594657,0.478456,0.530778,1
532997640,0.487433,0.59698,0.479354,0.54007,1
532997673,0.491023,0.578397,0.481149,0.544715,1
532997839,0.527828,0.56446,0.485637,0.54007,1
532997872,0.532316,0.554007,0.489228,0.541231,1
532997906,0.520646,0.583043,0.491921,0.543554,1
532997954,0.426391,0.481998,0.487433,0.54007,1
532997972,0.421903,0.492451,0.482944,0.536585,1
532998005,0.426391,0.509872,0.479354,0.534262,1
532998039,0.425494,0.493612,0.475763,0.53194,1
532998072,0.415619,0.506388,0.471275,0.529617,1
532998106,0.421005,0.513357,0.467684,0.528455,1
532998139,0.431777,0.392567,0.431777,0.392567,0
532998172,0.429084,0.40302,0.429084,0.40302,0
532998206,0.428187,0.421603,0.429084,0.412311,0
532998238,0.43088,0.405343,0.429084,0.409988,0
532998272,0.409336,0.385598,0.424596,0.404181,0
532998305,0.416517,0.373984,0.422801,0.397213,0
532998338,0.433573,0.398374,0.424596,0.398374,1
532998372,0.421005,0.377468,0.423698,0.39489,1
532998406,0.578995,0.354239,0.578995,0.354239,0
532998441,0.56553,0.340302,0.56553,0.340302,0
532998473,0.572711,0.342625,0.56912,0.341463,0
532998506,0.582585,0.344948,0.573609,0.342625,0
532998539,0.570018,0.325203,0.572711,0.337979,0
532998572,0.587074,0.367015,0.575404,0.343786,0
532998609,0.579892,0.346109,0.576302,0.343786,1
532998640,0.567325,0.349593,0.575404,0.344948,1
532998672,0.570916,0.350755,0.574506,0.346109,1
532998705,0.56912,0.371661,0.573609,0.348432,1
532998738,0.371634,0.361208,0.371634,0.361208,0
532998772,0.398564,0.355401,0.398564,0.355401,0
532998805,0.391382,0.347271,0.394973,0.351916,0
532998838,0.401257,0.349593,0.396768,0.350755,0
532998872,0.37702,0.360046,0.39228,0.353078,0
532998904,0.38061,0.362369,0.389587,0.355401,0
532998938,0.375224,0.354239,0.386894,0.355401,1
532998971,0.383303,0.349593,0.386894,0.354239,1
532999005,0.389587,0.348432,0.386894,0.353078,1
532999038,0.38061,0.354239,0.385996,0.353078,1
532999072,0.362657,0.353078,0.383303,0.353078,1
532999105,0.390485,0.354239,0.384201,0.353078,1
532999139,0.375224,0.365854,0.383303,0.354239,1
532999171,0.367145,0.351916,0.381508,0.354239,1
532999204,0.394973,0.353078,0.382406,0.354239,1
532999238,0.456014,0.326365,0.388689,0.351916,1
532999272,0.433573,0.332172,0.39228,0.350755,1
532999307,0.442549,0.329849,0.395871,0.349593,1
532999341,0.454219,0.305459,0.400359,0.346109,1
532999374,0.43447,0.334495,0.403052,0.344948,1
532999405,0.440754,0.313589,0.405745,0.342625,1
532999438,0.454219,0.335656,0.409336,0.341463,1
532999471,0.447038,0.333333,0.412926,0.341463,1
532999505,0.438061,0.327526,0.414722,0.340302,1
532999538,0.440754,0.327526,0.417415,0.339141,1
532999571,0.445242,0.341463,0.420108,0.337979,1
532999604,0.440754,0.344948,0.421903,0.337979,1
532999637,0.431777,0.356562,0.423698,0.339141,1
532999671,0.447038,0.334495,0.426391,0.337979,1
532999704,0.459605,0.335656,0.429084,0.337979,1
532999737,0.36535,0.426249,0.427289,0.342625,1
532999771,0.359066,0.39489,0.423698,0.346109,1
532999805,0.387792,0.413473,0.421903,0.350755,1
532999838,0.382406,0.444832,0.420108,0.356562,1
532999871,0.372531,0.426249,0.417415,0.361208,1
532999904,0.371634,0.420441,0.415619,0.365854,1
532999939,0.378815,0.420441,0.412926,0.370499,1
532999971,0.383303,0.484321,0.383303,0.484321,0
533000004,0.36535,0.487805,0.36535,0.487805,0
533000037,0.364452,0.513357,0.36535,0.500581,0
533000071,0.354578,0.492451,0.361759,0.498258,0
533000105,0.384201,0.507549,0.367145,0.500581,0
533000138,0.362657,0.514518,0.366248,0.502904,0
533000173,0.379713,0.512195,0.368941,0.505226,1
533000205,0.383303,0.521487,0.370736,0.507549,1
533000238,0.379713,0.547038,0.371634,0.512195,1
533000271,0.39228,0.558653,0.374327,0.518002,1
533000307,0.369838,0.562137,0.374327,0.522648,1
533000337,0.369838,0.538908,0.373429,0.524971,1
533000370,0.382406,0.541231,0.374327,0.526132,1
533000406,0.368941,0.569106,0.374327,0.530778,1
533000437,0.390485,0.57259,0.375224,0.534262,1
533000470,0.393178,0.549361,0.37702,0.536585,1
