tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532738845,0.709156,0.500581,0.663375,0.478513,1
532738877,0.714542,0.483159,0.667864,0.479675,1
532738911,0.706463,0.486643,0.670557,0.479675,1
532738944,0.680431,0.480836,0.672352,0.479675,1
532738977,0.70377,0.471545,0.675045,0.479675,1
532739011,0.684919,0.498258,0.675943,0.480836,1
532739044,0.701077,0.486643,0.677738,0.481998,1
532739077,0.714542,0.504065,0.681329,0.483159,1
532739111,0.708259,0.508711,0.683124,0.485482,1
532739144,0.698384,0.399535,0.684919,0.479675,1
532739177,0.693896,0.400697,0.685817,0.475029,1
532739210,0.70018,0.398374,0.687612,0.470383,1
532739244,0.691203,0.369338,0.689408,0.464576,1
532739277,0.687612,0.353078,0.690305,0.456446,1
532739311,0.692101,0.387921,0.691203,0.4518,1
532739344,0.702873,0.373984,0.692998,0.445993,1
532739377,0.690305,0.350755,0.693896,0.437863,1
532739410,0.689408,0.373984,0.693896,0.433217,1
532739444,0.701077,0.360046,0.694794,0.426249,1
532739477,0.64632,0.364692,0.692101,0.420441,1
532739510,0.610413,0.358885,0.610413,0.358885,0
532739544,0.599641,0.368177,0.599641,0.368177,0
532739577,0.584381,0.357724,0.591562,0.363531,0
532739611,0.602334,0.355401,0.595153,0.360046,0
532739644,0.600539,0.355401,0.596948,0.358885,0
532739677,0.59605,0.344948,0.596948,0.356562,0
532739710,0.609515,0.375145,0.598743,0.358885,1
532739743,0.593357,0.405343,0.597846,0.365854,1
532739777,0.598743,0.41115,0.597846,0.371661,1
532739810,0.598743,0.428571,0.597846,0.37863,1
532739843,0.600539,0.430894,0.598743,0.384437,1
532739877,0.605925,0.414634,0.598743,0.387921,1
532739910,0.603232,0.428571,0.599641,0.392567,1
532739943,0.595153,0.436702,0.598743,0.396051,1
532739976,0.604129,0.429733,0.599641,0.399535,1
532740010,0.608618,0.448316,0.600539,0.404181,1
532740043,0.60772,0.428571,0.601436,0.406504,1
532740076,0.599641,0.421603,0.601436,0.408827,1
532740110,0.609515,0.413473,0.601436,0.408827,1
532740143,0.583483,0.423926,0.600539,0.41115,1
532740176,0.514363,0.369338,0.595153,0.408827,1
532740210,0.526032,0.358885,0.590664,0.405343,1
532740243,0.523339,0.370499,0.585278,0.404181,1
532740276,0.52693,0.387921,0.581688,0.40302,1
532740309,0.491921,0.357724,0.491921,0.357724,0
532740343,0.466786,0.348432,0.466786,0.348432,0
532740377,0.456912,0.346109,0.4614,0.347271,0
532740410,0.462298,0.363531,0.462298,0.353078,0
532740443,0.456912,0.357724,0.460503,0.354239,0
532740476,0.398564,0.452962,0.447935,0.373984,0
532740509,0.402154,0.4518,0.439856,0.387921,1
532740543,0.395871,0.462253,0.433573,0.398374,1
532740576,0.399461,0.437863,0.429084,0.404181,1
532740609,0.40395,0.4518,0.425494,0.409988,1
532740642,0.394075,0.439024,0.421903,0.413473,1
532740676,0.39228,0.4518,0.418312,0.418118,1
532740710,0.408438,0.469222,0.417415,0.423926,1
532740742,0.391382,0.455285,0.414722,0.426249,1
532740776,0.396768,0.447154,0.412926,0.428571,1
532740809,0.372531,0.480836,0.409336,0.433217,1
532740842,0.391382,0.470383,0.391382,0.470383,0
532740876,0.378815,0.483159,0.378815,0.483159,0
532740909,0.377917,0.464576,0.378815,0.473868,0
532740942,0.381508,0.483159,0.379713,0.477352,0
532740976,0.371634,0.46806,0.377917,0.475029,0
532741009,0.377917,0.478513,0.377917,0.47619,0
532741042,0.378815,0.479675,0.377917,0.47619,1
532741076,0.381508,0.469222,0.377917,0.475029,1
532741109,0.382406,0.481998,0.378815,0.47619,1
532741142,0.356373,0.245064,0.356373,0.245064,0
532741176,0.420108,-0.121951,0.420108,-0.121951,0
532741211,0.464093,-0.108014,0.442549,-0.114983,0
532741242,0.453321,-0.109175,0.44614,-0.11266,0
