tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533097692,0.452424,0.542393,0.452424,0.542393,0
533097725,0.45781,0.565621,0.45781,0.565621,0
533097759,0.448833,0.551684,0.453321,0.558653,0
533097793,0.447935,0.569106,0.451526,0.562137,0
533097825,0.452424,0.543554,0.451526,0.557491,0
533097858,0.436266,0.583043,0.448833,0.562137,0
533097892,0.447038,0.558653,0.447935,0.562137,1
533097925,0.40754,0.544715,0.442549,0.559814,1
533097958,0.394973,0.53194,0.436266,0.555168,1
533097991,0.409336,0.530778,0.432675,0.552846,1
533098025,0.413824,0.527294,0.429982,0.549361,1
533098058,0.40395,0.534262,0.427289,0.5482,1
533098092,0.396768,0.519164,0.424596,0.544715,1
533098125,0.409336,0.56446,0.422801,0.547038,1
533098159,0.397666,0.566783,0.420108,0.5482,1
533098193,0.395871,0.544715,0.418312,0.5482,1
533098228,0.400359,0.528455,0.416517,0.545877,1
533098259,0.450628,0.563298,0.418312,0.547038,1
533098292,0.451526,0.586527,0.420108,0.549361,1
533098325,0.43088,0.570267,0.421005,0.551684,1
533098359,0.436266,0.590012,0.421903,0.554007,1
533098392,0.433573,0.571429,0.422801,0.555168,1
533098426,0.441652,0.576074,0.423698,0.55633,1
533098459,0.443447,0.616725,0.424596,0.560976,1
533098492,0.427289,0.59698,0.425494,0.563298,1
533098525,0.385996,0.74216,0.385996,0.74216,0
533098559,0.409336,0.760743,0.409336,0.760743,0
533098592,0.40754,0.752613,0.408438,0.756098,0
533098625,0.395871,0.75029,0.404847,0.753775,0
533098659,0.393178,0.69338,0.401257,0.738676,0
533098692,0.405745,0.651568,0.402154,0.721254,0
533098725,0.401257,0.692218,0.402154,0.715447,1
533098759,0.394075,0.684088,0.401257,0.710801,1
533098792,0.397666,0.708479,0.400359,0.710801,1
533098826,0.413824,0.68525,0.402154,0.707317,1
533098860,0.40395,0.675958,0.402154,0.703833,1
533098892,0.411131,0.785134,0.403052,0.710801,1
533098925,0.387792,0.763066,0.402154,0.716609,1
533098959,0.391382,0.743322,0.401257,0.718931,1
533098992,0.389587,0.731707,0.400359,0.720093,1
533099025,0.393178,0.730546,0.399461,0.720093,1
533099059,0.387792,0.775842,0.398564,0.724739,1
533099093,0.390485,0.743322,0.397666,0.7259,1
533099125,0.382406,0.740999,0.396768,0.728223,1
533099158,0.330341,0.782811,0.39228,0.731707,1
533099191,0.342011,0.840883,0.342011,0.840883,0
533099225,0.346499,0.809524,0.346499,0.809524,0
533099258,0.32675,0.824623,0.336625,0.817654,0
533099291,0.339318,0.868757,0.337522,0.835075,0
