tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532931659,0.294434,0.524971,0.289946,0.494774,1
532931691,0.29623,0.481998,0.290844,0.493612,1
532931724,0.301616,0.513357,0.291741,0.495935,1
532931758,0.307899,0.478513,0.292639,0.494774,1
532931791,0.306104,0.493612,0.293537,0.494774,1
532931824,0.283662,0.499419,0.292639,0.494774,1
532931857,0.307899,0.493612,0.294434,0.494774,1
532931891,0.298025,0.480836,0.294434,0.493612,1
532931924,0.310592,0.500581,0.295332,0.494774,1
532931957,0.300718,0.497096,0.29623,0.494774,1
532931991,0.319569,0.46806,0.298025,0.492451,1
532932024,0.29982,0.527294,0.298025,0.494774,1
532932057,0.302513,0.488966,0.298923,0.494774,1
532932092,0.298025,0.486643,0.298923,0.494774,1
532932124,0.389587,0.507549,0.305206,0.495935,1
532932157,0.52693,0.469222,0.52693,0.469222,0
532932190,0.52693,0.492451,0.52693,0.492451,0
532932224,0.528725,0.500581,0.527828,0.495935,0
532932257,0.524237,0.478513,0.52693,0.490128,0
532932490,0.635548,0.437863,0.594255,0.408827,1
532932523,0.628366,0.493612,0.597846,0.416957,1
532932557,0.652603,0.508711,0.603232,0.425087,1
532932590,0.640036,0.522648,0.606822,0.433217,1
532932623,0.657989,0.494774,0.612208,0.439024,1
532932657,0.641831,0.483159,0.614901,0.442509,1
532932690,0.635548,0.488966,0.616697,0.445993,1
532932723,0.652603,0.594657,0.652603,0.594657,0
532932757,0.656194,0.566783,0.656194,0.566783,0
532932790,0.650808,0.549361,0.653501,0.558653,0
532932823,0.659785,0.591173,0.655296,0.569106,0
532932857,0.649013,0.58072,0.653501,0.57259,0
532932890,0.517953,0.583043,0.626571,0.574913,0
532932923,0.529623,0.58885,0.529623,0.58885,0
532932956,0.517953,0.617886,0.517953,0.617886,0
532932990,0.51526,0.55633,0.517056,0.587689,0
532933023,0.517953,0.579559,0.517056,0.584204,0
532933056,0.517056,0.569106,0.517056,0.58072,0
532933090,0.504488,0.574913,0.514363,0.579559,0
532933123,0.429982,0.440186,0.429982,0.440186,0
532933156,0.43088,0.477352,0.43088,0.477352,0
532933356,0.473968,0.333333,0.473968,0.333333,0
532933423,0.543088,0.313589,0.500898,0.311266,0
532933456,0.550269,0.321719,0.513465,0.31475,0
532933489,0.547576,0.321719,0.520646,0.315912,0
532933523,0.54219,0.31475,0.524237,0.315912,1
532933556,0.554758,0.312427,0.528725,0.31475,1
532933589,0.557451,0.328688,0.533214,0.317073,1
532934122,0.594255,0.372822,0.605027,0.351916,1
532934155,0.600539,0.358885,0.604129,0.351916,1
532934255,0.652603,-0.114983,0.652603,-0.114983,0
532934355,0.598743,0.246225,0.600539,0.31475,0
532934389,0.526032,-0.116144,0.581688,0.205575,0
532934422,0.497307,-0.142857,0.564632,0.133566,0
532934455,0.489228,-0.189315,0.489228,-0.189315,0
532934488,0.494614,-0.182346,0.494614,-0.182346,0
