tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532689383,0.389587,0.318235,0.387792,0.325203,1
532689417,0.362657,0.32288,0.385996,0.325203,1
532689450,0.378815,0.321719,0.385996,0.325203,1
532689483,0.39228,0.328688,0.385996,0.325203,1
532689516,0.383303,0.341463,0.385099,0.326365,1
532689550,0.383303,0.315912,0.385099,0.326365,1
532689583,0.378815,0.351916,0.384201,0.327526,1
532689616,0.37702,0.336818,0.383303,0.328688,1
532689650,0.378815,0.317073,0.383303,0.328688,1
532689683,0.443447,0.325203,0.386894,0.328688,1
532689717,0.364452,0.336818,0.385099,0.328688,1
532689751,0.368043,0.325203,0.384201,0.328688,1
532689785,0.389587,0.364692,0.384201,0.33101,1
532689816,0.383303,0.348432,0.384201,0.332172,1
532689849,0.354578,0.329849,0.382406,0.332172,1
532689883,0.363555,0.325203,0.381508,0.332172,1
532689916,0.367145,0.333333,0.379713,0.332172,1
532689949,0.372531,0.308943,0.379713,0.33101,1
532689983,0.362657,0.327526,0.377917,0.33101,1
532690016,0.368941,0.321719,0.37702,0.33101,1
532690049,0.368941,0.321719,0.37702,0.329849,1
532690083,0.368043,0.320558,0.376122,0.329849,1
532690116,0.371634,0.321719,0.375224,0.328688,1
532690149,0.363555,0.324042,0.374327,0.328688,1
532690183,0.369838,0.31475,0.373429,0.327526,1
532690216,0.351885,0.324042,0.371634,0.327526,1
532690249,0.366248,0.312427,0.371634,0.326365,1
532690282,0.375224,0.324042,0.371634,0.326365,1
532690316,0.369838,0.324042,0.370736,0.325203,1
532690349,0.376122,0.311266,0.370736,0.324042,1
532690382,0.376122,0.315912,0.370736,0.324042,1
532690416,0.360862,0.32288,0.369838,0.32288,1
532690449,0.343806,0.315912,0.368043,0.32288,1
532690482,0.371634,0.313589,0.368043,0.321719,1
532690516,0.360862,0.325203,0.367145,0.321719,1
532690549,0.358169,0.313589,0.366248,0.320558,1
532690584,0.36535,0.329849,0.366248,0.321719,1
532690618,0.356373,0.332172,0.36535,0.321719,1
532690649,0.359066,0.336818,0.364452,0.321719,1
532690682,0.370736,0.348432,0.364452,0.324042,1
532690715,0.356373,0.335656,0.364452,0.324042,1
532690749,0.368043,0.33101,0.364452,0.325203,1
532690782,0.423698,0.304297,0.368043,0.324042,1
532690815,0.421903,0.312427,0.371634,0.32288,1
532690849,0.416517,0.311266,0.374327,0.32288,1
532690883,0.416517,0.311266,0.37702,0.321719,1
532690915,0.424596,0.312427,0.38061,0.321719,1
532690948,0.425494,0.321719,0.384201,0.321719,1
532690982,0.423698,0.291521,0.386894,0.319396,1
532691016,0.420108,0.299652,0.390485,0.318235,1
532691048,0.5386,0.33101,0.5386,0.33101,0
532691082,0.621185,0.371661,0.621185,0.371661,0
532691115,0.617594,0.369338,0.61939,0.370499,0
532691148,0.613106,0.383275,0.617594,0.375145,0
532691182,0.61939,0.354239,0.617594,0.369338,0
532691215,0.623878,0.37863,0.61939,0.371661,0
532691248,0.615799,0.396051,0.618492,0.375145,1
532691282,0.629264,0.41928,0.620287,0.382114,1
532691315,0.628366,0.488966,0.621185,0.396051,1
532691349,0.650808,0.479675,0.650808,0.479675,0
532691382,0.642729,0.465738,0.642729,0.465738,0
532691415,0.626571,0.466899,0.63465,0.465738,0
532691448,0.614004,0.494774,0.628366,0.47619,0
532691481,0.625673,0.506388,0.627469,0.483159,0
532691515,0.632855,0.492451,0.628366,0.485482,0
532691548,0.623878,0.52381,0.627469,0.492451,1
532691581,0.638241,0.501742,0.629264,0.493612,1
532691615,0.639138,0.483159,0.630162,0.492451,1
532691648,0.642729,0.47619,0.631957,0.490128,1
532691681,0.618492,0.507549,0.630162,0.492451,1
532691715,0.617594,0.554007,0.629264,0.498258,1
532691748,0.616697,0.5482,0.628366,0.502904,1
532691781,0.621185,0.558653,0.627469,0.508711,1
532691815,0.622083,0.56446,0.626571,0.513357,1
532691848,0.623878,0.558653,0.626571,0.518002,1
532691881,0.606822,0.545877,0.624776,0.520325,1
532691914,0.609515,0.607433,0.623878,0.527294,1
532691948,0.612208,0.512195,0.62298,0.527294,1
532691981,0.610413,0.567944,0.622083,0.529617,1
532692014,0.611311,0.574913,0.621185,0.534262,1
532692048,0.615799,0.554007,0.620287,0.535424,1
