tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532488910,0.279174,0.087108,0.279174,0.087108,0
532488943,0.27289,0.0801394,0.276481,0.0836237,0
532488976,0.280969,0.0894309,0.277379,0.0859466,0
532489009,0.274686,0.103368,0.276481,0.0905923,0
532489043,0.278276,0.0847851,0.277379,0.0894309,0
532489076,0.262118,0.0754936,0.274686,0.087108,1
532489109,0.270197,0.114983,0.273788,0.0905923,1
532489143,0.281867,0.447154,0.281867,0.447154,0
532489176,0.287253,0.44367,0.287253,0.44367,0
532489209,0.282765,0.458769,0.28456,0.4518,0
532489243,0.279174,0.4518,0.282765,0.4518,0
532489276,0.286355,0.454123,0.283662,0.4518,0
532489309,0.285458,0.464576,0.28456,0.455285,0
532489342,0.295332,0.44367,0.286355,0.452962,1
532489376,0.275583,0.46806,0.28456,0.455285,1
532489409,0.28456,0.45993,0.28456,0.455285,1
532489442,0.28456,0.452962,0.28456,0.455285,1
532489476,0.283662,0.455285,0.28456,0.455285,1
532489509,0.314183,0.502904,0.287253,0.45993,1
532489543,0.319569,0.481998,0.290844,0.462253,1
532489576,0.318671,0.502904,0.292639,0.465738,1
532489609,0.322262,0.488966,0.295332,0.46806,1
532489643,0.315978,0.508711,0.297127,0.471545,1
532489676,0.312388,0.485482,0.298923,0.472706,1
532489709,0.309695,0.506388,0.29982,0.47619,1
532489742,0.378815,0.243902,0.378815,0.243902,0
532489776,0.385996,0.216028,0.385996,0.216028,0
532489809,0.39228,0.216028,0.388689,0.216028,0
532489842,0.399461,0.210221,0.39228,0.213705,0
532489876,0.396768,0.217189,0.393178,0.214866,0
532489909,0.394075,0.212544,0.394075,0.214866,0
532489942,0.390485,0.207898,0.393178,0.213705,1
532489975,0.397666,0.216028,0.394075,0.213705,1
532490009,0.44614,0.212544,0.400359,0.213705,1
532490042,0.507181,0.260163,0.507181,0.260163,0
532490075,0.51526,0.269454,0.51526,0.269454,0
532490109,0.503591,0.271777,0.509874,0.270616,0
532490142,0.504488,0.2741,0.508079,0.271777,0
532490175,0.512567,0.268293,0.508977,0.270616,0
532490208,0.678636,0.384437,0.543088,0.293844,0
532490242,0.735188,0.433217,0.735188,0.433217,0
532490275,0.728007,0.43554,0.728007,0.43554,0
532490308,0.735188,0.436702,0.731598,0.436702,0
532490342,0.736086,0.428571,0.733393,0.433217,0
532490376,0.728007,0.433217,0.731598,0.433217,0
532490409,0.725314,0.455285,0.7307,0.437863,0
532490442,0.665171,0.643438,0.665171,0.643438,0
532490475,0.649013,0.629501,0.649013,0.629501,0
532490508,0.664273,0.629501,0.657092,0.629501,0
532490541,0.670557,0.631823,0.66158,0.630662,0
532490575,0.655296,0.638792,0.659785,0.631823,0
532490608,0.666068,0.641115,0.66158,0.634146,0
532490641,0.666068,0.645761,0.662478,0.636469,1
532490675,0.667864,0.623693,0.662478,0.634146,1
532490708,0.656194,0.622532,0.662478,0.632985,1
532490741,0.524237,0.598142,0.524237,0.598142,0
532490775,0.525135,0.612079,0.525135,0.612079,0
532490808,0.525135,0.601626,0.525135,0.606272,0
532490841,0.523339,0.641115,0.524237,0.619048,0
532490875,0.535907,0.645761,0.52693,0.624855,0
532490908,0.527828,0.651568,0.527828,0.630662,0
532490941,0.531418,0.626016,0.527828,0.629501,1
532490974,0.520646,0.628339,0.52693,0.629501,1
532491008,0.535009,0.643438,0.527828,0.631823,1
532491041,0.517953,0.627178,0.52693,0.631823,1
532491074,0.520646,0.642276,0.526032,0.632985,1
532491108,0.517953,0.627178,0.525135,0.631823,1
532491141,0.525135,0.626016,0.525135,0.631823,1
532491175,0.517953,0.634146,0.525135,0.631823,1
532491208,0.508977,0.630662,0.523339,0.631823,1
532491241,0.301616,0.61324,0.301616,0.61324,0
532491275,0.325853,0.62137,0.325853,0.62137,0
532491307,0.331239,0.608595,0.328546,0.614402,0
532491341,0.318671,0.617886,0.324955,0.615563,0
532491374,0.312388,0.617886,0.322262,0.616725,0
532491407,0.313285,0.466899,0.320467,0.585366,0
532491441,0.304309,0.470383,0.316876,0.565621,1
532491474,0.305206,0.480836,0.315081,0.552846,1
532491507,0.306104,0.471545,0.314183,0.541231,1
532491541,0.310592,0.479675,0.313285,0.534262,1
532491574,0.307002,0.484321,0.312388,0.527294,1
532491607,0.504488,0.404181,0.504488,0.404181,0
532491641,0.71544,0.351916,0.71544,0.351916,0
532491674,0.725314,0.358885,0.720826,0.355401,0
532491707,0.675045,0.157956,0.705566,0.289199,0
532491740,0.674147,0.16957,0.697487,0.259001,0
532491774,0.675045,0.170732,0.692998,0.240418,0
532491807,0.690305,0.164925,0.690305,0.164925,0
532491840,0.681329,0.163763,0.681329,0.163763,0
532491874,0.682226,0.164925,0.682226,0.164925,0
532491907,0.675045,0.176539,0.679533,0.168409,0
532491940,0.675943,0.174216,0.678636,0.16957,0
532491974,0.677738,0.166086,0.678636,0.168409,0
532492008,0.67684,0.170732,0.678636,0.16957,1
532492041,0.684022,0.16957,0.678636,0.16957,1
532492074,0.67684,0.167247,0.678636,0.16957,1
532492107,0.671454,0.183508,0.677738,0.170732,1
532492140,0.737881,0.425087,0.737881,0.425087,0
532492173,0.729802,0.422764,0.729802,0.422764,0
532492207,0.71903,0.429733,0.724416,0.426249,0
532492240,0.726212,0.434379,0.725314,0.428571,0
532492273,0.736086,0.437863,0.728007,0.430894,0
532492307,0.7307,0.441347,0.728007,0.433217,0
532492340,0.74237,0.445993,0.7307,0.43554,1
532492373,0.745063,0.527294,0.732495,0.449477,1
532492407,0.748653,0.52381,0.735188,0.458769,1
532492440,0.754937,0.526132,0.736984,0.46806,1
532492473,0.744165,0.515679,0.737881,0.472706,1
532492506,0.743267,0.52381,0.738779,0.478513,1
532492540,0.754937,0.519164,0.740574,0.483159,1
532492573,0.752244,0.498258,0.741472,0.485482,1
532492607,0.751347,0.516841,0.74237,0.487805,1
532492640,0.70377,0.514518,0.739677,0.491289,1
532492673,0.699282,0.52381,0.736984,0.493612,1
532492706,0.705566,0.521487,0.734291,0.497096,1
532492740,0.707361,0.519164,0.732495,0.498258,1
532492773,0.701077,0.530778,0.729802,0.501742,1
532492807,0.620287,0.31475,0.620287,0.31475,0
532492842,0.561041,0.256678,0.561041,0.256678,0
532492873,0.558348,0.268293,0.560144,0.262485,0
532492906,0.564632,0.256678,0.561041,0.260163,0
532492939,0.552065,0.256678,0.559246,0.260163,0
532492973,0.558348,0.25784,0.559246,0.259001,0
532493006,0.559246,0.270616,0.559246,0.261324,1
532493039,0.55386,0.270616,0.558348,0.262485,1
532493073,0.548474,0.292683,0.556553,0.267131,1
532493106,0.469479,0.475029,0.469479,0.475029,0
532493139,0.479354,0.663182,0.479354,0.663182,0
532493173,0.438959,0.68525,0.459605,0.674797,0
532493206,0.43447,0.678281,0.450628,0.675958,0
532493239,0.441652,0.672474,0.448833,0.674797,0
532493273,0.438061,0.67712,0.44614,0.674797,0
532493306,0.443447,0.66899,0.443447,0.66899,0
532493339,0.43088,0.67712,0.43088,0.67712,0
532493372,0.436266,0.679443,0.433573,0.678281,0
532493406,0.349192,0.691057,0.405745,0.682927,0
532493439,0.342908,0.679443,0.389587,0.681765,0
532493472,0.329443,0.688734,0.37702,0.682927,0
532493506,0.327648,0.684088,0.368941,0.682927,1
532493540,0.332136,0.674797,0.362657,0.681765,1
532493573,0.449731,0.714286,0.373429,0.686411,1
532493606,0.455117,0.708479,0.383303,0.688734,1
532493639,0.452424,0.720093,0.390485,0.692218,1
532493672,0.471275,0.753775,0.398564,0.699187,1
532493705,0.453321,0.729384,0.40395,0.70151,1
532493742,0.460503,0.740999,0.409336,0.704994,1
532493772,0.467684,0.747967,0.414722,0.70964,1
532493805,0.445242,0.724739,0.418312,0.710801,1
532493839,0.443447,0.716609,0.421005,0.711963,1
532493872,0.456014,0.718931,0.456014,0.718931,0
532493905,0.321364,0.753775,0.321364,0.753775,0
532493939,0.278276,0.740999,0.29982,0.747967,0
532493972,0.27289,0.749129,0.290844,0.747967,0
532494005,0.262118,0.75029,0.283662,0.747967,0
532494039,0.263016,0.753775,0.279174,0.749129,0
532494072,0.270197,0.761905,0.270197,0.761905,0
532494105,0.278276,0.753775,0.278276,0.753775,0
532494139,0.270197,0.764228,0.274686,0.759582,0
532494172,0.262118,0.745645,0.270197,0.754936,0
532494205,0.267504,0.749129,0.2693,0.753775,0
532494238,0.266607,0.745645,0.2693,0.751452,0
532494272,0.253142,0.665505,0.266607,0.737514,1
532494305,0.248654,0.678281,0.263914,0.728223,1
532494338,0.249551,0.684088,0.262118,0.722416,1
532494372,0.251346,0.66899,0.260323,0.715447,1
532494405,0.251346,0.681765,0.259425,0.711963,1
532494438,0.262118,0.675958,0.259425,0.707317,1
532494472,0.255835,0.66899,0.259425,0.703833,1
532494506,0.248654,0.679443,0.25763,0.700348,1
532494539,0.253142,0.679443,0.25763,0.699187,1
532494571,0.255835,0.674797,0.25763,0.696864,1
532494605,0.260323,0.67712,0.25763,0.694541,1
532494638,0.259425,0.659698,0.25763,0.691057,1
532494671,0.254937,0.681765,0.25763,0.689895,1
532494705,0.261221,0.674797,0.25763,0.688734,1
532494738,0.25763,0.675958,0.25763,0.687573,1
532494771,0.266607,0.671312,0.25763,0.68525,1
532494804,0.258528,0.670151,0.25763,0.684088,1
532494838,0.263914,0.4518,0.263914,0.4518,0
532494871,0.261221,0.472706,0.261221,0.472706,0
