tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533317087,0.711849,0.373984,0.712747,0.37863,0
533317120,0.705566,0.369338,0.710952,0.377468,0
533317152,0.667864,0.569106,0.667864,0.569106,0
533317185,0.662478,0.59698,0.662478,0.59698,0
533317222,0.666068,0.567944,0.664273,0.581882,0
533317252,0.64991,0.587689,0.658887,0.584204,0
533317285,0.647217,0.600465,0.656194,0.58885,0
533317318,0.658887,0.571429,0.656194,0.585366,0
533317352,0.660682,0.609756,0.657092,0.58885,1
533317385,0.643627,0.559814,0.655296,0.585366,1
533317418,0.672352,0.487805,0.657092,0.57259,1
533317451,0.671454,0.493612,0.658887,0.563298,1
533317485,0.674147,0.494774,0.660682,0.555168,1
533317517,0.672352,0.504065,0.66158,0.549361,1
533317552,0.669659,0.495935,0.662478,0.543554,1
533317585,0.63465,0.593496,0.660682,0.5482,1
533317618,0.63465,0.566783,0.657989,0.549361,1
533317651,0.633752,0.562137,0.656194,0.549361,1
533317684,0.637343,0.557491,0.654399,0.549361,1
533317718,0.631059,0.56446,0.652603,0.550523,1
533317751,0.629264,0.549361,0.650808,0.550523,1
533317785,0.629264,0.598142,0.649013,0.552846,1
533317818,0.635548,0.606272,0.648115,0.55633,1
533317854,0.635548,0.590012,0.647217,0.558653,1
533317886,0.615799,0.52381,0.644524,0.557491,1
533317918,0.598743,0.0627178,0.598743,0.0627178,0
533317952,0.560144,-0.0162602,0.560144,-0.0162602,0
533317985,0.557451,-0.0139373,0.558348,-0.0150987,0
