tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533275651,0.847397,0.349593,0.827648,0.353078,1
533275685,0.824955,0.344948,0.828546,0.351916,1
533275718,0.846499,0.339141,0.830341,0.349593,1
533275751,0.834829,0.346109,0.831239,0.348432,1
533275784,0.828546,0.333333,0.831239,0.346109,1
533275818,0.781867,0.400697,0.828546,0.348432,1
533275851,0.665171,0.535424,0.665171,0.535424,0
533275884,0.662478,0.592335,0.662478,0.592335,0
533275918,0.64632,0.552846,0.654399,0.57259,0
533275951,0.656194,0.53194,0.655296,0.558653,0
533275984,0.63465,0.56446,0.64991,0.559814,0
533276017,0.670557,0.563298,0.654399,0.560976,0
533276052,0.660682,0.555168,0.655296,0.559814,1
533276084,0.64991,0.5482,0.654399,0.557491,1
533276118,0.66158,0.578397,0.655296,0.560976,1
533276152,0.637343,0.558653,0.653501,0.559814,1
533276184,0.64991,0.530778,0.652603,0.557491,1
533276218,0.64991,0.54007,0.652603,0.555168,1
533276251,0.640036,0.551684,0.651706,0.555168,1
533276284,0.655296,0.537747,0.651706,0.552846,1
533276317,0.647217,0.558653,0.650808,0.554007,1
533276350,0.641831,0.563298,0.650808,0.554007,1
533276384,0.64991,0.587689,0.64991,0.55633,1
533276417,0.631059,0.550523,0.649013,0.55633,1
533276451,0.650808,0.554007,0.649013,0.55633,1
533276484,0.638241,0.578397,0.648115,0.557491,1
533276517,0.64991,0.583043,0.648115,0.559814,1
533276550,0.650808,0.5482,0.648115,0.558653,1
533276584,0.640934,0.615563,0.648115,0.562137,1
533276617,0.611311,0.473868,0.645422,0.557491,1
533276650,0.593357,0.168409,0.593357,0.168409,0
533276684,0.534111,0.0987224,0.534111,0.0987224,0
533276717,0.494614,0.0429733,0.514363,0.0708479,0
