tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533177030,0.561041,0.43554,0.561041,0.43554,0
533177063,0.552065,0.441347,0.556553,0.437863,0
533177096,0.558348,0.442509,0.557451,0.440186,0
533177130,0.555655,0.445993,0.556553,0.441347,0
533177163,0.551167,0.480836,0.555655,0.449477,0
533177196,0.564632,0.448316,0.557451,0.449477,1
533177229,0.556553,0.426249,0.557451,0.445993,1
533177264,0.45781,0.393728,0.45781,0.393728,0
533177296,0.279174,0.367015,0.279174,0.367015,0
533177329,0.28456,0.365854,0.281867,0.367015,0
533177363,0.289048,0.354239,0.28456,0.362369,0
533177397,0.283662,0.376307,0.283662,0.365854,0
533177430,0.273788,0.363531,0.281867,0.365854,0
533177464,0.282765,0.375145,0.282765,0.375145,0
533177499,0.347397,0.40302,0.347397,0.40302,0
533177530,0.575404,0.502904,0.4614,0.452962,0
533177563,0.585278,0.530778,0.502693,0.479675,0
533177596,0.581688,0.565621,0.523339,0.501742,0
533177629,0.602334,0.549361,0.539497,0.511034,0
533177662,0.589767,0.54007,0.589767,0.54007,0
533177696,0.612208,0.565621,0.612208,0.565621,0
533177730,0.589767,0.528455,0.600539,0.547038,0
533177762,0.658887,0.549361,0.620287,0.5482,0
533177796,0.64632,0.577236,0.627469,0.555168,0
533177829,0.649013,0.574913,0.631957,0.559814,0
533177863,0.66158,0.59698,0.636445,0.565621,1
533177896,0.663375,0.585366,0.640934,0.569106,1
533177929,0.663375,0.560976,0.643627,0.567944,1
533177962,0.669659,0.549361,0.647217,0.565621,1
533177996,0.670557,0.565621,0.64991,0.565621,1
533178029,0.660682,0.57259,0.650808,0.566783,1
533178062,0.651706,0.603949,0.651706,0.570267,1
533178096,0.64991,0.577236,0.651706,0.570267,1
533178129,0.658887,0.579559,0.652603,0.571429,1
533178162,0.658887,0.581882,0.652603,0.57259,1
533178197,0.535907,0.511034,0.535907,0.511034,0
533178232,0.288151,0.348432,0.288151,0.348432,0
533178263,0.260323,0.349593,0.273788,0.348432,0
533178295,0.252244,0.367015,0.266607,0.354239,0
533178329,0.245961,0.373984,0.261221,0.360046,0
533178362,0.249551,0.363531,0.258528,0.361208,0
533178395,0.253142,0.364692,0.253142,0.364692,0
533178428,0.261221,0.365854,0.261221,0.365854,0
533178461,0.277379,0.379791,0.2693,0.372822,0
533178495,0.25763,0.38676,0.265709,0.377468,0
