tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
533752172,0.732495,0.188153,0.711849,0.183508,0
533752206,0.720826,0.192799,0.714542,0.18583,0
533752239,0.713645,0.18583,0.714542,0.18583,0
533752272,0.714542,0.188153,0.714542,0.18583,1
533752308,0.708259,0.189315,0.713645,0.186992,1
533752339,0.684022,0.167247,0.710054,0.184669,1
533752372,0.695691,0.138211,0.708259,0.178862,1
533752405,0.702873,0.148664,0.707361,0.175377,1
533752439,0.685817,0.149826,0.705566,0.173055,1
533752472,0.68851,0.163763,0.70377,0.171893,1
533752506,0.695691,0.15331,0.702873,0.16957,1
533752539,0.689408,0.149826,0.701077,0.168409,1
533752574,0.689408,0.149826,0.70018,0.166086,1
533752605,0.694794,0.168409,0.70018,0.166086,1
533752638,0.686715,0.149826,0.698384,0.164925,1
533752672,0.783662,0.367015,0.783662,0.367015,0
533752905,0.798923,0.511034,0.798025,0.42741,1
533752938,0.803411,0.527294,0.798923,0.440186,1
533752971,0.70018,0.586527,0.70018,0.586527,0
533753005,0.59246,0.796748,0.59246,0.796748,0
533753038,0.589767,0.785134,0.590664,0.790941,0
533753072,0.577199,0.799071,0.586176,0.793264,0
533753105,0.589767,0.866434,0.587074,0.811847,0
533753138,0.583483,0.795587,0.586176,0.808362,0
533753171,0.575404,0.811847,0.575404,0.811847,0
533753205,0.514363,0.807201,0.514363,0.807201,0
533753238,0.421903,0.825784,0.468582,0.816492,0
533753271,0.413824,0.828107,0.449731,0.819977,0
533753305,0.405745,0.778165,0.438959,0.809524,0
533753338,0.396768,0.813008,0.429982,0.810685,0
533753372,0.410233,0.792102,0.410233,0.792102,0
533753405,0.408438,0.780488,0.408438,0.780488,0
533753438,0.422801,0.83856,0.415619,0.809524,0
533753471,0.400359,0.802555,0.410233,0.807201,0
533753504,0.39228,0.839721,0.405745,0.815331,0
533753538,0.393178,0.840883,0.403052,0.821138,0
533753571,0.451526,0.825784,0.411131,0.821138,1
533753605,0.52693,0.817654,0.52693,0.817654,0
533753638,0.535907,0.849013,0.535907,0.849013,0
533753671,0.546679,0.832753,0.541293,0.840883,0
533753704,0.525135,0.844367,0.535907,0.842044,0
533753737,0.529623,0.821138,0.534111,0.836237,0
533753771,0.531418,0.811847,0.533214,0.831591,0
533753804,0.62298,0.760743,0.548474,0.819977,1
533753837,0.671454,0.779326,0.671454,0.779326,0
533753871,0.699282,0.792102,0.699282,0.792102,0
533753904,0.67325,0.760743,0.685817,0.777003,0
533753937,0.699282,0.773519,0.690305,0.775842,0
533753971,0.79623,0.33101,0.717235,0.663182,0
533754004,0.771993,0.355401,0.728007,0.600465,0
533754037,0.787253,0.360046,0.787253,0.360046,0
533754070,0.78097,0.372822,0.78097,0.372822,0
533754105,0.789048,0.365854,0.78456,0.369338,0
533754138,0.775584,0.356562,0.781867,0.364692,0
533754171,0.79623,0.360046,0.785458,0.363531,0
533754204,0.78097,0.339141,0.78456,0.358885,0
533754237,0.74237,0.196283,0.74237,0.196283,0
533754270,0.751347,0.190476,0.751347,0.190476,0
533754304,0.741472,0.200929,0.746858,0.195122,0
533754337,0.74596,0.209059,0.74596,0.199768,0
533754370,0.702873,0.16957,0.735188,0.191638,0
533754404,0.66158,0.109175,0.719928,0.175377,0
533754437,0.666068,0.108014,0.710952,0.163763,1
533754470,0.657989,0.116144,0.702873,0.156794,1
533754504,0.650808,0.113821,0.695691,0.150987,1
533754537,0.664273,0.123113,0.692101,0.146341,1
533754570,0.657092,0.124274,0.687612,0.144019,1
533754604,0.497307,0.111498,0.497307,0.111498,0
533754670,0.172352,0.406504,0.225314,0.326365,0
533754703,0.16158,0.401858,0.20377,0.351916,0
533754737,0.167864,0.387921,0.194794,0.361208,0
533754770,0.168761,0.399535,0.189408,0.369338,0
533754804,0.179533,0.415796,0.179533,0.415796,0
533754837,0.169659,0.418118,0.169659,0.418118,0
533754870,0.201975,0.434379,0.185817,0.426249,0
533754903,0.195691,0.56446,0.189408,0.472706,0
533754937,0.210952,0.576074,0.194794,0.498258,0
533754970,0.210054,0.587689,0.197487,0.516841,0
533755004,0.225314,0.576074,0.202873,0.527294,1
533755038,0.209156,0.577236,0.20377,0.535424,1
533755070,0.250449,0.673635,0.250449,0.673635,0
533755103,0.250449,0.711963,0.250449,0.711963,0
533755136,0.275583,0.753775,0.263016,0.732869,0
533755170,0.271993,0.756098,0.265709,0.740999,0
533755203,0.264811,0.757259,0.265709,0.744483,0
533755236,0.245063,0.732869,0.261221,0.74216,0
533755269,0.252244,0.773519,0.259425,0.747967,1
533755303,0.352783,0.795587,0.273788,0.754936,1
533755336,0.35009,0.803717,0.283662,0.761905,1
533755369,0.366248,0.804878,0.293537,0.766551,1
533755403,0.354578,0.771196,0.300718,0.767712,1
533755436,0.369838,0.786295,0.307899,0.770035,1
533755469,0.289946,0.74216,0.307002,0.767712,1
533755503,0.239677,0.698026,0.301616,0.761905,1
533755536,0.238779,0.700348,0.297127,0.756098,1
533755569,0.254039,0.720093,0.293537,0.753775,1
533755603,0.235189,0.714286,0.235189,0.714286,0
533755636,0.244165,0.662021,0.244165,0.662021,0
533755669,0.261221,0.382114,0.252244,0.521487,0
533755702,0.261221,0.174216,0.255835,0.405343,0
533755736,0.2693,0.163763,0.259425,0.343786,0
533755770,0.261221,0.166086,0.259425,0.30662,0
533755803,0.261221,0.154472,0.261221,0.154472,0
533755836,0.281867,0.167247,0.281867,0.167247,0
533755870,0.264811,0.15331,0.273788,0.160279,0
533755902,0.256732,0.167247,0.267504,0.162602,0
533755936,0.237882,0.180023,0.260323,0.167247,0
533755969,0.318671,0.224158,0.271993,0.178862,0
533756002,0.486535,0.106852,0.486535,0.106852,0
533756035,0.459605,0.138211,0.459605,0.138211,0
533756069,0.471275,0.124274,0.465889,0.131243,0
533756102,0.480251,0.108014,0.470377,0.123113,0
533756135,0.453321,0.117305,0.465889,0.121951,0
533756169,0.567325,0.0778165,0.486535,0.11266,0
533756202,0.562837,0.0801394,0.5,0.106852,1
533756235,0.564632,0.0847851,0.509874,0.103368,1
533756269,0.560144,0.0836237,0.517056,0.101045,1
533756302,0.561939,0.0813008,0.522442,0.0987224,1
533756335,0.710952,0.235772,0.710952,0.235772,0
533756369,0.726212,0.25784,0.726212,0.25784,0
533756402,0.720826,0.261324,0.723519,0.259001,0
533756442,0.727109,0.25784,0.724416,0.259001,0
533756469,0.722621,0.267131,0.724416,0.261324,0
533756502,0.724416,0.261324,0.724416,0.261324,0
