tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532214361,0.485637,0.12079,0.480251,0.14518,1
532214394,0.487433,0.141696,0.480251,0.14518,1
532214427,0.48833,0.133566,0.480251,0.14518,1
532214461,0.491921,0.144019,0.481149,0.14518,1
532214494,0.497307,0.144019,0.481149,0.146341,1
532214528,0.491023,0.144019,0.482047,0.146341,1
532214560,0.492819,0.138211,0.482047,0.146341,1
532214594,0.489228,0.138211,0.482944,0.146341,1
532214627,0.493716,0.148664,0.482944,0.146341,1
532214660,0.492819,0.141696,0.483842,0.146341,1
532214694,0.493716,0.149826,0.48474,0.146341,1
532214727,0.501795,0.13705,0.485637,0.146341,1
532214760,0.492819,0.118467,0.486535,0.14518,1
532214794,0.498205,0.132404,0.487433,0.144019,1
532214827,0.495512,0.116144,0.48833,0.142857,1
532214860,0.494614,0.124274,0.48833,0.141696,1
532214894,0.496409,0.125436,0.489228,0.139373,1
532214927,0.495512,0.113821,0.490126,0.13705,1
532214960,0.48833,0.11266,0.491023,0.134727,1
532214994,0.499102,0.119628,0.491921,0.133566,1
532215027,0.492819,0.125436,0.492819,0.132404,1
532215060,0.493716,0.111498,0.492819,0.130081,1
532215095,0.491921,0.117305,0.493716,0.12892,1
532215128,0.492819,0.109175,0.493716,0.126597,1
532215160,0.495512,0.131243,0.493716,0.126597,1
532215193,0.494614,0.117305,0.493716,0.125436,1
532215227,0.500898,0.114983,0.494614,0.124274,1
532215260,0.505386,0.11266,0.495512,0.123113,1
532215293,0.512567,0.114983,0.496409,0.121951,1
532215327,0.508977,0.11266,0.497307,0.12079,1
532215360,0.509874,0.113821,0.498205,0.12079,1
532215393,0.51167,0.117305,0.499102,0.119628,1
532215426,0.508977,0.11266,0.5,0.118467,1
532215460,0.509874,0.116144,0.500898,0.118467,1
532215493,0.516158,0.113821,0.501795,0.117305,1
532215526,0.51526,0.116144,0.503591,0.117305,1
532215560,0.505386,0.418118,0.505386,0.418118,0
532215593,0.501795,0.679443,0.501795,0.679443,0
532215627,0.497307,0.66899,0.5,0.673635,0
532215660,0.508977,0.667828,0.502693,0.672474,0
532215693,0.503591,0.694541,0.502693,0.678281,0
532215726,0.496409,0.699187,0.501795,0.681765,0
532215759,0.497307,0.68525,0.497307,0.68525,0
532215793,0.506284,0.66899,0.506284,0.66899,0
532215827,0.492819,0.680604,0.499102,0.674797,0
532215862,0.473968,0.715447,0.491023,0.687573,0
532215893,0.465889,0.708479,0.48474,0.69338,0
532215926,0.452424,0.761905,0.477558,0.707317,0
532215960,0.467684,0.718931,0.475763,0.70964,1
532215993,0.454219,0.760743,0.47307,0.71777,1
532216026,0.377917,0.663182,0.377917,0.663182,0
532216059,0.331239,0.608595,0.331239,0.608595,0
532216092,0.327648,0.636469,0.329443,0.622532,0
532216126,0.324057,0.632985,0.327648,0.626016,0
532216159,0.325853,0.629501,0.32675,0.627178,0
532216192,0.317774,0.643438,0.324955,0.630662,0
532216226,0.333932,0.622532,0.32675,0.629501,1
532216259,0.313285,0.615563,0.324955,0.627178,1
532216292,0.260323,0.628339,0.315978,0.627178,1
532216326,0.251346,0.660859,0.308797,0.631823,1
532216359,0.255835,0.660859,0.302513,0.634146,1
532216392,0.254937,0.658537,0.297127,0.637631,1
532216426,0.254039,0.675958,0.292639,0.641115,1
532216459,0.254937,0.657375,0.289048,0.642276,1
532216492,0.252244,0.664344,0.285458,0.644599,1
532216525,0.253142,0.644599,0.282765,0.644599,1
532216559,0.224417,0.69338,0.277379,0.649245,1
532216592,0.238779,0.710801,0.238779,0.710801,0
532216626,0.226212,0.708479,0.226212,0.708479,0
532216659,0.229803,0.702671,0.228007,0.704994,0
532216692,0.217235,0.706156,0.224417,0.706156,0
532216726,0.219031,0.716609,0.223519,0.708479,0
532216760,0.212747,0.692218,0.220826,0.704994,0
532216792,0.254937,0.527294,0.254937,0.527294,0
532216825,0.245063,0.514518,0.245063,0.514518,0
532216858,0.252244,0.534262,0.248654,0.524971,0
532216892,0.252244,0.516841,0.249551,0.521487,0
532216925,0.246858,0.518002,0.248654,0.520325,0
532216958,0.251346,0.52381,0.249551,0.521487,0
532216992,0.247756,0.477352,0.249551,0.513357,1
532217025,0.264811,0.401858,0.251346,0.497096,1
532217058,0.263016,0.379791,0.253142,0.481998,1
532217092,0.260323,0.391405,0.254039,0.470383,1
532217125,0.305206,0.235772,0.305206,0.235772,0
532217158,0.322262,0.222997,0.322262,0.222997,0
532217192,0.327648,0.218351,0.324955,0.220674,0
532217225,0.324955,0.220674,0.324955,0.220674,0
532217258,0.325853,0.229965,0.324955,0.222997,0
532217291,0.587971,0.232288,0.377917,0.225319,0
532217325,0.62298,0.232288,0.62298,0.232288,0
532217358,0.61939,0.232288,0.61939,0.232288,0
