tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532368339,0.549372,0.238095,0.549372,0.238095,0
532368372,0.544883,0.236934,0.544883,0.236934,0
532368405,0.540395,0.234611,0.543088,0.235772,0
532368439,0.54219,0.234611,0.54219,0.235772,0
532368473,0.545781,0.233449,0.543088,0.234611,0
532368506,0.563734,0.220674,0.547576,0.232288,0
532368538,0.551167,0.239257,0.548474,0.233449,1
532368572,0.689408,0.406504,0.689408,0.406504,0
532368605,0.689408,0.392567,0.689408,0.392567,0
532368639,0.692998,0.418118,0.691203,0.405343,0
532368672,0.682226,0.398374,0.68851,0.40302,0
532368706,0.689408,0.407665,0.68851,0.404181,0
532368739,0.710054,0.492451,0.692998,0.422764,0
532368771,0.709156,0.47619,0.695691,0.432056,1
532368805,0.695691,0.484321,0.695691,0.440186,1
532368838,0.708259,0.494774,0.697487,0.447154,1
532368871,0.70018,0.494774,0.697487,0.452962,1
532368905,0.706463,0.492451,0.698384,0.457607,1
532368938,0.699282,0.490128,0.698384,0.461092,1
532368971,0.70018,0.493612,0.699282,0.464576,1
532369005,0.699282,0.487805,0.699282,0.46806,1
532369038,0.706463,0.281069,0.706463,0.281069,0
532369071,0.710054,0.236934,0.710054,0.236934,0
532369105,0.707361,0.232288,0.708259,0.234611,0
532369138,0.709156,0.228804,0.708259,0.232288,0
532369171,0.713645,0.227642,0.710054,0.231127,0
532369205,0.717235,0.225319,0.710952,0.229965,0
532369238,0.740574,0.320558,0.716338,0.245064,1
532369271,0.753142,0.692218,0.753142,0.692218,0
532369304,0.747756,0.684088,0.747756,0.684088,0
532369338,0.755835,0.688734,0.751347,0.686411,0
532369371,0.747756,0.672474,0.750449,0.681765,0
532369404,0.737881,0.680604,0.746858,0.680604,0
532369438,0.738779,0.688734,0.745063,0.682927,0
532369472,0.729802,0.700348,0.74237,0.68525,1
532369505,0.591562,0.67712,0.591562,0.67712,0
532369538,0.596948,0.665505,0.596948,0.665505,0
532369571,0.595153,0.672474,0.59605,0.66899,0
532369604,0.597846,0.678281,0.596948,0.672474,0
532369637,0.595153,0.673635,0.59605,0.672474,0
532369671,0.494614,0.720093,0.575404,0.681765,0
532369704,0.490126,0.766551,0.490126,0.766551,0
532369737,0.48474,0.749129,0.48474,0.749129,0
532369771,0.478456,0.7259,0.481149,0.737514,0
532369804,0.482944,0.738676,0.482047,0.737514,0
532369837,0.447038,0.665505,0.47307,0.720093,0
532369871,0.399461,0.350755,0.45781,0.644599,0
532369904,0.389587,0.337979,0.389587,0.337979,0
532369937,0.388689,0.349593,0.388689,0.349593,0
532369971,0.395871,0.344948,0.39228,0.347271,0
532370004,0.399461,0.344948,0.394973,0.346109,0
532370037,0.279174,0.418118,0.36535,0.364692,0
532370070,0.280969,0.41115,0.348294,0.373984,0
532370104,0.281867,0.42741,0.336625,0.383275,1
532370137,0.290844,0.409988,0.329443,0.387921,1
532370170,0.27289,0.416957,0.321364,0.391405,1
532370204,0.287253,0.421603,0.316876,0.396051,1
532370237,0.382406,0.207898,0.382406,0.207898,0
532370271,0.408438,0.218351,0.408438,0.218351,0
532370304,0.404847,0.219512,0.406643,0.219512,0
532370337,0.40395,0.217189,0.405745,0.218351,0
532370370,0.402154,0.213705,0.404847,0.217189,0
532370403,0.398564,0.225319,0.40395,0.218351,0
532370437,0.406643,0.220674,0.40395,0.219512,1
532370470,0.411131,0.222997,0.404847,0.219512,1
532370503,0.403052,0.224158,0.404847,0.220674,1
532370537,0.412029,0.228804,0.405745,0.221835,1
532370570,0.55386,0.418118,0.55386,0.418118,0
532370603,0.680431,0.558653,0.680431,0.558653,0
532370637,0.691203,0.594657,0.685817,0.577236,0
532370670,0.687612,0.581882,0.685817,0.578397,0
532370703,0.690305,0.593496,0.687612,0.583043,0
532370737,0.587971,0.587689,0.666966,0.584204,0
532370770,0.263914,0.691057,0.263914,0.691057,0
532370803,0.280969,0.706156,0.280969,0.706156,0
532370836,0.267504,0.731707,0.273788,0.718931,0
532370870,0.271095,0.7259,0.27289,0.721254,0
532370903,0.271993,0.710801,0.27289,0.718931,0
532370936,0.273788,0.7259,0.27289,0.720093,0
532370970,0.268402,0.71777,0.271993,0.720093,1
532371003,0.265709,0.715447,0.271095,0.718931,1
532371036,0.28456,0.727062,0.27289,0.720093,1
532371069,0.235189,0.71777,0.268402,0.720093,1
532371103,0.247756,0.711963,0.266607,0.718931,1
532371137,0.234291,0.67712,0.263016,0.714286,1
532371172,0.240575,0.660859,0.260323,0.70964,1
532371203,0.237882,0.663182,0.258528,0.704994,1
532371236,0.246858,0.648084,0.25763,0.700348,1
532371269,0.240575,0.666667,0.255835,0.696864,1
532371303,0.246858,0.656214,0.254937,0.69338,1
532371336,0.248654,0.667828,0.254039,0.691057,1
532371369,0.250449,0.658537,0.254039,0.688734,1
532371403,0.246858,0.663182,0.253142,0.686411,1
532371436,0.240575,0.665505,0.252244,0.684088,1
532371470,0.247756,0.793264,0.251346,0.691057,1
532371502,0.252244,0.783972,0.251346,0.695703,1
532371536,0.254039,0.761905,0.251346,0.700348,1
532371569,0.253142,0.770035,0.251346,0.704994,1
532371603,0.251346,0.764228,0.251346,0.708479,1
532371636,0.255835,0.768873,0.250449,0.713124,1
532371669,0.243268,0.763066,0.249551,0.716609,1
532371702,0.245961,0.763066,0.249551,0.720093,1
532371736,0.263016,0.772358,0.249551,0.723577,1
532371769,0.25763,0.766551,0.250449,0.728223,1
