tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
532374134,0.722621,0.396051,0.740574,0.483159,1
532374167,0.732495,0.396051,0.739677,0.470383,1
532374200,0.727109,0.382114,0.737881,0.458769,1
532374234,0.728007,0.397213,0.736984,0.450639,1
532374267,0.713645,0.383275,0.734291,0.442509,1
532374300,0.719928,0.40302,0.732495,0.437863,1
532374333,0.732495,0.398374,0.732495,0.434379,1
532374367,0.723519,0.39489,0.731598,0.429733,1
532374401,0.714542,0.407665,0.729802,0.42741,1
532374434,0.711849,0.404181,0.728905,0.425087,1
532374467,0.682226,0.501742,0.724416,0.429733,1
532374500,0.685817,0.492451,0.721723,0.434379,1
532374533,0.682226,0.509872,0.71903,0.439024,1
532374567,0.695691,0.506388,0.716338,0.44367,1
532374600,0.678636,0.505226,0.713645,0.448316,1
532374633,0.678636,0.505226,0.710952,0.4518,1
532374667,0.631957,0.341463,0.631957,0.341463,0
532374700,0.604129,0.277584,0.604129,0.277584,0
532374733,0.604129,0.289199,0.604129,0.283391,0
532374766,0.59605,0.285714,0.601436,0.284553,0
532374800,0.610413,0.279907,0.603232,0.283391,0
532374833,0.598743,0.279907,0.602334,0.28223,0
532374866,0.551167,0.235772,0.594255,0.2741,1
532374900,0.526032,0.213705,0.583483,0.26597,1
532374934,0.519749,0.212544,0.575404,0.25784,1
532374969,0.51526,0.224158,0.568223,0.254355,1
532375000,0.526032,0.213705,0.562837,0.24971,1
532375033,0.611311,0.212544,0.567325,0.245064,1
532375066,0.624776,0.210221,0.572711,0.24158,1
532375099,0.636445,0.216028,0.578097,0.239257,1
532375133,0.632855,0.228804,0.582585,0.238095,1
532375166,0.623878,0.213705,0.585278,0.235772,1
532375200,0.641831,0.214866,0.589767,0.233449,1
532375234,0.423698,0.420441,0.423698,0.420441,0
532375266,0.346499,0.66899,0.346499,0.66899,0
532375299,0.349192,0.653891,0.347397,0.660859,0
532375335,0.352783,0.664344,0.349192,0.662021,0
532375366,0.350987,0.655052,0.35009,0.660859,0
532375399,0.342908,0.672474,0.348294,0.663182,0
532375432,0.336625,0.660859,0.336625,0.660859,0
532375466,0.340215,0.658537,0.340215,0.658537,0
532375499,0.340215,0.67712,0.340215,0.667828,0
532375532,0.350987,0.666667,0.343806,0.667828,0
532375566,0.451526,0.616725,0.370736,0.655052,0
532375599,0.456912,0.636469,0.388689,0.650406,0
532375632,0.44614,0.627178,0.398564,0.646922,1
532375666,0.456014,0.638792,0.40754,0.645761,1
532375699,0.44614,0.632985,0.412926,0.643438,1
532375732,0.445242,0.639954,0.417415,0.643438,1
532375766,0.293537,0.497096,0.293537,0.497096,0
532375799,0.302513,0.514518,0.302513,0.514518,0
532375833,0.301616,0.513357,0.302513,0.513357,0
532375866,0.310592,0.505226,0.305206,0.511034,0
532375899,0.321364,0.509872,0.309695,0.511034,0
532375932,0.31149,0.506388,0.309695,0.509872,0
532375965,0.29982,0.502904,0.307899,0.508711,1
532375999,0.300718,0.329849,0.300718,0.329849,0
532376032,0.29982,0.342625,0.29982,0.342625,0
532376067,0.304309,0.333333,0.301616,0.337979,0
532376099,0.412926,0.229965,0.339318,0.301974,0
532376132,0.418312,0.253194,0.359066,0.289199,0
532376166,0.425494,0.246225,0.372531,0.281069,0
532376199,0.421903,0.256678,0.381508,0.276423,1
532376232,0.427289,0.252033,0.388689,0.272938,1
532376265,0.418312,0.252033,0.418312,0.252033,0
532376298,0.520646,0.236934,0.520646,0.236934,0
532376332,0.71544,0.214866,0.618492,0.226481,0
532376365,0.721723,0.224158,0.653501,0.225319,0
532376398,0.71903,0.236934,0.669659,0.228804,0
532376432,0.723519,0.232288,0.681329,0.228804,0
532376465,0.71903,0.225319,0.71903,0.225319,0
532376498,0.716338,0.239257,0.716338,0.239257,0
532376532,0.710952,0.229965,0.713645,0.234611,0
532376565,0.578097,0.205575,0.667864,0.224158,0
532376598,0.561939,0.210221,0.640934,0.220674,0
532376631,0.548474,0.207898,0.622083,0.218351,0
