tstamp,mouse_x,mouse_y
1428611516223,0.497307,0.7259
1428611516321,0.494614,0.71777
1428611516438,0.491921,0.707317
1428611516531,0.491921,0.696864
1428611516622,0.494614,0.689895
1428611516722,0.498205,0.68525
1428611516789,0.501795,0.679443
1428611516867,0.510772,0.671312
1428611516958,0.54219,0.649245
1428611517056,0.560144,0.620209
1428611517155,0.564632,0.587689
1428611517265,0.574506,0.559814
1428611517361,0.587971,0.534262
1428611517456,0.601436,0.501742
1428611517522,0.608618,0.481998
1428611517618,0.625673,0.462253
1428611517705,0.637343,0.454123
1428611517793,0.648115,0.440186
1428611517888,0.655296,0.430894
1428611517989,0.66158,0.426249
1428611518058,0.660682,0.426249
1428611518127,0.654399,0.426249
1428611518225,0.640036,0.439024
1428611518319,0.616697,0.465738
1428611518417,0.59246,0.499419
1428611518499,0.58079,0.516841
1428611518590,0.570018,0.541231
1428611518687,0.564632,0.566783
1428611518791,0.559246,0.595819
1428611518879,0.552065,0.627178
1428611518959,0.547576,0.649245
1428611519054,0.540395,0.681765
1428611519151,0.532316,0.710801
1428611519249,0.523339,0.729384
1428611519327,0.517953,0.736353
1428611519424,0.514363,0.74216
1428611519521,0.512567,0.738676
1428611519616,0.509874,0.731707
1428611519726,0.507181,0.727062
1428611519825,0.504488,0.711963
1428611519918,0.503591,0.691057
1428611519988,0.503591,0.666667
1428611520081,0.501795,0.623693
1428611520164,0.500898,0.587689
1428611520256,0.5,0.534262
1428611520354,0.498205,0.483159
1428611520447,0.497307,0.434379
1428611520562,0.500898,0.390244
1428611520657,0.506284,0.354239
1428611520751,0.507181,0.325203
1428611520854,0.510772,0.305459
1428611520965,0.517056,0.299652
1428611521056,0.529623,0.304297
1428611521152,0.543986,0.313589
1428611521223,0.555655,0.324042
1428611521312,0.575404,0.340302
1428611521394,0.590664,0.346109
1428611521490,0.614901,0.349593
1428611521583,0.636445,0.351916
1428611521687,0.657092,0.353078
1428611521791,0.660682,0.347271
1428611521856,0.657989,0.344948
1428611521954,0.657092,0.343786
1428611522050,0.648115,0.348432
1428611522145,0.621185,0.363531
1428611522225,0.593357,0.380952
1428611522323,0.548474,0.412311
1428611522420,0.497307,0.439024
1428611522514,0.45781,0.463415
1428611522630,0.447038,0.481998
1428611522718,0.450628,0.492451
1428611522820,0.451526,0.499419
1428611522912,0.44614,0.516841
1428611523025,0.438061,0.542393
1428611523122,0.421005,0.563298
1428611523223,0.397666,0.586527
1428611523319,0.383303,0.60511
1428611523412,0.38061,0.612079
1428611523487,0.379713,0.608595
1428611523584,0.372531,0.58885
1428611523649,0.364452,0.565621
1428611523753,0.35368,0.533101
1428611523857,0.352783,0.504065
1428611523956,0.358169,0.486643
1428611524049,0.361759,0.472706
1428611524151,0.363555,0.465738
