tstamp,mouse_x,mouse_y
1428611148323,0.38061,0.336818
1428611148416,0.381508,0.337979
1428611148529,0.38061,0.336818
1428611148595,0.383303,0.335656
1428611148691,0.387792,0.334495
1428611148785,0.391382,0.333333
1428611148879,0.394973,0.334495
1428611148959,0.395871,0.335656
1428611149058,0.397666,0.337979
1428611149152,0.412029,0.346109
1428611149225,0.432675,0.355401
1428611149314,0.471275,0.377468
1428611149394,0.495512,0.391405
1428611149488,0.522442,0.415796
1428611149575,0.533214,0.432056
1428611149650,0.546679,0.452962
1428611149759,0.557451,0.472706
1428611149856,0.56553,0.492451
1428611149954,0.577199,0.508711
1428611150057,0.594255,0.522648
1428611150145,0.601436,0.528455
1428611150227,0.602334,0.529617
1428611150320,0.603232,0.530778
1428611150384,0.604129,0.53194
1428611150483,0.604129,0.54007
1428611150592,0.60772,0.55633
1428611150688,0.614901,0.577236
1428611150787,0.625673,0.595819
1428611150879,0.638241,0.61324
1428611150993,0.654399,0.624855
1428611151055,0.66158,0.629501
1428611151157,0.655296,0.636469
1428611151255,0.640036,0.639954
1428611151343,0.622083,0.639954
1428611151423,0.608618,0.635308
1428611151520,0.590664,0.629501
1428611151616,0.578995,0.624855
1428611151710,0.572711,0.623693
1428611151777,0.568223,0.623693
1428611151854,0.563734,0.622532
1428611151952,0.554758,0.622532
1428611152055,0.550269,0.62137
1428611152142,0.551167,0.620209
1428611152222,0.556553,0.614402
1428611152290,0.56553,0.60511
1428611152386,0.581688,0.585366
1428611152478,0.598743,0.560976
1428611152575,0.613106,0.54007
1428611152658,0.61939,0.522648
1428611152752,0.627469,0.495935
1428611152855,0.630162,0.470383
1428611152942,0.632855,0.445993
1428611153008,0.635548,0.430894
1428611153090,0.639138,0.422764
1428611153184,0.644524,0.418118
1428611153278,0.650808,0.415796
1428611153375,0.653501,0.414634
