tstamp,mouse_x,mouse_y
1428611858625,0.141831,0.512195
1428611858728,0.144524,0.515679
1428611858833,0.154399,0.513357
1428611858895,0.175045,0.512195
1428611858993,0.236984,0.501742
1428611859097,0.336625,0.493612
1428611859186,0.444345,0.491289
1428611859266,0.506284,0.494774
1428611859365,0.58079,0.504065
1428611859457,0.645422,0.515679
1428611859554,0.702873,0.526132
1428611859665,0.751347,0.529617
1428611859760,0.782765,0.533101
1428611859859,0.802513,0.530778
1428611859954,0.816876,0.514518
1428611860066,0.833034,0.495935
1428611860165,0.846499,0.480836
1428611860262,0.858169,0.471545
1428611860359,0.868941,0.465738
1428611860447,0.872531,0.464576
1428611860528,0.871634,0.46806
1428611860624,0.868941,0.471545
