tstamp,mouse_x,mouse_y
1428611595882,0.512567,0.5482
1428611595972,0.516158,0.544715
1428611596063,0.517953,0.52381
1428611596128,0.522442,0.506388
1428611596230,0.5386,0.475029
1428611596307,0.559246,0.448316
1428611596399,0.599641,0.408827
1428611596497,0.644524,0.377468
1428611596592,0.685817,0.354239
1428611596705,0.713645,0.335656
1428611596800,0.728007,0.319396
1428611596894,0.733393,0.311266
1428611596997,0.737881,0.30662
1428611597108,0.74237,0.304297
1428611597199,0.747756,0.303136
1428611597297,0.751347,0.308943
1428611597395,0.758528,0.310105
1428611597514,0.774686,0.312427
1428611597601,0.787253,0.32288
1428611597696,0.79982,0.336818
1428611597792,0.809695,0.355401
1428611597896,0.809695,0.375145
1428611597969,0.807899,0.387921
