tstamp,mouse_x,mouse_y
1428611669216,0.47307,0.406504
1428611669312,0.472172,0.396051
1428611669409,0.476661,0.390244
1428611669503,0.494614,0.382114
1428611669584,0.518851,0.376307
1428611669655,0.549372,0.372822
1428611669743,0.595153,0.365854
1428611669808,0.622083,0.363531
1428611669904,0.663375,0.360046
1428611669986,0.691203,0.362369
1428611670080,0.724416,0.363531
1428611670176,0.745063,0.365854
1428611670275,0.755835,0.363531
1428611670352,0.759426,0.362369
1428611670455,0.758528,0.361208
1428611670542,0.751347,0.363531
1428611670639,0.744165,0.367015
1428611670736,0.737881,0.376307
1428611670818,0.733393,0.387921
1428611670911,0.724416,0.412311
1428611670975,0.718133,0.432056
1428611671074,0.707361,0.462253
1428611671184,0.699282,0.490128
1428611671287,0.691203,0.516841
1428611671374,0.686715,0.53194
1428611671470,0.685817,0.543554
1428611671589,0.687612,0.552846
1428611671680,0.68851,0.559814
1428611671775,0.68851,0.567944
1428611671872,0.68851,0.58072
1428611671976,0.690305,0.591173
1428611672053,0.691203,0.59698
1428611672144,0.693896,0.601626
1428611672239,0.692101,0.602787
1428611672305,0.684022,0.600465
1428611672424,0.657092,0.590012
1428611672511,0.602334,0.562137
1428611672607,0.537702,0.526132
1428611672704,0.481149,0.492451
1428611672826,0.437163,0.461092
1428611672913,0.396768,0.432056
1428611673023,0.358169,0.408827
1428611673102,0.328546,0.397213
1428611673201,0.313285,0.38676
1428611673283,0.309695,0.384437
1428611673374,0.307002,0.385598
1428611673472,0.307899,0.38676
1428611673575,0.307899,0.391405
1428611673657,0.305206,0.397213
1428611673744,0.298923,0.408827
1428611673838,0.28456,0.425087
1428611673938,0.267504,0.447154
1428611674033,0.255835,0.462253
1428611674116,0.252244,0.462253
1428611674176,0.249551,0.457607
1428611674272,0.245063,0.448316
1428611674370,0.240575,0.440186
1428611674479,0.236984,0.43554
1428611674576,0.235189,0.434379
