tstamp,mouse_x,mouse_y
1428612125616,0.812388,0.500581
1428612125711,0.820467,0.491289
1428612125808,0.821364,0.485482
1428612125920,0.816876,0.478513
1428612125984,0.81149,0.475029
1428612126080,0.803411,0.473868
1428612126175,0.798923,0.473868
1428612126272,0.793537,0.47619
1428612126354,0.790844,0.477352
1428612126447,0.792639,0.479675
1428612126543,0.791741,0.481998
1428612126610,0.785458,0.486643
1428612126706,0.764812,0.505226
1428612126784,0.741472,0.52381
1428612126884,0.696589,0.554007
1428612126979,0.644524,0.592335
1428612127071,0.590664,0.635308
1428612127186,0.531418,0.671312
1428612127278,0.47307,0.696864
1428612127375,0.43447,0.716609
1428612127471,0.410233,0.740999
1428612127593,0.391382,0.773519
1428612127681,0.377917,0.81417
1428612127778,0.370736,0.850174
1428612127870,0.368941,0.87108
1428612127937,0.366248,0.876887
1428612128023,0.364452,0.880372
1428612128111,0.364452,0.878049
1428612128208,0.362657,0.872242
1428612128304,0.358169,0.859466
1428612128426,0.347397,0.821138
1428612128513,0.32675,0.746806
1428612128610,0.310592,0.659698
1428612128704,0.301616,0.571429
1428612128824,0.293537,0.486643
1428612128912,0.283662,0.421603
1428612129006,0.270197,0.383275
1428612129108,0.262118,0.362369
1428612129216,0.255835,0.348432
1428612129311,0.249551,0.337979
1428612129410,0.248654,0.33101
1428612129503,0.246858,0.320558
1428612129603,0.243268,0.307782
1428612129683,0.251346,0.300813
1428612129774,0.302513,0.297329
1428612129873,0.396768,0.297329
1428612129970,0.48833,0.301974
1428612130046,0.535907,0.308943
1428612130145,0.586176,0.32288
1428612130243,0.621185,0.335656
1428612130336,0.648115,0.347271
1428612130449,0.677738,0.355401
1428612130543,0.708259,0.361208
1428612130640,0.724416,0.361208
1428612130736,0.724416,0.357724
1428612130832,0.714542,0.355401
1428612130910,0.70018,0.353078
1428612130977,0.672352,0.353078
1428612131076,0.605925,0.356562
1428612131168,0.514363,0.371661
1428612131282,0.398564,0.40302
1428612131374,0.308797,0.439024
1428612131471,0.267504,0.473868
1428612131569,0.251346,0.508711
1428612131630,0.241472,0.535424
1428612131712,0.234291,0.560976
1428612131808,0.224417,0.595819
1428612131883,0.218133,0.620209
1428612131967,0.214542,0.655052
1428612132065,0.213645,0.675958
1428612132148,0.212747,0.681765
1428612132240,0.216338,0.681765
1428612132306,0.226212,0.681765
1428612132401,0.262118,0.696864
1428612132510,0.322262,0.73403
1428612132607,0.370736,0.771196
1428612132703,0.397666,0.801394
1428612132809,0.40754,0.847851
1428612132899,0.410233,0.901278
1428612132980,0.413824,0.931475
1428612133071,0.420108,0.962834
1428612133173,0.424596,0.98374
1428612133264,0.435368,0.986063
1428612133342,0.441652,0.977933
1428612133440,0.447935,0.962834
1428612133534,0.451526,0.946574
1428612133638,0.463196,0.924506
1428612133746,0.487433,0.896632
1428612133840,0.51167,0.868757
1428612133939,0.534111,0.844367
1428612134033,0.568223,0.821138
1428612134127,0.595153,0.797909
1428612134208,0.599641,0.788618
1428612134305,0.595153,0.775842
1428612134400,0.594255,0.761905
1428612134503,0.602334,0.74216
1428612134580,0.612208,0.714286
1428612134671,0.629264,0.645761
1428612134735,0.642729,0.599303
1428612134833,0.667864,0.530778
1428612134926,0.696589,0.462253
1428612135007,0.710952,0.421603
1428612135107,0.723519,0.371661
1428612135199,0.731598,0.326365
1428612135298,0.733393,0.293844
1428612135362,0.7307,0.284553
1428612135439,0.727109,0.281069
1428612135535,0.721723,0.283391
1428612135633,0.719928,0.286876
1428612135727,0.718133,0.29849
1428612135813,0.718133,0.308943
1428612135906,0.71903,0.321719
1428612135999,0.722621,0.333333
1428612136102,0.725314,0.342625
1428612136210,0.724416,0.350755
1428612136305,0.720826,0.354239
1428612136401,0.716338,0.355401
1428612136498,0.714542,0.356562
1428612136591,0.713645,0.355401
1428612136672,0.712747,0.355401
1428612136865,0.712747,0.356562
1428612137039,0.713645,0.356562
1428612137135,0.714542,0.361208
1428612137201,0.711849,0.370499
1428612137300,0.70377,0.389082
1428612137392,0.68851,0.416957
1428612137472,0.67684,0.440186
1428612137571,0.657092,0.483159
1428612137664,0.631059,0.527294
1428612137763,0.60772,0.570267
1428612137871,0.588869,0.614402
1428612137935,0.576302,0.643438
1428612138033,0.559246,0.682927
1428612138127,0.544883,0.715447
1428612138223,0.532316,0.744483
1428612138304,0.523339,0.761905
1428612138371,0.513465,0.780488
1428612138464,0.498205,0.807201
1428612138560,0.48833,0.828107
1428612138654,0.483842,0.844367
1428612138735,0.482047,0.850174
1428612138833,0.473968,0.858304
1428612138931,0.463196,0.860627
1428612139032,0.453321,0.851336
1428612139104,0.444345,0.831591
1428612139203,0.426391,0.775842
1428612139297,0.40395,0.707317
1428612139392,0.381508,0.634146
1428612139503,0.357271,0.56446
1428612139600,0.333932,0.508711
1428612139671,0.321364,0.479675
1428612139759,0.306104,0.450639
1428612139855,0.297127,0.433217
1428612139937,0.292639,0.425087
1428612140036,0.289048,0.420441
1428612140129,0.289946,0.423926
1428612140224,0.291741,0.433217
1428612140335,0.300718,0.458769
1428612140400,0.304309,0.47619
1428612140498,0.29982,0.491289
1428612140591,0.286355,0.493612
1428612140689,0.28456,0.501742
1428612140769,0.285458,0.505226
1428612140864,0.280969,0.504065
1428612140935,0.275583,0.501742
1428612141028,0.268402,0.502904
1428612141119,0.255835,0.505226
1428612141201,0.243268,0.505226
1428612141299,0.22711,0.504065
1428612141397,0.222621,0.504065
1428612141487,0.223519,0.504065
1428612141571,0.225314,0.504065
