tstamp,mouse_x,mouse_y
1428611003339,0.337522,0.312427
1428611003423,0.336625,0.312427
1428611003521,0.336625,0.310105
1428611003620,0.334829,0.313589
1428611003698,0.334829,0.317073
1428611003763,0.335727,0.320558
1428611003857,0.339318,0.328688
1428611003956,0.342908,0.337979
1428611004055,0.346499,0.346109
1428611004130,0.347397,0.351916
1428611004225,0.348294,0.358885
1428611004322,0.348294,0.363531
1428611004384,0.350987,0.363531
1428611004497,0.359066,0.360046
1428611004592,0.38061,0.356562
1428611004691,0.423698,0.364692
1428611004788,0.470377,0.376307
1428611004897,0.494614,0.391405
1428611004992,0.509874,0.414634
1428611005058,0.524237,0.436702
1428611005159,0.557451,0.47619
1428611005257,0.593357,0.516841
1428611005330,0.616697,0.538908
1428611005425,0.657989,0.562137
1428611005519,0.692998,0.574913
1428611005617,0.710952,0.578397
1428611005731,0.71544,0.573751
1428611005825,0.714542,0.569106
1428611005921,0.705566,0.563298
1428611006021,0.692101,0.552846
1428611006130,0.680431,0.542393
1428611006225,0.675045,0.527294
1428611006288,0.678636,0.513357
1428611006391,0.689408,0.481998
1428611006487,0.692998,0.465738
1428611006568,0.692101,0.462253
1428611006655,0.689408,0.465738
1428611006751,0.687612,0.466899
1428611006821,0.686715,0.46806
1428611006912,0.685817,0.470383
1428611006991,0.686715,0.46806
1428611007089,0.687612,0.45993
1428611007183,0.687612,0.455285
1428611007286,0.68851,0.4518
1428611007395,0.687612,0.449477
1428611007488,0.684022,0.449477
1428611007587,0.67684,0.448316
1428611007681,0.668761,0.447154
1428611007791,0.649013,0.449477
1428611007889,0.596948,0.454123
1428611007983,0.529623,0.46806
1428611008081,0.479354,0.480836
1428611008192,0.441652,0.495935
1428611008288,0.412029,0.514518
1428611008385,0.391382,0.530778
1428611008481,0.377917,0.547038
1428611008577,0.367145,0.563298
1428611008655,0.357271,0.570267
1428611008720,0.342011,0.577236
1428611008816,0.324955,0.603949
1428611008917,0.322262,0.644599
1428611009026,0.324057,0.672474
1428611009120,0.320467,0.694541
1428611009216,0.316876,0.713124
1428611009281,0.313285,0.715447
1428611009374,0.310592,0.708479
1428611009455,0.307899,0.700348
1428611009552,0.301616,0.681765
1428611009648,0.294434,0.663182
1428611009750,0.288151,0.649245
1428611009859,0.286355,0.627178
1428611009951,0.292639,0.584204
1428611010019,0.297127,0.545877
1428611010113,0.302513,0.483159
1428611010207,0.308797,0.418118
1428611010287,0.312388,0.37863
1428611010385,0.315978,0.335656
1428611010488,0.317774,0.301974
1428611010583,0.317774,0.276423
1428611010656,0.317774,0.261324
1428611010753,0.320467,0.24158
1428611010852,0.319569,0.227642
1428611010946,0.319569,0.217189
1428611011039,0.320467,0.206736
1428611011119,0.321364,0.202091
1428611011217,0.331239,0.204413
1428611011279,0.351885,0.218351
1428611011382,0.406643,0.243902
1428611011490,0.463196,0.277584
1428611011582,0.508079,0.317073
1428611011686,0.544883,0.357724
1428611011780,0.577199,0.399535
1428611011870,0.605925,0.439024
1428611011953,0.617594,0.462253
1428611012050,0.625673,0.490128
1428611012145,0.633752,0.508711
1428611012244,0.639138,0.518002
1428611012323,0.640036,0.521487
1428611012415,0.642729,0.52381
1428611012481,0.64632,0.524971
1428611012580,0.650808,0.524971
1428611012670,0.653501,0.524971
1428611012751,0.657092,0.524971
1428611012850,0.657989,0.527294
1428611012954,0.656194,0.541231
1428611013043,0.651706,0.565621
1428611013151,0.645422,0.598142
1428611013252,0.642729,0.636469
1428611013351,0.642729,0.675958
1428611013438,0.64632,0.708479
1428611013552,0.651706,0.731707
1428611013649,0.655296,0.75029
1428611013711,0.656194,0.760743
1428611013807,0.655296,0.774681
1428611013904,0.650808,0.785134
1428611013985,0.647217,0.792102
1428611014080,0.643627,0.802555
1428611014176,0.642729,0.804878
