tstamp,mouse_x,mouse_y
1428610800319,0.691203,0.1777
1428610800400,0.689408,0.174216
1428610800496,0.683124,0.173055
1428610800594,0.675943,0.176539
1428610800690,0.665171,0.189315
1428610800804,0.640934,0.202091
1428610800864,0.612208,0.216028
1428610800963,0.562837,0.243902
1428610801056,0.520646,0.269454
1428610801151,0.492819,0.295006
1428610801234,0.481149,0.311266
1428610801327,0.473968,0.329849
1428610801424,0.478456,0.336818
1428610801523,0.483842,0.339141
1428610801603,0.48833,0.336818
1428610801702,0.491023,0.334495
1428610801796,0.491921,0.336818
1428610801887,0.494614,0.361208
1428610801987,0.497307,0.404181
1428610802066,0.498205,0.439024
1428610802128,0.5,0.47619
1428610802223,0.501795,0.535424
1428610802322,0.503591,0.58885
1428610802436,0.502693,0.634146
1428610802536,0.501795,0.671312
1428610802624,0.500898,0.694541
1428610802720,0.501795,0.703833
1428610802786,0.502693,0.703833
