tstamp,mouse_x,mouse_y
1428610674545,0.33842,0.518002
1428610674640,0.335727,0.514518
1428610674738,0.332136,0.512195
1428610674831,0.331239,0.511034
1428610674911,0.332136,0.512195
1428610675008,0.329443,0.511034
1428610675199,0.330341,0.511034
1428610675281,0.330341,0.509872
1428610675374,0.329443,0.508711
1428610675440,0.330341,0.509872
1428610675543,0.331239,0.506388
1428610675632,0.336625,0.500581
1428610675712,0.347397,0.499419
1428610675811,0.382406,0.493612
1428610675914,0.43447,0.485482
1428610676003,0.483842,0.471545
1428610676064,0.510772,0.462253
1428610676147,0.535009,0.4518
1428610676240,0.570916,0.439024
1428610676343,0.598743,0.421603
1428610676431,0.61939,0.401858
1428610676511,0.632855,0.393728
1428610676611,0.655296,0.383275
1428610676674,0.672352,0.377468
1428610676769,0.698384,0.367015
1428610676864,0.720826,0.358885
1428610676943,0.740574,0.350755
1428610677044,0.771095,0.339141
1428610677144,0.778277,0.333333
1428610677231,0.767505,0.332172
1428610677343,0.74596,0.334495
1428610677444,0.702873,0.339141
1428610677545,0.652603,0.336818
1428610677631,0.576302,0.319396
1428610677746,0.51526,0.307782
1428610677843,0.48833,0.29849
1428610677937,0.479354,0.289199
1428610678035,0.473968,0.284553
1428610678142,0.475763,0.284553
1428610678239,0.481149,0.284553
1428610678335,0.482047,0.285714
