tstamp,mouse_x,mouse_y
1428610845375,0.710952,0.559814
1428610845473,0.710952,0.563298
1428610845655,0.711849,0.56446
1428610845744,0.713645,0.565621
1428610845810,0.713645,0.56446
1428610845906,0.713645,0.559814
1428610846001,0.712747,0.558653
1428610846081,0.710952,0.557491
1428610846175,0.707361,0.555168
1428610846273,0.702873,0.552846
1428610846370,0.697487,0.551684
1428610846482,0.681329,0.550523
1428610846577,0.64632,0.552846
1428610846671,0.610413,0.558653
1428610846769,0.577199,0.56446
1428610846889,0.533214,0.566783
1428610846977,0.48833,0.560976
1428610847074,0.451526,0.549361
1428610847169,0.418312,0.541231
1428610847282,0.384201,0.533101
1428610847376,0.358169,0.528455
1428610847475,0.346499,0.527294
1428610847568,0.347397,0.526132
1428610847639,0.348294,0.526132
1428610847722,0.350987,0.526132
1428610847809,0.363555,0.520325
1428610847903,0.383303,0.500581
1428610848001,0.403052,0.464576
1428610848114,0.420108,0.413473
1428610848208,0.436266,0.355401
1428610848303,0.451526,0.307782
1428610848375,0.459605,0.279907
1428610848465,0.469479,0.246225
1428610848548,0.475763,0.229965
1428610848640,0.482944,0.217189
1428610848738,0.486535,0.213705
1428610848834,0.487433,0.214866
