tstamp,mouse_x,mouse_y
1428610899184,0.248654,0.684088
1428610899282,0.250449,0.680604
1428610899376,0.254039,0.679443
1428610899472,0.254039,0.682927
1428610899556,0.253142,0.684088
1428610899655,0.254937,0.680604
1428610899746,0.262118,0.678281
1428610899840,0.283662,0.675958
1428610899936,0.352783,0.680604
1428610900025,0.416517,0.68525
1428610900118,0.481149,0.681765
1428610900179,0.508977,0.679443
1428610900271,0.543088,0.674797
1428610900388,0.570018,0.666667
1428610900488,0.598743,0.657375
1428610900575,0.629264,0.650406
1428610900673,0.670557,0.631823
1428610900737,0.70018,0.614402
1428610900824,0.723519,0.600465
1428610900914,0.741472,0.584204
1428610901008,0.74237,0.570267
1428610901105,0.736086,0.560976
1428610901216,0.720826,0.558653
1428610901315,0.68851,0.56446
1428610901407,0.66158,0.558653
1428610901472,0.649013,0.544715
1428610901571,0.608618,0.536585
1428610901656,0.572711,0.536585
1428610901746,0.519749,0.534262
1428610901840,0.473968,0.533101
1428610901934,0.440754,0.535424
1428610902016,0.424596,0.534262
1428610902114,0.400359,0.537747
1428610902207,0.381508,0.541231
1428610902303,0.372531,0.542393
1428610902401,0.364452,0.543554
1428610902480,0.362657,0.543554
1428610902575,0.375224,0.533101
1428610902642,0.400359,0.521487
1428610902734,0.447935,0.498258
1428610902854,0.498205,0.458769
1428610902946,0.543088,0.41928
1428610903038,0.570018,0.396051
1428610903135,0.581688,0.379791
1428610903250,0.587074,0.365854
1428610903342,0.594255,0.356562
1428610903440,0.605925,0.354239
1428610903535,0.623878,0.351916
1428610903637,0.637343,0.351916
1428610903713,0.645422,0.351916
1428610903812,0.666068,0.350755
1428610903871,0.680431,0.350755
1428610903968,0.692101,0.353078
1428610904083,0.694794,0.349593
1428610904175,0.698384,0.343786
1428610904272,0.701077,0.340302
1428610904367,0.698384,0.339141
1428610904481,0.694794,0.341463
1428610904579,0.691203,0.348432
1428610904671,0.674147,0.361208
1428610904767,0.639138,0.383275
1428610904866,0.587971,0.404181
1428610904944,0.551167,0.415796
1428610905040,0.498205,0.428571
1428610905138,0.455117,0.429733
1428610905232,0.424596,0.423926
1428610905319,0.411131,0.41928
1428610905411,0.386894,0.404181
1428610905504,0.357271,0.385598
1428610905604,0.325853,0.367015
1428610905705,0.303411,0.347271
1428610905777,0.293537,0.336818
1428610905873,0.298025,0.332172
1428610905966,0.327648,0.329849
1428610906073,0.374327,0.33101
1428610906151,0.404847,0.334495
1428610906243,0.443447,0.344948
1428610906336,0.473968,0.346109
1428610906403,0.486535,0.344948
1428610906497,0.492819,0.342625
1428610906577,0.491921,0.339141
