tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
317281490,0.887705,0.292405,0.879508,0.308861,1
317281521,0.868852,0.325316,0.878689,0.311392,1
317281555,0.871311,0.273418,0.878689,0.310127,1
317281588,0.868033,0.310127,0.877869,0.310127,1
317281621,0.87377,0.36962,0.877049,0.313924,1
317281655,0.916393,0.286076,0.879508,0.313924,1
317281688,0.854918,0.321519,0.877869,0.313924,1
317281721,0.896721,0.329114,0.879508,0.31519,1
317281755,0.87459,0.268354,0.878689,0.312658,1
317281788,0.868852,0.302532,0.878689,0.312658,1
317281821,0.867213,0.313924,0.877869,0.312658,1
317281856,0.870492,0.320253,0.877049,0.312658,1
317281888,0.9,0.335443,0.878689,0.313924,1
317281921,0.892623,0.298734,0.879508,0.313924,1
317281955,0.504918,0.321519,0.504918,0.321519,0
317281988,0.260656,0.302532,0.260656,0.302532,0
317282021,0.271311,0.267089,0.266393,0.28481,0
317282059,0.252459,0.270886,0.261475,0.279747,0
317282088,0.25,0.334177,0.258197,0.293671,0
317282121,0.282787,0.292405,0.263115,0.293671,0
317282156,0.272131,0.322785,0.272131,0.322785,0
317282188,0.30082,0.275949,0.30082,0.275949,0
317282221,0.268852,0.297468,0.285246,0.287342,0
317282255,0.290164,0.335443,0.286885,0.302532,0
317282287,0.27541,0.337975,0.283607,0.311392,0
317282321,0.266393,0.308861,0.280328,0.311392,0
317282355,0.530328,0.293671,0.530328,0.293671,0
317282387,0.818033,0.293671,0.818033,0.293671,0
317282421,0.809016,0.367089,0.813934,0.33038,0
317282455,0.797541,0.392405,0.808197,0.350633,0
317282487,0.82377,0.334177,0.812295,0.346835,0
317282521,0.82377,0.303797,0.814754,0.337975,0
317282555,0.822131,0.374684,0.822131,0.374684,0
317282587,0.8,0.321519,0.8,0.321519,0
317282621,0.792623,0.326582,0.795902,0.324051,0
317282656,0.801639,0.283544,0.797541,0.310127,0
317282687,0.801639,0.332911,0.79918,0.316456,0
317282720,0.795082,0.358228,0.798361,0.324051,0
317282754,0.822131,0.33038,0.802459,0.325316,1
317282787,0.803279,0.326582,0.802459,0.325316,1
317282820,0.809016,0.306329,0.803279,0.322785,1
317282855,0.831148,0.348101,0.806557,0.326582,1
317282887,0.809016,0.313924,0.807377,0.325316,1
317282920,0.920492,0.317722,0.818033,0.324051,1
317282957,0.936885,0.383544,0.829508,0.329114,1
317282989,0.922951,0.370886,0.838525,0.332911,1
317283021,0.919672,0.353165,0.845902,0.335443,1
317283055,0.931148,0.335443,0.853279,0.335443,1
317283087,0.886885,0.389873,0.856557,0.340506,1
317283120,0.904918,0.341772,0.861475,0.340506,1
317283154,0.898361,0.364557,0.864754,0.341772,1
317283187,0.881967,0.386076,0.867213,0.34557,1
317283220,0.92459,0.358228,0.872131,0.346835,1
317283255,0.9,0.322785,0.87459,0.34557,1
317283287,0.872131,0.420253,0.87541,0.350633,1
317283320,0.890164,0.437975,0.877869,0.356962,1
317283354,0.87459,0.393671,0.877869,0.359494,1
317283387,0.9,0.443038,0.880328,0.365823,1
317283420,0.880328,0.432911,0.881148,0.370886,1
317283454,0.890984,0.508861,0.882787,0.379747,1
317283486,0.82623,0.472152,0.879508,0.386076,1
317283520,0.881967,0.451899,0.880328,0.391139,1
317283554,0.829508,0.486076,0.877869,0.398734,1
317283587,0.361475,0.282278,0.361475,0.282278,0
317283620,0.309016,0.334177,0.309016,0.334177,0
317283654,0.310656,0.311392,0.309836,0.322785,0
317283686,0.32623,0.349367,0.315574,0.331646,0
317283720,0.312295,0.305063,0.314754,0.325316,0
317283755,0.309836,0.34557,0.313934,0.329114,0
317283786,0.297541,0.307595,0.310656,0.325316,1
317283821,0.313115,0.353165,0.311475,0.329114,1
317283856,0.328689,0.294937,0.313934,0.325316,1
317283890,0.322131,0.377215,0.314754,0.331646,1
317283919,0.327049,0.397468,0.316393,0.337975,1
317283955,0.295082,0.305063,0.313934,0.335443,1
317283986,0.317213,0.318987,0.313934,0.334177,1
317284019,0.277869,0.339241,0.311475,0.334177,1
317284054,0.247541,0.335443,0.305738,0.334177,1
317284086,0.271311,0.324051,0.303279,0.334177,1
317284119,0.282787,0.351899,0.30082,0.335443,1
317284154,0.261475,0.349367,0.297541,0.336709,1
317284186,0.27459,0.359494,0.295902,0.337975,1
317284219,0.27459,0.341772,0.294262,0.337975,1
317284254,0.293443,0.367089,0.293443,0.340506,1
317284286,0.27541,0.367089,0.291803,0.343038,1
317284319,0.270492,0.350633,0.290164,0.343038,1
317284353,0.265574,0.367089,0.288525,0.34557,1
317284386,0.281148,0.397468,0.286885,0.348101,1
317284419,0.27623,0.377215,0.286066,0.350633,1
317284452,0.252459,0.373418,0.283607,0.351899,1
317284519,0.301639,0.368354,0.281967,0.358228,1
