tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
315923803,0.863934,0.264557,0.87623,0.278481,1
315923835,0.866393,0.279747,0.87541,0.278481,1
315923868,0.863934,0.265823,0.87459,0.277215,1
315923903,0.872131,0.270886,0.87377,0.275949,1
315923936,0.872131,0.275949,0.87377,0.275949,1
315923969,0.859016,0.324051,0.872131,0.278481,1
315924002,0.856557,0.281013,0.871311,0.278481,1
315924035,0.811475,0.279747,0.867213,0.278481,1
315924068,0.622951,0.24557,0.622951,0.24557,0
315924101,0.608197,0.248101,0.608197,0.248101,0
315924135,0.596721,0.241772,0.602459,0.244304,0
315924168,0.62459,0.251899,0.609836,0.246835,0
315924201,0.614754,0.259494,0.611475,0.250633,0
315924235,0.601639,0.244304,0.609016,0.249367,0
315924268,0.495082,0.279747,0.589344,0.25443,1
315924401,0.373771,0.253165,0.413115,0.253165,0
315924435,0.359016,0.26076,0.39918,0.25443,0
315924468,0.351639,0.268354,0.389344,0.256962,0
315924501,0.367213,0.258228,0.385246,0.256962,1
315924534,0.368033,0.262025,0.382787,0.258228,1
315924568,0.35,0.250633,0.377869,0.256962,1
315924602,0.360656,0.273418,0.376229,0.259494,1
315924634,0.361475,0.258228,0.373771,0.259494,1
315924668,0.354918,0.265823,0.372131,0.259494,1
315924703,0.376229,0.282278,0.372131,0.262025,1
315924736,0.770492,0.283544,0.770492,0.283544,0
315924768,0.831148,0.294937,0.831148,0.294937,0
315924801,0.8,0.253165,0.815574,0.274684,0
315924835,0.832787,0.287342,0.821311,0.278481,0
315924868,0.832787,0.305063,0.82459,0.28481,0
315924901,0.836066,0.275949,0.827049,0.283544,0
315924941,0.822951,0.3,0.82623,0.286076,1
315924967,0.804098,0.298734,0.822951,0.288608,1
315925001,0.803279,0.317722,0.820492,0.292405,1
315925034,0.809836,0.292405,0.818852,0.292405,1
315925067,0.790164,0.307595,0.815574,0.293671,1
315925101,0.618033,0.551899,0.618033,0.551899,0
315925134,0.556557,0.587342,0.556557,0.587342,0
315925167,0.545902,0.574684,0.551639,0.581013,0
315925201,0.532787,0.574684,0.545082,0.579747,0
315925234,0.533607,0.555696,0.542623,0.573418,0
315925267,0.55082,0.593671,0.544262,0.577215,0
315925302,0.546721,0.558228,0.544262,0.574684,1
315925334,0.541803,0.574684,0.544262,0.574684,1
315925367,0.529508,0.56962,0.541803,0.573418,1
315925401,0.532787,0.588608,0.540984,0.574684,1
315925434,0.604098,0.573418,0.547541,0.574684,1
315925467,0.801639,0.4,0.801639,0.4,0
315925501,0.807377,0.398734,0.807377,0.398734,0
315925533,0.810656,0.392405,0.809016,0.394937,0
315925567,0.804918,0.393671,0.807377,0.394937,0
315925601,0.817213,0.401266,0.809836,0.396203,0
315925635,0.811475,0.381013,0.810656,0.393671,0
315925668,0.815574,0.379747,0.811475,0.391139,1
315925701,0.816393,0.425316,0.812295,0.396203,1
315925733,0.814754,0.405063,0.812295,0.397468,1
315925767,0.432787,0.23038,0.432787,0.23038,0
315925801,0.293443,0.243038,0.293443,0.243038,0
315925833,0.278689,0.25443,0.286066,0.249367,0
315925867,0.281148,0.25443,0.284426,0.250633,0
315925900,0.282787,0.249367,0.284426,0.250633,0
315925933,0.270492,0.275949,0.281148,0.255696,0
315925967,0.278689,0.268354,0.281148,0.258228,1
315926001,0.285246,0.267089,0.285246,0.267089,0
315926033,0.258197,0.263291,0.258197,0.263291,0
315926066,0.267213,0.258228,0.263115,0.26076,0
315926100,0.289344,0.264557,0.271311,0.262025,0
315926133,0.461475,0.477215,0.319672,0.316456,0
315926166,0.657377,0.625316,0.388525,0.378481,0
315926200,0.647541,0.63038,0.647541,0.63038,0
315926233,0.628689,0.596203,0.628689,0.596203,0
315926266,0.647541,0.61519,0.638525,0.606329,0
315926301,0.655738,0.644304,0.644262,0.618987,0
315926333,0.65,0.618987,0.645902,0.618987,0
315926366,0.65,0.64557,0.646721,0.624051,0
315926401,0.648361,0.650633,0.646721,0.629114,1
315926434,0.658197,0.653165,0.648361,0.632911,1
315926467,0.645082,0.634177,0.648361,0.632911,1
315926504,0.642623,0.616456,0.647541,0.63038,1
315926533,0.745902,0.520253,0.658197,0.618987,1
315926566,0.716393,0.567089,0.663934,0.613924,1
315926600,0.715574,0.607595,0.668852,0.612658,1
315926633,0.706557,0.618987,0.672951,0.612658,1
315926666,0.713115,0.579747,0.67623,0.610127,1
315926700,0.709016,0.570886,0.679508,0.606329,1
315926732,0.708197,0.63038,0.682787,0.607595,1
315926766,0.709836,0.608861,0.685246,0.607595,1
315926800,0.706557,0.586076,0.686885,0.606329,1
315926832,0.714754,0.583544,0.689344,0.603797,1
315926866,0.701639,0.601266,0.690984,0.603797,1
315926900,0.697541,0.598734,0.691803,0.603797,1
315926932,0.703279,0.601266,0.693443,0.602532,1
315926966,0.709836,0.593671,0.695082,0.602532,1
315927000,0.708197,0.6,0.695902,0.601266,1
315927032,0.717213,0.586076,0.697541,0.6,1
315927066,0.704098,0.6,0.69918,0.6,1
315927099,0.729508,0.597468,0.70082,0.6,1
315927132,0.705738,0.588608,0.701639,0.598734,1
315927165,0.69918,0.572152,0.702459,0.597468,1
315927202,0.709836,0.594937,0.703279,0.596203,1
315927233,0.717213,0.591139,0.704918,0.596203,1
315927266,0.705738,0.596203,0.705738,0.596203,1
315927300,0.709016,0.588608,0.706557,0.594937,1
