DoubleRing,Phone,QWERTY,SingleRing
8326,5762,3064,4131
1501,2631,1433,1032
3863,3630,2231,4397
8128,7660,3130,10626
4962,3863,2431,4130
3765,5330,2564,5129
2065,4396,2165,3930
1066,1632,1699,1667
7827,5628,3229,6062
5396,5663,3198,7194
1466,1098,3097,932
7126,5862,1163,7794
2798,2998,2032,3663
7060,5197,1998,4297
2731,3430,1965,3531
2397,1964,2032,2698
1632,1132,1365,1265
6428,8526,967,10726
3096,2997,4163,2698
1332,1066,1566,1199
1865,1199,898,1498
2132,3330,1132,2466
4230,5062,1565,4197
2264,2100,1965,1632
4463,6139,1398,4596
2566,2764,2765,2597
1666,1366,1532,1864
1399,1399,967,20017
1300,3431,1066,1632
2265,5362,1998,5696
4397,1634,2232,2133
3997,5863,1265,5993
5961,4497,3098,5998
5430,4397,2565,4262
3931,2431,2099,1899
2599,4130,1299,3964
6262,3132,2331,3732
4431,2533,1865,3331
2829,2832,1765,3529
4063,3398,2000,3597
4829,1535,1898,1099
1399,866,866,600
2765,634,1499,2198
1665,3196,1167,2598
634,2766,932,866
2998,1166,2298,2431
3497,3464,1465,4130
5030,2597,2231,4730
4129,2932,2065,2432
,,,
3631.857143,3400.408163,1953.428571,3935.061224
