tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
315678164,0.495082,0.227848,0.495082,0.226582,1
315678198,0.489344,0.258228,0.495082,0.227848,1
315678232,0.490164,0.220253,0.495082,0.227848,1
315678264,0.488525,0.243038,0.494262,0.229114,1
315678297,0.491803,0.248101,0.494262,0.23038,1
315678331,0.5,0.267089,0.494262,0.232911,1
315678365,0.491803,0.225316,0.494262,0.232911,1
315678397,0.483607,0.23038,0.493443,0.232911,1
315678430,0.481148,0.241772,0.492623,0.232911,1
315678464,0.495082,0.240506,0.492623,0.234177,1
315678497,0.485246,0.241772,0.491803,0.234177,1
315678530,0.488525,0.253165,0.491803,0.235443,1
315678564,0.462295,0.246835,0.490164,0.236709,1
315678597,0.466393,0.236709,0.488525,0.236709,1
315678630,0.481148,0.258228,0.487705,0.237975,1
315678664,0.477049,0.256962,0.486885,0.240506,1
315678697,0.47459,0.251899,0.485246,0.240506,1
315678730,0.477869,0.286076,0.485246,0.244304,1
315678763,0.543443,0.310127,0.487705,0.248101,1
315678797,0.565574,0.341772,0.492623,0.25443,1
315678830,0.57377,0.344304,0.497541,0.259494,1
315678864,0.571311,0.370886,0.501639,0.267089,1
315678897,0.580328,0.34557,0.506557,0.273418,1
315678930,0.582787,0.359494,0.512295,0.279747,1
315678963,0.568033,0.367089,0.516393,0.287342,1
315678997,0.564754,0.381013,0.520492,0.293671,1
315679030,0.571311,0.373418,0.52459,0.301266,1
315679063,0.566393,0.362025,0.528689,0.306329,1
315679096,0.568852,0.35443,0.531967,0.311392,1
315679131,0.579508,0.377215,0.536066,0.317722,1
315679164,0.568852,0.368354,0.539344,0.322785,1
315679197,0.57377,0.392405,0.543443,0.329114,1
315679230,0.577869,0.377215,0.546721,0.334177,1
315679263,0.565574,0.359494,0.54918,0.337975,1
315679297,0.591803,0.359494,0.553279,0.341772,1
315679329,0.586066,0.363291,0.556557,0.344304,1
315679363,0.558197,0.386076,0.558197,0.349367,1
315679396,0.567213,0.367089,0.559836,0.351899,1
315679430,0.157377,0.356962,0.157377,0.356962,0
315679463,0.139344,0.397468,0.139344,0.397468,0
315679496,0.154918,0.406329,0.146721,0.401266,0
315679529,0.139344,0.412658,0.144262,0.405063,0
315679563,0.143443,0.394937,0.144262,0.402532,0
315679596,0.141803,0.398734,0.143443,0.401266,0
315679629,0.152459,0.401266,0.145082,0.401266,1
315679663,0.148361,0.393671,0.145902,0.4,1
315679696,0.141803,0.408861,0.145082,0.401266,1
315679729,0.140164,0.396203,0.144262,0.401266,1
315679763,0.131148,0.353165,0.143443,0.396203,1
315679796,0.148361,0.413924,0.143443,0.397468,1
315679830,0.145902,0.382278,0.143443,0.396203,1
315679862,0.342623,0.251899,0.342623,0.251899,0
315679896,0.371311,0.253165,0.371311,0.253165,0
315679930,0.369672,0.26962,0.370492,0.262025,0
315679963,0.368033,0.246835,0.369672,0.256962,0
315679996,0.371311,0.241772,0.369672,0.253165,0
315680030,0.363934,0.272152,0.368852,0.256962,0
315680063,0.372951,0.253165,0.369672,0.255696,1
315680096,0.368852,0.288608,0.369672,0.26076,1
315680129,0.372131,0.287342,0.369672,0.264557,1
315680162,0.457377,0.231646,0.380328,0.26076,1
315680195,0.438525,0.234177,0.386885,0.258228,1
315680229,0.441803,0.250633,0.392623,0.256962,1
315680262,0.445902,0.258228,0.397541,0.256962,1
315680295,0.459016,0.26962,0.403279,0.258228,1
315680329,0.456557,0.243038,0.408197,0.256962,1
315680362,0.451639,0.264557,0.412295,0.256962,1
315680395,0.445082,0.293671,0.415574,0.26076,1
315680429,0.451639,0.274684,0.418852,0.26076,1
315680462,0.440984,0.275949,0.421311,0.262025,1
315680495,0.437705,0.253165,0.422951,0.262025,1
315680529,0.447541,0.253165,0.42541,0.262025,1
315680562,0.454918,0.286076,0.427869,0.263291,1
315680595,0.451639,0.262025,0.430328,0.263291,1
315680630,0.444262,0.289873,0.431967,0.264557,1
315680662,0.457377,0.263291,0.434426,0.264557,1
315680695,0.447541,0.256962,0.436066,0.264557,1
315680729,0.442623,0.263291,0.436885,0.264557,1
315680762,0.445082,0.26962,0.437705,0.264557,1
315680795,0.457377,0.249367,0.439344,0.264557,1
315680829,0.446721,0.286076,0.440164,0.265823,1
315680862,0.457377,0.273418,0.441803,0.265823,1
315680895,0.446721,0.256962,0.443443,0.265823,1
315680928,0.448361,0.267089,0.444262,0.265823,1
315680962,0.434426,0.270886,0.444262,0.267089,1
315680995,0.453279,0.274684,0.445902,0.267089,1
315681028,0.452459,0.258228,0.446721,0.267089,1
315681061,0.45,0.253165,0.447541,0.265823,1
315681095,0.44918,0.279747,0.448361,0.267089,1
315681129,0.451639,0.277215,0.44918,0.267089,1
