tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
315831576,0.458197,0.274684,0.457377,0.268354,1
315831609,0.486066,0.255696,0.459836,0.267089,1
315831642,0.478689,0.289873,0.461475,0.268354,1
315831675,0.461475,0.253165,0.461475,0.267089,1
315831709,0.459016,0.283544,0.462295,0.268354,1
315831742,0.471311,0.288608,0.463115,0.26962,1
315831775,0.471311,0.297468,0.463934,0.270886,1
315831808,0.455738,0.294937,0.463934,0.272152,1
315831842,0.463934,0.289873,0.463934,0.273418,1
315831875,0.458197,0.250633,0.463934,0.272152,1
315831908,0.455738,0.273418,0.463934,0.272152,1
315831942,0.463934,0.326582,0.463934,0.275949,1
315831975,0.448361,0.313924,0.463115,0.278481,1
315832008,0.620492,0.387342,0.620492,0.387342,0
315832042,0.595902,0.397468,0.595902,0.397468,0
315832075,0.603279,0.392405,0.6,0.394937,0
315832108,0.609836,0.4,0.603279,0.396203,0
315832142,0.609016,0.392405,0.604918,0.394937,0
315832177,0.601639,0.394937,0.604098,0.394937,0
315832210,0.60082,0.406329,0.603279,0.397468,1
315832242,0.587705,0.402532,0.601639,0.397468,1
315832275,0.596721,0.435443,0.60082,0.402532,1
315832308,0.689344,0.283544,0.610656,0.388608,1
315832341,0.695082,0.297468,0.620492,0.378481,1
315832375,0.690984,0.278481,0.627869,0.368354,1
315832408,0.688525,0.306329,0.633607,0.362025,1
315832441,0.698361,0.281013,0.640164,0.35443,1
315832475,0.701639,0.274684,0.645902,0.346835,1
315832508,0.682787,0.283544,0.64918,0.341772,1
315832541,0.703279,0.286076,0.654098,0.336709,1
315832575,0.685246,0.289873,0.657377,0.331646,1
315832608,0.54918,0.297468,0.65,0.329114,1
315832641,0.310656,0.343038,0.310656,0.343038,0
315832674,0.316393,0.356962,0.316393,0.356962,0
315832708,0.318033,0.356962,0.317213,0.356962,0
315832741,0.319672,0.362025,0.318033,0.358228,0
315832774,0.312295,0.36962,0.316393,0.360759,0
315832808,0.316393,0.356962,0.316393,0.360759,0
315832841,0.218852,0.435443,0.3,0.373418,1
315832874,0.238525,0.416456,0.290164,0.379747,1
315832908,0.22459,0.446835,0.281967,0.388608,1
315832942,0.239344,0.44557,0.27623,0.396203,1
315832976,0.22459,0.444304,0.270492,0.401266,1
315833008,0.227049,0.467089,0.265574,0.408861,1
315833043,0.222131,0.421519,0.260656,0.410127,1
315833075,0.215574,0.451899,0.256557,0.413924,1
315833108,0.212295,0.422785,0.252459,0.41519,1
315833141,0.242623,0.436709,0.25082,0.417722,1
315833174,0.216393,0.460759,0.247541,0.421519,1
315833207,0.215574,0.429114,0.244262,0.422785,1
315833241,0.222951,0.416456,0.242623,0.422785,1
315833274,0.218852,0.427848,0.240164,0.424051,1
315833307,0.208197,0.43038,0.237705,0.424051,1
315833340,0.227049,0.451899,0.236066,0.426582,1
315833374,0.22459,0.434177,0.234426,0.427848,1
315833407,0.22377,0.441772,0.233607,0.429114,1
