tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741904160,0.416327,0.392182,0.416327,0.395965,1
741904193,0.420408,0.408575,0.416327,0.395965,1
741904227,0.422041,0.394704,0.417143,0.395965,1
741904259,0.413061,0.403531,0.416327,0.397226,1
741904294,0.420408,0.380832,0.417143,0.395965,1
741904326,0.410612,0.412358,0.416327,0.397226,1
741904359,0.417959,0.411097,0.417143,0.398487,1
741904393,0.411429,0.41488,0.416327,0.399748,1
741904426,0.419592,0.385876,0.417143,0.398487,1
741904459,0.413061,0.42623,0.417143,0.399748,1
741904493,0.422857,0.41488,0.417143,0.401009,1
741904527,0.773878,0.29256,0.773878,0.29256,0
741904559,0.754286,0.30517,0.754286,0.30517,0
741904593,0.762449,0.311475,0.758367,0.307692,0
741904626,0.759184,0.29256,0.758367,0.302648,0
741904659,0.761633,0.31652,0.759184,0.306431,0
741904692,0.761633,0.307692,0.76,0.306431,0
741904727,0.781224,0.31652,0.763265,0.308953,1
741904759,0.813878,0.296343,0.770612,0.306431,1
741904795,0.814694,0.315259,0.777143,0.307692,1
741904827,0.810612,0.311475,0.781224,0.307692,1
741904859,0.802449,0.302648,0.783673,0.307692,1
741904893,0.814694,0.308953,0.786939,0.307692,1
741904929,0.811429,0.293821,0.789388,0.306431,1
741904964,0.819592,0.306431,0.792653,0.306431,1
741904993,0.812245,0.315259,0.794286,0.307692,1
741905027,0.799184,0.2686,0.795102,0.303909,1
741905059,0.813878,0.31652,0.796735,0.30517,1
741905092,0.809796,0.295082,0.798367,0.303909,1
741905132,0.819592,0.319042,0.8,0.30517,1
741905159,0.803265,0.29256,0.800816,0.303909,1
741905192,0.811429,0.282472,0.801633,0.302648,1
741905226,0.828571,0.401009,0.804082,0.308953,1
741905259,0.835918,0.390921,0.806531,0.313997,1
741905292,0.838367,0.38966,0.80898,0.319042,1
741905325,0.84,0.388398,0.811429,0.324086,1
741905358,0.835102,0.390921,0.813061,0.32913,1
741905392,0.827755,0.407314,0.81551,0.334174,1
741905425,0.835102,0.395965,0.817959,0.339218,1
741905459,0.844082,0.406053,0.820408,0.345523,1
741905492,0.860408,0.446406,0.823673,0.35309,1
741905525,0.860408,0.443884,0.827755,0.360656,1
741905559,0.858775,0.441362,0.830204,0.366961,1
741905592,0.862857,0.440101,0.832653,0.374527,1
741905626,0.865306,0.431274,0.835918,0.379571,1
741905658,0.866122,0.442623,0.838367,0.385876,1
741905692,0.862857,0.447667,0.840816,0.392182,1
741905726,0.859592,0.459016,0.843265,0.398487,1
741905758,0.810612,0.320303,0.841633,0.397226,1
741905792,0.809796,0.306431,0.840816,0.393443,1
741905825,0.80898,0.321564,0.839184,0.390921,1
741905858,0.800816,0.324086,0.837551,0.38966,1
741905891,0.806531,0.302648,0.835918,0.384615,1
741905925,0.818776,0.283733,0.835102,0.379571,1
741905958,0.817959,0.303909,0.834286,0.374527,1
741905992,0.811429,0.321564,0.832653,0.372005,1
741906027,0.798367,0.291299,0.83102,0.366961,1
741906059,0.809796,0.301387,0.829388,0.360656,1
741906092,0.800816,0.310214,0.826939,0.355612,1
741906126,0.599184,0.278689,0.599184,0.278689,0
741906158,0.259592,0.296343,0.259592,0.296343,0
741906191,0.249796,0.2686,0.254694,0.282472,0
741906225,0.25551,0.277427,0.25551,0.27995,0
741906258,0.248163,0.290038,0.253061,0.282472,0
741906291,0.246531,0.281211,0.252245,0.282472,0
741906325,0.245714,0.278689,0.245714,0.278689,0
741906358,0.217959,0.264817,0.217959,0.264817,0
741906391,0.213061,0.281211,0.21551,0.273644,0
741906426,0.21551,0.271122,0.21551,0.272383,0
741906458,0.193469,0.283733,0.209796,0.274905,0
741906495,0.223673,0.297604,0.213061,0.27995,0
741906526,0.210612,0.282472,0.212245,0.281211,1
741906558,0.212245,0.266078,0.212245,0.278689,1
741906592,0.212245,0.282472,0.212245,0.278689,1
741906626,0.210612,0.288777,0.212245,0.27995,1
741906657,0.200816,0.282472,0.210612,0.27995,1
741906691,0.209796,0.281211,0.210612,0.27995,1
741906724,0.21551,0.286255,0.211429,0.281211,1
741906757,0.220408,0.296343,0.212245,0.282472,1
741906791,0.20898,0.276166,0.211429,0.282472,1
741906824,0.211429,0.277427,0.211429,0.281211,1
