tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
314617280,0.734426,0.241772,0.72377,0.26962,1
314617308,0.729508,0.241772,0.72459,0.267089,1
314617342,0.731148,0.24557,0.72541,0.264557,1
314617376,0.744262,0.231646,0.727049,0.262025,1
314617408,0.736885,0.237975,0.727869,0.26076,1
314617441,0.756557,0.265823,0.730328,0.259494,1
314617476,0.721311,0.239241,0.730328,0.258228,1
314617508,0.740984,0.24557,0.731148,0.256962,1
314617541,0.740984,0.24557,0.731967,0.255696,1
314617575,0.732787,0.264557,0.732787,0.255696,1
314617608,0.728689,0.244304,0.733607,0.253165,1
314617642,0.729508,0.262025,0.733607,0.253165,1
314617677,0.745902,0.26962,0.734426,0.25443,1
314617709,0.677049,0.483544,0.677049,0.483544,0
314617744,0.672131,0.517722,0.672131,0.517722,0
314617776,0.688525,0.516456,0.680328,0.516456,0
314617809,0.666393,0.544304,0.67541,0.526582,0
314617842,0.677049,0.525316,0.67623,0.526582,0
314617876,0.664754,0.506329,0.67377,0.521519,0
314617909,0.656557,0.537975,0.670492,0.525316,1
314617942,0.668852,0.525316,0.670492,0.525316,1
314617977,0.67623,0.529114,0.671311,0.525316,1
314618009,0.671311,0.505063,0.671311,0.522785,1
314618042,0.664754,0.527848,0.670492,0.524051,1
314618076,0.403279,0.340506,0.403279,0.340506,0
314618109,0.261475,0.351899,0.261475,0.351899,0
314618144,0.261475,0.351899,0.261475,0.351899,0
314618177,0.265574,0.360759,0.263115,0.355696,0
314618209,0.248361,0.343038,0.259016,0.351899,0
314618242,0.261475,0.346835,0.259836,0.350633,0
314618276,0.261475,0.34557,0.259836,0.350633,1
314618308,0.220492,0.358228,0.254098,0.350633,1
314618342,0.238525,0.351899,0.238525,0.351899,0
314618375,0.227869,0.336709,0.227869,0.336709,0
314618408,0.228689,0.359494,0.227869,0.348101,0
314618442,0.235246,0.35443,0.230328,0.350633,0
314618476,0.241803,0.411392,0.233607,0.365823,0
314618508,0.22623,0.355696,0.231967,0.364557,0
314618544,0.283607,0.331646,0.240984,0.358228,1
314618577,0.718852,0.244304,0.718852,0.244304,0
314618609,0.756557,0.283544,0.756557,0.283544,0
314618643,0.758197,0.265823,0.757377,0.274684,0
314618680,0.747541,0.277215,0.754098,0.275949,0
314618708,0.75082,0.289873,0.753279,0.279747,0
314618741,0.758197,0.279747,0.754098,0.279747,0
314618775,0.753279,0.277215,0.754098,0.278481,1
314618808,0.748361,0.292405,0.753279,0.281013,1
314618841,0.74918,0.26076,0.752459,0.278481,1
314618875,0.757377,0.265823,0.753279,0.277215,1
314618908,0.745902,0.262025,0.752459,0.274684,1
314618941,0.65082,0.268354,0.742623,0.274684,1
314618975,0.307377,0.377215,0.307377,0.377215,0
314619008,0.32377,0.375949,0.32377,0.375949,0
314619041,0.329508,0.374684,0.32623,0.375949,0
314619075,0.328689,0.362025,0.327049,0.370886,0
314619108,0.320492,0.356962,0.32541,0.367089,0
314619141,0.32459,0.388608,0.32541,0.372152,0
314619175,0.331967,0.362025,0.32623,0.36962,1
314619208,0.332787,0.370886,0.327869,0.36962,1
314619241,0.329508,0.386076,0.327869,0.372152,1
314619276,0.331148,0.426582,0.327869,0.378481,1
314619307,0.327049,0.36962,0.327869,0.377215,1
314619341,0.322131,0.398734,0.327869,0.379747,1
314619377,0.278689,0.288608,0.322951,0.372152,1
314619408,0.295082,0.235443,0.320492,0.359494,1
314619442,0.303279,0.241772,0.318852,0.349367,1
314619478,0.295082,0.21519,0.317213,0.337975,1
314619508,0.287705,0.224051,0.314754,0.329114,1
314619542,0.291803,0.25443,0.312295,0.322785,1
314619575,0.288525,0.222785,0.310656,0.313924,1
314619607,0.295902,0.225316,0.309016,0.306329,1
314619641,0.277869,0.221519,0.306557,0.3,1
314619675,0.295902,0.2,0.305738,0.292405,1
314619707,0.288525,0.250633,0.304098,0.287342,1
314619740,0.281967,0.212658,0.302459,0.281013,1
314619775,0.288525,0.26962,0.30082,0.278481,1
314619807,0.290984,0.250633,0.3,0.274684,1
314619840,0.289344,0.225316,0.29918,0.270886,1
314619875,0.296721,0.225316,0.298361,0.265823,1
314619907,0.281148,0.216456,0.296721,0.262025,1
314619940,0.290984,0.259494,0.295902,0.26076,1
314619975,0.283607,0.277215,0.295082,0.259494,1
314620007,0.284426,0.278481,0.294262,0.259494,1
314620040,0.289344,0.249367,0.293443,0.256962,1
314620075,0.293443,0.240506,0.292623,0.25443,1
314620107,0.290164,0.263291,0.291803,0.253165,1
314620140,0.284426,0.246835,0.290984,0.251899,1
314620176,0.283607,0.216456,0.290164,0.249367,1
314620208,0.294262,0.246835,0.290164,0.248101,1
314620241,0.277869,0.249367,0.289344,0.246835,1
314620275,0.284426,0.250633,0.288525,0.24557,1
314620307,0.291803,0.25443,0.288525,0.24557,1
314620340,0.286066,0.259494,0.287705,0.24557,1
314620380,0.280328,0.267089,0.287705,0.246835,1
314620407,0.281148,0.234177,0.286885,0.246835,1
