tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741679139,0.365714,0.252207,0.366531,0.253468,1
741679172,0.373878,0.2686,0.368163,0.254729,1
741679206,0.372245,0.244641,0.368163,0.254729,1
741679240,0.370612,0.271122,0.36898,0.25599,1
741679272,0.358367,0.266078,0.36898,0.257251,1
741679306,0.366531,0.269861,0.36898,0.258512,1
741679339,0.37551,0.259773,0.36898,0.258512,1
741679372,0.37551,0.257251,0.369796,0.258512,1
741679406,0.36898,0.266078,0.369796,0.259773,1
741679440,0.368163,0.261034,0.369796,0.259773,1
741679472,0.377959,0.264817,0.369796,0.261034,1
741679506,0.369796,0.266078,0.369796,0.261034,1
741679539,0.362449,0.269861,0.369796,0.262295,1
741679572,0.363265,0.261034,0.369796,0.262295,1
741679606,0.358367,0.258512,0.36898,0.262295,1
741679639,0.352653,0.258512,0.367347,0.261034,1
741679672,0.364082,0.262295,0.367347,0.262295,1
741679705,0.297959,0.267339,0.363265,0.262295,1
741679738,0.285714,0.253468,0.358367,0.262295,1
741679772,0.291429,0.254729,0.353469,0.262295,1
741679805,0.274286,0.257251,0.347755,0.261034,1
741679838,0.28898,0.262295,0.343673,0.262295,1
741679872,0.285714,0.252207,0.338776,0.261034,1
741679905,0.285714,0.277427,0.333878,0.262295,1
741679938,0.290612,0.24338,0.329796,0.261034,1
741679974,0.288163,0.266078,0.325714,0.261034,1
741680005,0.289796,0.281211,0.322449,0.262295,1
741680039,0.294694,0.252207,0.318367,0.262295,1
741680073,0.281633,0.269861,0.315102,0.262295,1
741680105,0.142857,0.379571,0.142857,0.379571,0
741680138,0.15102,0.382093,0.15102,0.382093,0
741680173,0.138776,0.382093,0.145306,0.382093,0
741680205,0.15102,0.399748,0.146939,0.387137,0
741680239,0.14449,0.377049,0.146122,0.384615,0
741680271,0.142041,0.393443,0.145306,0.387137,0
741680305,0.145306,0.397226,0.145306,0.388398,1
741680338,0.141224,0.395965,0.145306,0.38966,1
741680378,0.137959,0.383354,0.143673,0.388398,1
741680409,0.133878,0.383354,0.142857,0.388398,1
741680438,0.151837,0.409836,0.143673,0.390921,1
741680471,0.721633,0.366961,0.721633,0.366961,0
741680504,0.806531,0.361917,0.806531,0.361917,0
741680538,0.795102,0.390921,0.800816,0.377049,0
741680572,0.795102,0.395965,0.799184,0.383354,0
741680604,0.801633,0.42623,0.8,0.393443,0
741680637,0.799184,0.379571,0.799184,0.390921,0
741680671,0.84898,0.399748,0.808163,0.392182,1
741680704,0.835918,0.404792,0.812245,0.394704,1
741680737,0.841633,0.399748,0.816327,0.394704,1
741680771,0.842449,0.377049,0.819592,0.393443,1
741680804,0.847347,0.38966,0.822857,0.393443,1
741680837,0.861224,0.398487,0.826939,0.393443,1
741680871,0.856327,0.394704,0.829388,0.393443,1
741680904,0.847347,0.403531,0.831837,0.394704,1
741680937,0.857959,0.40227,0.834286,0.394704,1
741680973,0.844082,0.384615,0.844082,0.384615,0
741681004,0.692245,0.291299,0.692245,0.291299,0
741681038,0.662041,0.267339,0.676735,0.27995,0
741681071,0.662857,0.276166,0.672653,0.278689,0
741681109,0.657959,0.301387,0.668571,0.283733,0
741681138,0.661224,0.27995,0.666939,0.283733,0
741681170,0.665306,0.293821,0.665306,0.293821,0
741681212,0.663673,0.290038,0.663673,0.290038,0
741681237,0.665306,0.290038,0.66449,0.290038,0
741681271,0.557551,0.24338,0.628571,0.274905,0
741681304,0.569796,0.247163,0.613878,0.267339,0
741681337,0.560816,0.245902,0.602449,0.263556,0
741681371,0.571429,0.238335,0.597551,0.258512,1
741681403,0.561633,0.247163,0.591837,0.257251,1
741681437,0.552653,0.252207,0.586122,0.25599,1
741681470,0.565714,0.234552,0.583673,0.253468,1
741681503,0.561633,0.242119,0.580408,0.252207,1
741681537,0.566531,0.264817,0.578776,0.253468,1
741681570,0.564082,0.24338,0.577143,0.252207,1
741681604,0.565714,0.238335,0.576327,0.250946,1
741681637,0.570612,0.237074,0.57551,0.249685,1
741681672,0.569796,0.253468,0.574694,0.249685,1
741681704,0.550204,0.257251,0.572245,0.249685,1
741681737,0.570612,0.262295,0.572245,0.250946,1
741681771,0.560816,0.272383,0.570612,0.252207,1
741681803,0.562449,0.245902,0.569796,0.252207,1
