tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741602267,0.248163,0.356873,0.256327,0.380832,1
741602300,0.248163,0.394704,0.25551,0.382093,1
741602334,0.238367,0.373266,0.254694,0.380832,1
741602368,0.239184,0.372005,0.253061,0.379571,1
741602400,0.24898,0.397226,0.253061,0.380832,1
741602434,0.434286,0.257251,0.434286,0.257251,0
741602468,0.422041,0.273644,0.422041,0.273644,0
741602500,0.429388,0.271122,0.425306,0.272383,0
741602533,0.42449,0.273644,0.425306,0.273644,0
741602567,0.431837,0.249685,0.426939,0.267339,0
741602604,0.42449,0.273644,0.426122,0.2686,0
741602635,0.425306,0.273644,0.426122,0.269861,1
741602668,0.421224,0.263556,0.425306,0.2686,1
741602701,0.426122,0.263556,0.425306,0.267339,1
741602734,0.421224,0.264817,0.425306,0.267339,1
741602770,0.419592,0.283733,0.42449,0.2686,1
741602800,0.429388,0.274905,0.42449,0.269861,1
741602833,0.240816,0.321564,0.240816,0.321564,0
741602867,0.152653,0.340479,0.152653,0.340479,0
741602900,0.148571,0.358134,0.150204,0.349306,0
741602933,0.155918,0.35309,0.152653,0.350567,0
741602966,0.152653,0.355612,0.152653,0.351828,0
741603000,0.148571,0.366961,0.151837,0.355612,0
741603034,0.149388,0.372005,0.15102,0.358134,1
741603067,0.150204,0.350567,0.15102,0.356873,1
741603100,0.155918,0.366961,0.151837,0.358134,1
741603133,0.147755,0.354351,0.15102,0.358134,1
741603166,0.145306,0.346784,0.15102,0.356873,1
741603200,0.157551,0.373266,0.15102,0.358134,1
741603233,0.160816,0.379571,0.152653,0.360656,1
741603267,0.262041,0.297604,0.161633,0.355612,1
741603300,0.373878,0.235813,0.373878,0.235813,0
741603333,0.385306,0.25599,0.385306,0.25599,0
741603366,0.382857,0.234552,0.38449,0.244641,0
741603401,0.381224,0.233291,0.382857,0.240857,0
741603434,0.386939,0.239596,0.38449,0.240857,0
741603468,0.372245,0.252207,0.382041,0.24338,0
741603500,0.383673,0.240857,0.382041,0.24338,1
741603533,0.37551,0.234552,0.381224,0.242119,1
741603567,0.37551,0.230769,0.380408,0.239596,1
741603599,0.378776,0.225725,0.380408,0.238335,1
741603633,0.373878,0.233291,0.379592,0.238335,1
741603666,0.386122,0.250946,0.380408,0.239596,1
741603699,0.386122,0.235813,0.380408,0.238335,1
741603732,0.37551,0.239596,0.380408,0.238335,1
741603766,0.469388,0.247163,0.387755,0.239596,1
741603799,0.471837,0.248424,0.394286,0.239596,1
741603832,0.47102,0.240857,0.4,0.240857,1
741603866,0.462857,0.242119,0.405714,0.240857,1
741603899,0.457959,0.248424,0.409796,0.240857,1
741603932,0.463673,0.244641,0.413878,0.240857,1
741603967,0.456327,0.238335,0.417959,0.240857,1
741603999,0.465306,0.244641,0.422041,0.240857,1
741604032,0.462857,0.233291,0.425306,0.240857,1
741604066,0.467755,0.245902,0.428571,0.240857,1
741604099,0.466122,0.216898,0.431837,0.239596,1
741604132,
