tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
741753979,0.485714,0.261034,0.472653,0.271122,1
741754013,0.467755,0.295082,0.472653,0.272383,1
741754046,0.477551,0.272383,0.472653,0.272383,1
741754080,0.463673,0.266078,0.472653,0.272383,1
741754113,0.475102,0.269861,0.472653,0.272383,1
741754146,0.471837,0.267339,0.472653,0.271122,1
741754179,0.481633,0.266078,0.472653,0.271122,1
741754212,0.48,0.258512,0.473469,0.269861,1
741754245,0.588571,0.3657,0.588571,0.3657,0
741754279,0.588571,0.349306,0.588571,0.349306,0
741754312,0.576327,0.348045,0.582857,0.349306,0
741754345,0.583673,0.345523,0.582857,0.348045,0
741754380,0.577143,0.360656,0.581225,0.351828,0
741754413,0.595102,0.363178,0.58449,0.35309,0
741754445,0.580408,0.351828,0.583673,0.35309,1
741754479,0.589388,0.358134,0.58449,0.354351,1
741754515,0.576327,0.356873,0.583673,0.354351,1
741754545,0.588571,0.363178,0.583673,0.355612,1
741754579,0.333878,0.269861,0.333878,0.269861,0
741754614,0.321633,0.261034,0.321633,0.261034,0
741754645,0.310204,0.259773,0.315918,0.261034,0
741754678,0.325714,0.2686,0.319184,0.263556,0
741754712,0.311837,0.25599,0.317551,0.261034,0
741754745,0.333878,0.237074,0.320816,0.25599,0
741754778,0.315918,0.250946,0.32,0.25599,1
741754812,0.309388,0.234552,0.318367,0.252207,1
741754845,0.318367,0.249685,0.318367,0.252207,1
741754879,0.313469,0.24338,0.317551,0.250946,1
741754912,0.309388,0.24338,0.316735,0.249685,1
741754945,0.31102,0.254729,0.315918,0.249685,1
741754978,0.309388,0.240857,0.315918,0.249685,1
741755012,0.626939,0.477932,0.626939,0.477932,0
741755045,0.71102,0.529634,0.71102,0.529634,0
741755079,0.709388,0.48802,0.710204,0.509458,0
741755112,0.713469,0.494325,0.71102,0.504414,0
741755144,0.677551,0.495586,0.702857,0.501892,0
741755178,0.708571,0.508197,0.703673,0.503153,0
741755212,0.70449,0.495586,0.703673,0.501892,1
741755246,0.713469,0.542245,0.705306,0.508197,1
741755279,0.698776,0.481715,0.70449,0.504414,1
741755313,0.712653,0.510719,0.705306,0.505675,1
741755344,0.715102,0.508197,0.706122,0.505675,1
741755378,0.715102,0.517024,0.707755,0.506936,1
741755412,0.707755,0.508197,0.707755,0.506936,1
741755448,0.715918,0.51198,0.708571,0.506936,1
741755478,0.727347,0.504414,0.710204,0.506936,1
741755512,0.716735,0.494325,0.710204,0.505675,1
741755544,0.721633,0.509458,0.711837,0.505675,1
