tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
742214646,0.288163,0.264817,0.279184,0.271122,1
742214679,0.280816,0.290038,0.28,0.272383,1
742214712,0.286531,0.288777,0.280816,0.272383,1
742214746,0.289796,0.2686,0.282449,0.272383,1
742214779,0.279184,0.267339,0.282449,0.271122,1
742214813,0.27102,0.271122,0.282449,0.271122,1
742214846,0.28,0.273644,0.282449,0.271122,1
742214879,0.276735,0.284994,0.281633,0.271122,1
742214912,0.281633,0.267339,0.281633,0.271122,1
742214946,0.283265,0.269861,0.281633,0.271122,1
742214979,0.279184,0.373266,0.281633,0.277427,1
742215012,0.275918,0.527112,0.275918,0.527112,0
742215046,0.287347,0.547289,0.287347,0.547289,0
742215079,0.284082,0.529634,0.285714,0.538462,0
742215112,0.284898,0.546028,0.285714,0.540984,0
742215148,0.272653,0.529634,0.282449,0.538462,0
742215181,0.285714,0.540984,0.283265,0.538462,0
742215214,0.275918,0.533417,0.281633,0.538462,1
742215247,0.280816,0.543506,0.281633,0.538462,1
742215279,0.271837,0.54855,0.28,0.539723,1
742215312,0.28898,0.546028,0.280816,0.540984,1
742215346,0.251429,0.517024,0.278367,0.538462,1
742215378,0.155102,0.430013,0.155102,0.430013,0
742215411,0.142857,0.411097,0.142857,0.411097,0
742215446,0.141224,0.422446,0.142041,0.416141,0
742215478,0.155918,0.393443,0.146939,0.408575,0
742215512,0.156735,0.416141,0.149388,0.411097,0
742215545,0.148571,0.411097,0.149388,0.411097,0
742215578,0.155102,0.418663,0.150204,0.412358,1
742215612,0.160816,0.42623,0.151837,0.413619,1
742215645,0.152653,0.404792,0.151837,0.413619,1
742215678,0.157551,0.419924,0.152653,0.413619,1
742215711,0.154286,0.41488,0.152653,0.413619,1
742215746,0.146939,0.394704,0.152653,0.412358,1
742215778,0.431837,0.48802,0.431837,0.48802,0
742215811,0.616327,0.534678,0.616327,0.534678,0
742215845,0.63102,0.581337,0.623673,0.557377,0
742215980,0.645714,0.56116,0.645714,0.56116,0
742216015,0.707755,0.544767,0.707755,0.544767,0
742216047,0.708571,0.529634,0.708571,0.537201,0
742216079,0.713469,0.534678,0.710204,0.535939,0
742216111,0.712653,0.532156,0.71102,0.534678,0
742216147,0.715918,0.532156,0.711837,0.534678,0
742216178,0.710204,0.551072,0.711837,0.537201,1
742216211,0.713469,0.520807,0.711837,0.534678,1
742216244,0.707755,0.539723,0.71102,0.535939,1
742216277,0.701225,0.554855,0.710204,0.538462,1
742216311,0.716735,0.533417,0.71102,0.537201,1
742216344,0.713469,0.535939,0.71102,0.537201,1
742216377,0.729796,0.519546,0.712653,0.535939,1
742216411,0.863673,0.291299,0.863673,0.291299,0
742216444,0.862041,0.327869,0.862041,0.327869,0
742216477,0.873469,0.315259,0.867755,0.321564,0
742216510,0.863673,0.32913,0.866122,0.324086,0
742216545,0.856327,0.311475,0.863673,0.321564,0
742216577,0.875102,0.315259,0.866122,0.320303,0
742216610,0.863673,0.300126,0.865306,0.31652,1
742216644,0.858775,0.311475,0.86449,0.315259,1
742216677,0.865306,0.313997,0.86449,0.315259,1
742216712,0.862041,0.317781,0.86449,0.315259,1
742216745,0.862041,0.31652,0.86449,0.315259,1
742216777,0.857143,0.340479,0.863673,0.317781,1
742216811,0.85551,0.307692,0.862857,0.31652,1
742216845,0.85551,0.301387,0.862041,0.315259,1
742216879,0.862041,0.301387,0.862041,0.313997,1
742216911,0.853878,0.45145,0.861224,0.325347,1
742216945,0.853061,0.436318,0.860408,0.334174,1
742216977,0.854694,0.459016,0.860408,0.343001,1
742217010,0.840816,0.440101,0.858775,0.350567,1
742217044,0.853061,0.455233,0.857959,0.359395,1
742217077,0.842449,0.456494,0.857143,0.366961,1
742217111,0.848163,0.42623,0.856327,0.372005,1
742217144,0.85551,0.441362,0.856327,0.377049,1
742217177,0.849796,0.45145,0.85551,0.383354,1
742217210,0.862041,0.432535,0.85551,0.388398,1
742217243,0.868571,0.447667,0.856327,0.393443,1
742217277,0.560816,0.354351,0.560816,0.354351,0
742217310,0.391837,0.310214,0.391837,0.310214,0
742217410,0.382041,0.293821,0.367347,0.259773,0
742217444,0.380408,0.281211,0.369796,0.263556,0
742217477,0.373061,0.281211,0.373061,0.281211,0
742217510,0.36898,0.276166,0.36898,0.276166,0
742217544,0.267755,0.234552,0.318367,0.25599,0
742217576,0.280816,0.262295,0.305306,0.257251,0
742217610,0.285714,0.259773,0.300408,0.258512,0
742217644,0.279184,0.264817,0.296327,0.259773,0
742217676,0.279184,0.264817,0.293061,0.261034,1
742217710,0.28,0.281211,0.290612,0.263556,1
742217744,0.284898,0.27995,0.289796,0.266078,1
742217776,0.285714,0.277427,0.28898,0.267339,1
742217810,0.285714,0.283733,0.28898,0.2686,1
742217844,0.273469,0.271122,0.287347,0.269861,1
742217876,0.293878,0.274905,0.287347,0.269861,1
742217910,0.302857,0.274905,0.28898,0.271122,1
742217943,0.281633,0.271122,0.288163,0.271122,1
742217976,0.292245,0.263556,0.288163,0.269861,1
742218009,0.285714,0.25599,0.288163,0.269861,1
742218043,0.289796,0.277427,0.288163,0.269861,1
