tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366616714,0.525135,0.324042,0.521544,0.321719,1
366616748,0.518851,0.334495,0.521544,0.32288,1
366616782,0.530521,0.325203,0.521544,0.32288,1
366616814,0.517953,0.325203,0.521544,0.32288,1
366616848,0.517953,0.334495,0.521544,0.32288,1
366616881,0.517953,0.31475,0.520646,0.32288,1
366616914,0.514363,0.320558,0.520646,0.32288,1
366616947,0.51526,0.308943,0.520646,0.321719,1
366616980,0.525135,0.311266,0.520646,0.320558,1
366617014,0.517953,0.301974,0.520646,0.319396,1
366617047,0.519749,0.321719,0.520646,0.319396,1
366617080,0.51167,0.313589,0.519749,0.319396,1
366617114,0.62298,0.356562,0.62298,0.356562,0
366617147,0.658887,0.372822,0.658887,0.372822,0
366617180,0.656194,0.362369,0.657092,0.367015,0
366617213,0.650808,0.37863,0.655296,0.371661,0
366617247,0.656194,0.375145,0.655296,0.372822,0
366617280,0.655296,0.37863,0.655296,0.373984,0
366617313,0.667864,0.379791,0.657989,0.375145,1
366617347,0.659785,0.382114,0.657989,0.376307,1
366617381,0.658887,0.380952,0.657989,0.376307,1
366617413,0.657989,0.37863,0.657989,0.376307,1
366617447,0.656194,0.370499,0.657989,0.376307,1
366617480,0.654399,0.371661,0.657989,0.376307,1
366617513,0.658887,0.379791,0.657989,0.376307,1
366617547,0.658887,0.37863,0.657989,0.376307,1
366617581,0.675045,0.384437,0.658887,0.377468,1
366617615,0.64991,0.347271,0.658887,0.375145,1
366617647,0.674147,0.415796,0.659785,0.377468,1
366617680,0.645422,0.500581,0.658887,0.38676,1
366617713,0.633752,0.512195,0.633752,0.512195,0
366617747,0.637343,0.515679,0.637343,0.515679,0
366617780,0.631957,0.518002,0.63465,0.516841,0
366617814,0.631957,0.524971,0.633752,0.519164,0
366617846,0.560144,0.535424,0.614901,0.52381,0
366617879,0.527828,0.648084,0.596948,0.5482,0
366617913,0.527828,0.642276,0.527828,0.642276,0
366617946,0.54219,0.634146,0.54219,0.634146,0
366617979,0.529623,0.650406,0.535907,0.642276,0
366618013,0.5386,0.66899,0.536804,0.651568,0
366618047,0.528725,0.639954,0.535009,0.648084,0
366618080,0.455117,0.623693,0.518851,0.643438,0
366618113,0.472172,0.623693,0.510772,0.639954,1
366618146,0.47307,0.614402,0.504488,0.636469,1
366618179,0.464093,0.620209,0.499102,0.634146,1
366618212,0.468582,0.641115,0.495512,0.634146,1
366618246,0.410233,0.550523,0.410233,0.550523,0
366618279,0.390485,0.554007,0.390485,0.554007,0
366618313,0.390485,0.557491,0.390485,0.555168,0
366618346,0.40395,0.558653,0.394973,0.55633,0
366618379,0.389587,0.554007,0.393178,0.555168,0
366618414,0.397666,0.560976,0.394075,0.55633,0
366618447,0.394075,0.550523,0.394075,0.555168,1
366618479,0.384201,0.494774,0.393178,0.547038,1
366618513,0.385996,0.475029,0.39228,0.537747,1
366618547,0.385996,0.472706,0.391382,0.529617,1
366618580,0.382406,0.486643,0.390485,0.52381,1
366618612,0.373429,0.475029,0.388689,0.519164,1
366618645,0.375224,0.480836,0.386894,0.514518,1
366618679,0.389587,0.486643,0.386894,0.512195,1
366618712,0.370736,0.478513,0.385996,0.508711,1
366618746,0.375224,0.492451,0.385099,0.507549,1
366618779,0.369838,0.471545,0.383303,0.504065,1
366619379,0.368043,0.370499,0.362657,0.432056,1
366619412,0.393178,0.343786,0.364452,0.426249,1
366619445,0.385099,0.348432,0.36535,0.41928,1
366619480,0.384201,0.337979,0.366248,0.413473,1
366619512,0.389587,0.346109,0.367145,0.407665,1
366619545,0.388689,0.354239,0.368941,0.40302,1
366619578,0.387792,0.360046,0.369838,0.398374,1
366619612,0.384201,0.342625,0.371634,0.392567,1
366619645,0.360862,0.28223,0.360862,0.28223,0
366619678,0.356373,0.288037,0.356373,0.288037,0
366619712,0.366248,0.281069,0.361759,0.284553,0
366619745,0.369838,0.268293,0.364452,0.278746,0
366619778,0.373429,0.276423,0.366248,0.278746,0
366619812,0.363555,0.285714,0.366248,0.279907,0
366619846,0.368941,0.281069,0.366248,0.279907,1
366619878,0.363555,0.292683,0.366248,0.28223,1
366619911,0.362657,0.2741,0.36535,0.281069,1
366619945,0.369838,0.286876,0.366248,0.281069,1
366619980,0.372531,0.286876,0.367145,0.28223,1
366620012,0.363555,0.286876,0.366248,0.28223,1
366620045,0.367145,0.286876,0.366248,0.283391,1
366620080,0.375224,0.293844,0.367145,0.283391,1
366620112,0.374327,0.279907,0.368043,0.283391,1
366620145,0.567325,0.356562,0.567325,0.356562,0
366620182,0.663375,0.400697,0.663375,0.400697,0
366620212,0.674147,0.409988,0.668761,0.405343,0
366620245,0.670557,0.406504,0.669659,0.406504,0
366620280,0.658887,0.413473,0.666966,0.407665,0
366620313,0.659785,0.407665,0.665171,0.407665,0
366620345,0.681329,0.383275,0.667864,0.404181,1
366620378,0.675943,0.382114,0.675943,0.382114,0
366620411,0.671454,0.397213,0.671454,0.397213,0
366620445,0.678636,0.393728,0.675045,0.396051,0
366620478,0.667864,0.391405,0.672352,0.393728,0
366620511,0.67325,0.38676,0.672352,0.392567,0
366620545,0.669659,0.398374,0.672352,0.393728,0
366620578,0.671454,0.390244,0.672352,0.392567,1
366620611,0.670557,0.390244,0.671454,0.392567,1
366620644,0.671454,0.384437,0.671454,0.391405,1
366620678,0.670557,0.389082,0.671454,0.391405,1
366620711,0.669659,0.377468,0.671454,0.390244,1
366620744,0.684022,0.385598,0.672352,0.389082,1
366620778,0.675045,0.390244,0.672352,0.389082,1
366620812,0.601436,0.490128,0.601436,0.490128,0
366620844,0.59605,0.515679,0.59605,0.515679,0
366620877,0.598743,0.507549,0.596948,0.511034,0
366620913,0.601436,0.513357,0.598743,0.512195,0
366620945,0.601436,0.521487,0.599641,0.514518,0
366620978,0.591562,0.535424,0.597846,0.519164,0
366621013,0.597846,0.53194,0.597846,0.521487,1
366621046,0.602334,0.538908,0.598743,0.52381,1
366621078,0.487433,0.600465,0.487433,0.600465,0
366621112,0.47307,0.601626,0.47307,0.601626,0
366621143,0.482944,0.59698,0.477558,0.599303,0
366621177,0.473968,0.606272,0.476661,0.601626,0
366621210,0.466786,0.586527,0.473968,0.598142,0
366621244,0.477558,0.61324,0.474865,0.601626,0
366621277,0.478456,0.606272,0.475763,0.601626,1
366621310,0.472172,0.58885,0.474865,0.600465,1
366621344,0.474865,0.602787,0.474865,0.600465,1
366621377,0.475763,0.58885,0.474865,0.599303,1
366621410,0.489228,0.624855,0.476661,0.601626,1
366621444,0.494614,0.607433,0.478456,0.602787,1
366621476,0.494614,0.610918,0.480251,0.602787,1
366621510,0.482944,0.603949,0.480251,0.602787,1
366621544,0.483842,0.624855,0.481149,0.60511,1
366621577,0.493716,0.615563,0.482047,0.606272,1
366621611,0.479354,0.608595,0.482047,0.606272,1
366621644,0.489228,0.606272,0.482047,0.606272,1
366621677,0.487433,0.626016,0.482944,0.607433,1
366621710,0.490126,0.598142,0.483842,0.607433,1
366621746,0.487433,0.612079,0.483842,0.607433,1
366621777,0.492819,0.612079,0.48474,0.608595,1
366621811,0.492819,0.612079,0.485637,0.608595,1
366621843,0.48474,0.61324,0.485637,0.608595,1
366621878,0.497307,0.603949,0.486535,0.608595,1
366621911,0.486535,0.600465,0.486535,0.608595,1
