tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366698215,0.406643,0.707317,0.403052,0.700348,1
366698248,0.395871,0.720093,0.402154,0.70151,1
366698282,0.401257,0.713124,0.402154,0.70151,1
366698315,0.405745,0.743322,0.402154,0.703833,1
366698348,0.414722,0.708479,0.403052,0.704994,1
366698382,0.396768,0.698026,0.403052,0.704994,1
366698415,0.412926,0.70964,0.403052,0.704994,1
366698448,0.40395,0.711963,0.403052,0.704994,1
366698482,0.409336,0.703833,0.40395,0.704994,1
366698515,0.412029,0.695703,0.40395,0.704994,1
366698548,0.412926,0.707317,0.404847,0.704994,1
366698582,0.413824,0.708479,0.405745,0.706156,1
366698616,0.48474,0.645761,0.410233,0.702671,1
366698648,0.487433,0.671312,0.415619,0.700348,1
366698681,0.483842,0.637631,0.420108,0.696864,1
366698715,0.481149,0.631823,0.424596,0.692218,1
366698748,0.476661,0.646922,0.429084,0.688734,1
366698781,0.485637,0.635308,0.433573,0.684088,1
366698815,0.480251,0.643438,0.438061,0.680604,1
366698848,0.490126,0.641115,0.442549,0.67712,1
366698881,0.490126,0.663182,0.44614,0.675958,1
366698914,0.477558,0.659698,0.449731,0.673635,1
366698948,0.487433,0.656214,0.454219,0.671312,1
366698981,0.48833,0.658537,0.45781,0.670151,1
366699014,0.477558,0.636469,0.460503,0.666667,1
366699048,0.48474,0.630662,0.463196,0.663182,1
366699081,0.48474,0.615563,0.466786,0.659698,1
366699114,0.481149,0.636469,0.468582,0.656214,1
366699148,0.483842,0.650406,0.471275,0.653891,1
366699181,0.492819,0.631823,0.473968,0.651568,1
366699214,0.481149,0.646922,0.475763,0.650406,1
366699247,0.481149,0.627178,0.477558,0.648084,1
366699281,0.478456,0.615563,0.478456,0.644599,1
366699314,0.482047,0.651568,0.480251,0.643438,1
