tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366822783,0.447935,0.635308,0.439856,0.631823,1
366822816,0.433573,0.619048,0.439856,0.630662,1
366822849,0.436266,0.628339,0.439856,0.631823,1
366822882,0.441652,0.641115,0.439856,0.631823,1
366822916,0.435368,0.614402,0.439856,0.630662,1
366822949,0.437163,0.622532,0.439856,0.630662,1
366822982,0.448833,0.639954,0.439856,0.631823,1
366823016,0.44614,0.631823,0.440754,0.631823,1
366823049,0.438061,0.628339,0.440754,0.631823,1
366823082,0.443447,0.642276,0.440754,0.631823,1
366823115,0.444345,0.630662,0.440754,0.631823,1
366823149,0.445242,0.626016,0.440754,0.630662,1
366823182,0.415619,0.722416,0.439856,0.636469,1
366823215,0.400359,0.708479,0.437163,0.641115,1
366823249,0.411131,0.708479,0.435368,0.645761,1
366823282,0.40395,0.698026,0.433573,0.650406,1
366823315,0.410233,0.698026,0.431777,0.653891,1
366823349,0.410233,0.70964,0.429982,0.658537,1
366823382,0.405745,0.698026,0.428187,0.662021,1
366823415,0.400359,0.686411,0.425494,0.664344,1
366823448,0.405745,0.682927,0.423698,0.666667,1
366823482,0.401257,0.671312,0.421903,0.667828,1
366823516,0.40754,0.70151,0.420108,0.671312,1
366823549,0.414722,0.704994,0.41921,0.674797,1
366823582,0.404847,0.710801,0.417415,0.678281,1
366823615,0.397666,0.440186,0.397666,0.440186,0
366823648,0.398564,0.358885,0.398564,0.358885,0
366823682,0.402154,0.361208,0.400359,0.360046,0
366823715,0.399461,0.369338,0.400359,0.363531,0
366823748,0.401257,0.369338,0.400359,0.364692,0
366823782,0.402154,0.373984,0.400359,0.367015,0
366823815,0.368941,0.327526,0.394973,0.360046,1
366823848,0.368941,0.307782,0.391382,0.353078,1
366823882,0.370736,0.317073,0.388689,0.347271,1
366823915,0.366248,0.315912,0.385996,0.343786,1
366823948,0.366248,0.32288,0.383303,0.341463,1
366823981,0.368941,0.32288,0.381508,0.339141,1
366824015,0.362657,0.31475,0.379713,0.336818,1
366824048,0.354578,0.319396,0.37702,0.334495,1
366824081,0.364452,0.315912,0.376122,0.333333,1
366824115,0.369838,0.326365,0.375224,0.332172,1
366824148,0.36535,0.320558,0.374327,0.33101,1
366824182,0.360862,0.310105,0.373429,0.328688,1
366824214,0.366248,0.32288,0.372531,0.328688,1
366824249,0.507181,0.361208,0.507181,0.361208,0
366824281,0.643627,0.452962,0.643627,0.452962,0
366824315,0.657989,0.447154,0.650808,0.449477,0
366824348,0.66158,0.455285,0.654399,0.4518,0
366824383,0.663375,0.461092,0.657092,0.454123,0
366824414,0.653501,0.450639,0.656194,0.452962,0
366824448,0.67325,0.447154,0.67325,0.447154,0
366824481,0.654399,0.434379,0.654399,0.434379,0
366824514,0.669659,0.433217,0.66158,0.434379,0
366824548,0.666068,0.434379,0.663375,0.434379,0
366824581,0.666966,0.433217,0.664273,0.434379,0
366824614,0.665171,0.413473,0.664273,0.429733,0
366824648,0.667864,0.433217,0.665171,0.430894,1
366824681,0.674147,0.434379,0.666068,0.430894,1
366824714,0.668761,0.415796,0.666966,0.428571,1
366824747,0.666966,0.426249,0.666966,0.428571,1
366824782,0.681329,0.415796,0.668761,0.42741,1
366824815,0.668761,0.422764,0.668761,0.426249,1
366824848,0.659785,0.412311,0.667864,0.425087,1
366824882,0.601436,0.444832,0.662478,0.42741,1
366824915,0.38061,0.602787,0.38061,0.602787,0
366824948,0.38061,0.617886,0.38061,0.617886,0
366824982,0.370736,0.617886,0.376122,0.617886,0
366825015,0.377917,0.593496,0.376122,0.609756,0
366825048,0.372531,0.591173,0.375224,0.60511,0
366825082,0.372531,0.610918,0.375224,0.606272,0
366825115,0.386894,0.612079,0.37702,0.607433,1
366825148,0.389587,0.609756,0.378815,0.607433,1
366825183,0.364452,0.614402,0.37702,0.608595,1
366825215,0.396768,0.585366,0.379713,0.606272,1
366825248,0.398564,0.569106,0.381508,0.601626,1
366825281,0.394973,0.585366,0.382406,0.600465,1
366825315,0.406643,0.560976,0.385099,0.595819,1
366825348,0.399461,0.585366,0.386894,0.594657,1
366825381,0.388689,0.567944,0.386894,0.592335,1
366825414,0.387792,0.59698,0.386894,0.592335,1
366825448,0.405745,0.565621,0.388689,0.590012,1
366825481,0.400359,0.573751,0.389587,0.58885,1
366825514,0.397666,0.576074,0.390485,0.587689,1
366825548,0.404847,0.573751,0.391382,0.586527,1
366825581,0.396768,0.567944,0.39228,0.585366,1
366825614,0.400359,0.577236,0.393178,0.584204,1
366825648,0.40395,0.566783,0.394075,0.583043,1
366825681,0.394973,0.557491,0.394075,0.58072,1
