tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363913465,0.903052,0.387921,0.902154,0.392567,1
363913499,0.906643,0.384437,0.902154,0.392567,1
363913532,0.902154,0.385598,0.902154,0.391405,1
363913565,0.908438,0.385598,0.903052,0.391405,1
363913599,0.90754,0.38676,0.903052,0.390244,1
363913632,0.896768,0.379791,0.903052,0.390244,1
363913665,0.710054,0.390244,0.710054,0.390244,0
363913699,0.707361,0.39489,0.707361,0.39489,0
363913732,0.705566,0.400697,0.706463,0.397213,0
363913765,0.71903,0.400697,0.710952,0.398374,0
363913799,0.710054,0.399535,0.710952,0.398374,0
363913832,0.710952,0.40302,0.710952,0.399535,0
363913866,0.713645,0.39489,0.710952,0.398374,1
363913898,0.623878,0.401858,0.698384,0.399535,1
363913932,0.622083,0.413473,0.68851,0.400697,1
363913965,0.632855,0.412311,0.681329,0.40302,1
363913999,0.622083,0.404181,0.675045,0.40302,1
363914032,0.615799,0.41115,0.668761,0.404181,1
363914065,0.631059,0.408827,0.664273,0.404181,1
363914098,0.621185,0.404181,0.659785,0.404181,1
363914132,0.62298,0.41115,0.656194,0.405343,1
363914165,0.61939,0.414634,0.652603,0.405343,1
363914198,0.621185,0.420441,0.64991,0.406504,1
363914231,0.632855,0.42741,0.648115,0.408827,1
363914265,0.626571,0.412311,0.645422,0.408827,1
363914298,0.628366,0.416957,0.643627,0.409988,1
363914331,0.624776,0.414634,0.641831,0.409988,1
363914365,0.497307,0.412311,0.497307,0.412311,0
363914398,0.490126,0.413473,0.490126,0.413473,0
363914432,0.48833,0.416957,0.489228,0.414634,0
363914465,0.494614,0.416957,0.491023,0.415796,0
363914498,0.498205,0.407665,0.492819,0.413473,0
363914531,0.487433,0.418118,0.491921,0.414634,0
363914565,0.470377,0.416957,0.48833,0.414634,1
363914598,0.460503,0.420441,0.483842,0.415796,1
363914631,0.451526,0.420441,0.479354,0.416957,1
363914665,0.448833,0.41115,0.475763,0.415796,1
363914698,0.4614,0.421603,0.473968,0.415796,1
363914731,0.455117,0.41928,0.472172,0.416957,1
363914765,0.466786,0.422764,0.471275,0.416957,1
363914798,0.458707,0.415796,0.470377,0.416957,1
363914831,0.447038,0.421603,0.467684,0.418118,1
363914864,0.452424,0.41115,0.466786,0.416957,1
363914898,0.454219,0.420441,0.464991,0.416957,1
363914931,0.452424,0.406504,0.464093,0.416957,1
363914964,0.456912,0.413473,0.463196,0.416957,1
363914998,0.453321,0.413473,0.462298,0.415796,1
363915031,0.451526,0.418118,0.4614,0.415796,1
363915064,0.449731,0.416957,0.460503,0.415796,1
363915097,0.448833,0.418118,0.459605,0.416957,1
363915131,0.444345,0.421603,0.45781,0.416957,1
363915164,0.44614,0.426249,0.456912,0.416957,1
