tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
363876765,0.220826,0.493612,0.219031,0.493612,1
363876795,0.208259,0.491289,0.218133,0.493612,1
363876828,0.127469,0.480836,0.210952,0.492451,1
363876861,0.12298,0.477352,0.204668,0.491289,1
363876895,0.123878,0.472706,0.198384,0.490128,1
363876928,0.128366,0.488966,0.192998,0.490128,1
363876961,0.13465,0.475029,0.18851,0.488966,1
363876995,0.126571,0.483159,0.184022,0.487805,1
363877028,0.130162,0.486643,0.179533,0.487805,1
363877061,0.128366,0.479675,0.175045,0.487805,1
363877095,0.317774,0.43554,0.317774,0.43554,0
363877128,0.505386,0.393728,0.505386,0.393728,0
363877161,0.510772,0.398374,0.508079,0.396051,0
363877195,0.514363,0.405343,0.510772,0.399535,0
363877228,0.517953,0.412311,0.512567,0.40302,0
363877264,0.513465,0.416957,0.512567,0.405343,0
363877294,0.517056,0.406504,0.517056,0.406504,0
363877328,0.517953,0.400697,0.517953,0.400697,0
363877361,0.505386,0.404181,0.51167,0.40302,0
363877394,0.52693,0.391405,0.517056,0.398374,0
363877428,0.531418,0.397213,0.520646,0.398374,0
363877461,0.535009,0.405343,0.523339,0.399535,0
363877494,0.532316,0.390244,0.525135,0.398374,1
363877528,0.544883,0.393728,0.527828,0.397213,1
363877561,0.530521,0.390244,0.528725,0.396051,1
363877594,0.263016,0.463415,0.263016,0.463415,0
363877627,0.198384,0.511034,0.198384,0.511034,0
363877661,0.210054,0.506388,0.20377,0.508711,0
363877694,0.201975,0.500581,0.20377,0.506388,0
363877727,0.201975,0.494774,0.202873,0.502904,0
363877761,0.194794,0.509872,0.201077,0.504065,0
363877794,0.197487,0.504065,0.201077,0.504065,1
363877827,0.197487,0.498258,0.20018,0.502904,1
363877860,0.20018,0.501742,0.20018,0.502904,1
363877894,0.201975,0.511034,0.20018,0.504065,1
363877927,0.204668,0.516841,0.201077,0.505226,1
363877961,0.209156,0.497096,0.201975,0.504065,1
363877994,0.210952,0.495935,0.202873,0.504065,1
363878027,0.21544,0.506388,0.20377,0.504065,1
363878061,0.209156,0.502904,0.20377,0.504065,1
363878094,0.210054,0.494774,0.204668,0.502904,1
