tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
365232316,0.596948,0.146341,0.598743,0.148664,1
365232350,0.603232,0.155633,0.598743,0.149826,1
365232384,0.594255,0.147503,0.598743,0.149826,1
365232415,0.597846,0.150987,0.598743,0.149826,1
365232449,0.603232,0.142857,0.598743,0.149826,1
365232482,0.598743,0.14518,0.598743,0.148664,1
365232515,0.603232,0.146341,0.599641,0.148664,1
365232548,0.60772,0.149826,0.599641,0.149826,1
365232582,0.604129,0.149826,0.600539,0.149826,1
365232615,0.611311,0.146341,0.601436,0.149826,1
365232648,0.594255,0.148664,0.600539,0.149826,1
365232682,0.719928,0.256678,0.719928,0.256678,0
365232715,0.760323,0.339141,0.760323,0.339141,0
365232748,0.755835,0.337979,0.75763,0.339141,0
365232782,0.764812,0.332172,0.760323,0.336818,0
365232815,0.763016,0.320558,0.760323,0.332172,0
365232848,0.75763,0.321719,0.760323,0.329849,0
365232882,0.749551,0.324042,0.758528,0.329849,1
365232915,0.764812,0.320558,0.759426,0.327526,1
365232948,0.752244,0.335656,0.758528,0.328688,1
365232981,0.755835,0.337979,0.75763,0.329849,1
365233015,0.754937,0.342625,0.75763,0.33101,1
365233048,0.75763,0.329849,0.75763,0.33101,1
365233081,0.754937,0.317073,0.75763,0.329849,1
365233115,0.758528,0.346109,0.75763,0.33101,1
365233148,0.763016,0.349593,0.75763,0.333333,1
365233183,0.762119,0.334495,0.758528,0.333333,1
365233215,0.75404,0.339141,0.75763,0.333333,1
365233248,0.760323,0.329849,0.758528,0.333333,1
365233281,0.662478,0.455285,0.662478,0.455285,0
365233314,0.534111,0.819977,0.534111,0.819977,0
365233348,0.54219,0.847851,0.537702,0.833914,0
365233381,0.535009,0.857143,0.536804,0.840883,0
365233415,0.543088,0.829268,0.5386,0.83856,0
365233448,0.541293,0.847851,0.539497,0.839721,0
365233481,0.539497,0.840883,0.539497,0.840883,0
365233515,0.546679,0.832753,0.546679,0.832753,0
365233548,0.537702,0.823461,0.54219,0.828107,0
365233581,0.374327,0.861789,0.485637,0.839721,0
365233615,0.360862,0.844367,0.454219,0.840883,0
365233648,0.374327,0.896632,0.437163,0.852497,0
365233681,0.371634,0.872242,0.371634,0.872242,0
365233714,0.374327,0.845528,0.374327,0.845528,0
365233747,0.351885,0.865273,0.362657,0.855981,0
365233782,0.374327,0.842044,0.367145,0.851336,0
365233815,0.232496,0.686411,0.333034,0.809524,0
365233848,0.219031,0.706156,0.309695,0.788618,0
365233882,0.220826,0.663182,0.220826,0.663182,0
365233915,0.217235,0.651568,0.217235,0.651568,0
365233949,0.221724,0.665505,0.219031,0.658537,0
365233983,0.220826,0.673635,0.219928,0.663182,0
365234015,0.219928,0.666667,0.219928,0.664344,0
365234048,0.221724,0.678281,0.219928,0.666667,0
365234081,0.202873,0.61324,0.217235,0.658537,1
365234115,0.190305,0.480836,0.190305,0.480836,0
365234148,0.195691,0.494774,0.195691,0.494774,0
365234181,0.190305,0.490128,0.192998,0.492451,0
365234215,0.195691,0.488966,0.193896,0.491289,0
365234248,0.199282,0.499419,0.195691,0.493612,0
365234281,0.204668,0.492451,0.197487,0.493612,0
365234315,0.202873,0.481998,0.198384,0.491289,1
365234348,0.197487,0.485482,0.198384,0.490128,1
365234381,0.183124,0.495935,0.196589,0.491289,1
365234415,0.186715,0.481998,0.194794,0.490128,1
365234448,0.181329,0.488966,0.193896,0.490128,1
365234481,0.184919,0.505226,0.192998,0.491289,1
365234514,0.184022,0.490128,0.192101,0.491289,1
365234548,0.177738,0.481998,0.190305,0.490128,1
365234581,0.186715,0.490128,0.190305,0.490128,1
365234614,0.186715,0.495935,0.189408,0.491289,1
365234648,0.185817,0.498258,0.189408,0.491289,1
365234681,0.179533,0.501742,0.18851,0.492451,1
365234715,0.175045,0.491289,0.187612,0.492451,1
365234748,0.249551,0.268293,0.249551,0.268293,0
365234781,0.251346,0.255517,0.251346,0.255517,0
365234816,0.261221,0.262485,0.256732,0.259001,0
365234848,0.258528,0.264808,0.256732,0.261324,0
365234881,0.248654,0.25784,0.254937,0.260163,0
365234914,0.248654,0.263647,0.254039,0.261324,0
365234947,0.253142,0.253194,0.254039,0.260163,1
365234981,0.262118,0.260163,0.254937,0.260163,1
365235014,0.261221,0.261324,0.255835,0.260163,1
365235047,0.255835,0.272938,0.255835,0.261324,1
365235081,0.25763,0.269454,0.255835,0.262485,1
365235114,0.255835,0.262485,0.255835,0.262485,1
365235147,0.256732,0.270616,0.255835,0.263647,1
365235181,0.247756,0.262485,0.254937,0.263647,1
365235214,0.356373,0.220674,0.356373,0.220674,0
365235247,0.480251,0.1777,0.480251,0.1777,0
365235280,0.486535,0.171893,0.483842,0.175377,0
365235314,0.474865,0.174216,0.481149,0.175377,0
365235347,0.486535,0.168409,0.482047,0.173055,0
365235381,0.475763,0.170732,0.481149,0.173055,0
365235414,0.474865,0.168409,0.474865,0.168409,0
365235447,0.51167,0.156794,0.51167,0.156794,0
365235480,0.613106,0.174216,0.562837,0.166086,0
365235514,0.622083,0.163763,0.582585,0.164925,0
365235547,0.618492,0.1777,0.591562,0.168409,0
365235581,0.608618,0.174216,0.595153,0.16957,0
365235614,0.710054,0.268293,0.710054,0.268293,0
365235647,0.737881,0.2741,0.737881,0.2741,0
365235680,0.731598,0.291521,0.734291,0.283391,0
365235713,0.743267,0.28223,0.737881,0.28223,0
365235747,0.729802,0.281069,0.735188,0.28223,0
365235780,0.727109,0.284553,0.733393,0.28223,0
365235813,0.734291,0.288037,0.733393,0.283391,1
365235847,0.771095,0.343786,0.739677,0.292683,1
365235880,0.7693,0.353078,0.743267,0.300813,1
365235913,0.771993,0.355401,0.746858,0.307782,1
