tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
365419933,0.744165,0.226481,0.740574,0.231127,1
365419966,0.745063,0.231127,0.741472,0.231127,1
365420000,0.741472,0.228804,0.741472,0.231127,1
365420033,0.738779,0.236934,0.741472,0.231127,1
365420066,0.743267,0.233449,0.741472,0.231127,1
365420100,0.737881,0.238095,0.740574,0.231127,1
365420135,0.735188,0.235772,0.740574,0.232288,1
365420167,0.735188,0.238095,0.739677,0.232288,1
365420200,0.733393,0.232288,0.739677,0.232288,1
365420233,0.698384,0.228804,0.736984,0.232288,1
365420266,0.359964,0.225319,0.359964,0.225319,0
365420299,0.315978,0.226481,0.315978,0.226481,0
365420333,0.307899,0.227642,0.31149,0.227642,0
365420368,0.312388,0.222997,0.312388,0.225319,0
365420400,0.312388,0.229965,0.312388,0.226481,0
365420432,0.307002,0.224158,0.31149,0.226481,0
365420466,0.233393,0.2741,0.298025,0.234611,1
365420499,0.234291,0.293844,0.288151,0.242741,1
365420532,0.229803,0.284553,0.280072,0.248548,1
365420566,0.235189,0.292683,0.274686,0.254355,1
365420599,0.233393,0.301974,0.270197,0.260163,1
365420633,0.232496,0.295006,0.265709,0.263647,1
365420666,0.228007,0.300813,0.262118,0.267131,1
365420699,0.233393,0.289199,0.233393,0.289199,0
365420732,0.211849,0.317073,0.211849,0.317073,0
365420765,0.208259,0.311266,0.210054,0.31475,0
365420799,0.217235,0.324042,0.212747,0.318235,0
365420832,0.212747,0.311266,0.212747,0.315912,0
365420866,0.218133,0.324042,0.213645,0.318235,0
365420900,0.223519,0.320558,0.21544,0.318235,1
365420933,0.207361,0.326365,0.214542,0.319396,1
365420966,0.18851,0.407665,0.210952,0.33101,1
365420999,0.192998,0.413473,0.209156,0.341463,1
365421032,0.189408,0.416957,0.206463,0.349593,1
365421066,0.191203,0.412311,0.204668,0.356562,1
365421099,0.18851,0.401858,0.202873,0.361208,1
365421133,0.185817,0.399535,0.201975,0.364692,1
365421165,0.184022,0.415796,0.20018,0.369338,1
365421199,0.185817,0.415796,0.198384,0.373984,1
365421232,0.191203,0.41115,0.197487,0.377468,1
365421265,0.189408,0.413473,0.196589,0.380952,1
365421298,0.190305,0.405343,0.196589,0.383275,1
365421333,0.192998,0.413473,0.195691,0.38676,1
365421366,0.197487,0.41115,0.195691,0.389082,1
365421398,0.18851,0.413473,0.194794,0.391405,1
365421432,0.192101,0.409988,0.194794,0.392567,1
365421465,0.191203,0.412311,0.193896,0.39489,1
365421498,0.191203,0.418118,0.193896,0.397213,1
365421532,0.190305,0.413473,0.193896,0.398374,1
365421566,0.18851,0.583043,0.18851,0.583043,0
365421599,0.181329,0.581882,0.181329,0.581882,0
365421632,0.191203,0.58885,0.186715,0.585366,0
365421665,0.189408,0.576074,0.187612,0.581882,0
365421699,0.190305,0.600465,0.18851,0.586527,0
365421732,0.196589,0.579559,0.190305,0.585366,0
365421765,0.185817,0.58885,0.189408,0.585366,1
365421799,0.189408,0.578397,0.189408,0.585366,1
365421833,0.218133,0.639954,0.192998,0.592335,1
365421865,0.209156,0.671312,0.194794,0.601626,1
365421899,0.212747,0.673635,0.196589,0.609756,1
365421934,0.225314,0.687573,0.20018,0.617886,1
365421965,0.207361,0.673635,0.201077,0.623693,1
365421998,0.212747,0.660859,0.201975,0.627178,1
365422032,0.204668,0.655052,0.202873,0.629501,1
365422065,0.210054,0.681765,0.202873,0.635308,1
365422098,0.213645,0.670151,0.20377,0.637631,1
365422131,0.219928,0.658537,0.205566,0.639954,1
365422166,0.214542,0.666667,0.206463,0.643438,1
365422198,0.206463,0.655052,0.206463,0.644599,1
365422231,0.202873,0.660859,0.206463,0.645761,1
365422265,0.212747,0.657375,0.207361,0.648084,1
365422299,0.212747,0.680604,0.207361,0.650406,1
365422331,0.213645,0.675958,0.208259,0.652729,1
365422365,0.213645,0.679443,0.209156,0.655052,1
365422397,0.204668,0.663182,0.208259,0.656214,1
365422431,0.320467,0.61324,0.320467,0.61324,0
365422465,0.713645,0.507549,0.713645,0.507549,0
365422498,0.78456,0.481998,0.749551,0.494774,0
365422532,0.786355,0.485482,0.762119,0.491289,0
365422565,0.794434,0.473868,0.770198,0.487805,0
365422599,0.78097,0.483159,0.771993,0.486643,0
365422634,0.793537,0.478513,0.793537,0.478513,0
365422665,0.792639,0.480836,0.792639,0.480836,0
