tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
365354385,0.78097,0.718931,0.774686,0.707317,1
365354419,0.775584,0.699187,0.774686,0.706156,1
365354452,0.777379,0.69338,0.774686,0.706156,1
365354486,0.770198,0.698026,0.774686,0.706156,1
365354519,0.78097,0.71777,0.775584,0.707317,1
365354552,0.786355,0.702671,0.776481,0.707317,1
365354585,0.777379,0.696864,0.776481,0.707317,1
365354619,0.778277,0.718931,0.776481,0.707317,1
365354652,0.782765,0.715447,0.777379,0.708479,1
365354685,0.763914,0.699187,0.776481,0.707317,1
365354719,0.702873,0.670151,0.771993,0.704994,1
365354752,0.321364,0.630662,0.321364,0.630662,0
365354785,0.228007,0.626016,0.228007,0.626016,0
365354820,0.244165,0.637631,0.236086,0.631823,0
365354852,0.22711,0.631823,0.233393,0.631823,0
365354885,0.229803,0.619048,0.232496,0.628339,0
365354918,0.232496,0.632985,0.232496,0.629501,0
365354952,0.232496,0.608595,0.232496,0.626016,1
365354985,0.20018,0.577236,0.228007,0.619048,1
365355019,0.194794,0.602787,0.223519,0.616725,1
365355051,0.193896,0.58072,0.193896,0.58072,0
365355084,0.20377,0.481998,0.20377,0.481998,0
365355119,0.20377,0.501742,0.20377,0.492451,0
365355151,0.198384,0.488966,0.201975,0.491289,0
365355185,0.194794,0.509872,0.20018,0.495935,0
365355218,0.206463,0.495935,0.201077,0.495935,0
365355252,0.194794,0.498258,0.20018,0.495935,1
365355284,0.183124,0.506388,0.197487,0.498258,1
365355318,0.187612,0.505226,0.196589,0.498258,1
365355351,0.192101,0.511034,0.195691,0.500581,1
365355385,0.194794,0.488966,0.195691,0.499419,1
365355418,0.18851,0.497096,0.194794,0.499419,1
365355451,0.185817,0.495935,0.193896,0.499419,1
365355484,0.192998,0.502904,0.193896,0.499419,1
365355518,0.191203,0.495935,0.193896,0.499419,1
