tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
365256696,0.194794,0.585366,0.192998,0.598142,1
365256730,0.190305,0.583043,0.192998,0.59698,1
365256763,0.20018,0.585366,0.193896,0.595819,1
365256796,0.194794,0.592335,0.193896,0.594657,1
365256831,0.192101,0.600465,0.193896,0.594657,1
365256863,0.201077,0.590012,0.193896,0.593496,1
365256897,0.194794,0.592335,0.194794,0.593496,1
365256930,0.201975,0.584204,0.194794,0.592335,1
365256963,0.51526,0.470383,0.51526,0.470383,0
365256996,0.714542,0.397213,0.714542,0.397213,0
365257030,0.724416,0.404181,0.71903,0.400697,0
365257063,0.707361,0.401858,0.71544,0.401858,0
365257096,0.714542,0.409988,0.714542,0.40302,0
365257129,0.710952,0.406504,0.714542,0.404181,0
365257163,0.74596,0.354239,0.74596,0.354239,0
365257196,0.74596,0.354239,0.74596,0.354239,0
365257229,0.751347,0.357724,0.748653,0.355401,0
365257263,0.752244,0.357724,0.749551,0.356562,0
365257296,0.752244,0.354239,0.750449,0.356562,0
365257329,0.761221,0.491289,0.753142,0.383275,0
365257363,0.772891,0.600465,0.772891,0.600465,0
365257396,0.75763,0.593496,0.75763,0.593496,0
365257430,0.773788,0.58072,0.765709,0.586527,0
365257463,0.766607,0.601626,0.765709,0.592335,0
365257496,0.763914,0.587689,0.765709,0.591173,0
365257529,0.773788,0.616725,0.767505,0.595819,0
365257562,0.774686,0.617886,0.768402,0.599303,1
365257596,0.7693,0.610918,0.768402,0.601626,1
365257629,0.778277,0.699187,0.770198,0.614402,1
365257663,0.775584,0.71777,0.771095,0.627178,1
365257696,0.775584,0.704994,0.771095,0.635308,1
365257729,0.78097,0.715447,0.771993,0.644599,1
365257763,0.777379,0.713124,0.772891,0.651568,1
365257796,0.78456,0.720093,0.773788,0.657375,1
365257829,0.771095,0.7259,0.773788,0.664344,1
365257862,0.774686,0.731707,0.773788,0.670151,1
365257895,0.774686,0.711963,0.773788,0.674797,1
365257929,0.775584,0.7259,0.774686,0.679443,1
365257962,0.788151,0.699187,0.775584,0.681765,1
365257995,0.783662,0.715447,0.775584,0.68525,1
365258029,0.78097,0.704994,0.776481,0.687573,1
365258062,0.779174,0.723577,0.776481,0.691057,1
365258095,0.7693,0.70964,0.776481,0.69338,1
365258129,0.775584,0.715447,0.776481,0.695703,1
365258162,0.775584,0.724739,0.776481,0.698026,1
365258195,0.778277,0.720093,0.776481,0.700348,1
365258230,0.770198,0.688734,0.776481,0.70151,1
365258262,0.738779,0.347271,0.738779,0.347271,0
365258295,0.734291,0.236934,0.734291,0.236934,0
365258328,0.736984,0.243902,0.735188,0.240418,0
365258362,0.735188,0.239257,0.735188,0.240418,0
365258395,0.724416,0.231127,0.732495,0.238095,0
365258428,0.732495,0.242741,0.732495,0.239257,0
365258465,0.734291,0.234611,0.732495,0.238095,1
365258496,0.732495,0.240418,0.732495,0.238095,1
365258528,0.734291,0.248548,0.732495,0.239257,1
365258562,0.735188,0.252033,0.733393,0.24158,1
365258601,0.721723,0.240418,0.731598,0.24158,1
365258628,0.734291,0.242741,0.732495,0.24158,1
365258662,0.723519,0.243902,0.731598,0.24158,1
365258695,0.729802,0.252033,0.731598,0.242741,1
365258728,0.719928,0.240418,0.729802,0.242741,1
365258761,0.733393,0.227642,0.7307,0.24158,1
365258795,0.736086,0.254355,0.7307,0.242741,1
365258828,0.770198,0.333333,0.733393,0.248548,1
365258861,0.764812,0.329849,0.736086,0.254355,1
365258894,0.772891,0.319396,0.738779,0.260163,1
365258928,0.772891,0.321719,0.740574,0.264808,1
365258961,0.780072,0.315912,0.744165,0.268293,1
365258994,0.771095,0.315912,0.74596,0.271777,1
365259028,0.764812,0.31475,0.747756,0.275261,1
365259061,0.772891,0.312427,0.749551,0.278746,1
365259094,0.7693,0.321719,0.751347,0.28223,1
365259128,0.772891,0.317073,0.753142,0.285714,1
365259161,0.778277,0.32288,0.755835,0.289199,1
365259194,0.772891,0.332172,0.75763,0.293844,1
365259228,0.777379,0.320558,0.759426,0.297329,1
365259261,0.776481,0.315912,0.761221,0.299652,1
