tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
365295832,0.263914,0.25784,0.268402,0.250871,1
365295865,0.255835,0.264808,0.267504,0.252033,1
365295898,0.261221,0.260163,0.266607,0.253194,1
365295932,0.259425,0.259001,0.265709,0.254355,1
365295965,0.254937,0.262485,0.264811,0.254355,1
365295998,0.251346,0.259001,0.263016,0.255517,1
365296032,0.251346,0.261324,0.262118,0.255517,1
365296066,0.262118,0.269454,0.261221,0.25784,1
365296099,0.254937,0.25784,0.260323,0.259001,1
365296132,0.265709,0.260163,0.259425,0.259001,1
365296165,0.263914,0.268293,0.259425,0.260163,1
365296198,0.256732,0.262485,0.259425,0.260163,1
365296231,0.262118,0.26597,0.259425,0.261324,1
365296265,0.222621,0.399535,0.222621,0.399535,0
365296298,0.243268,0.634146,0.243268,0.634146,0
365296331,0.231598,0.636469,0.236984,0.635308,0
365296365,0.243268,0.636469,0.238779,0.635308,0
365296398,0.241472,0.642276,0.239677,0.637631,0
365296431,0.275583,0.643438,0.246858,0.638792,0
365296465,0.549372,0.876887,0.549372,0.876887,0
365296498,0.589767,0.940767,0.589767,0.940767,0
365296532,0.584381,0.934959,0.587074,0.937282,0
365296565,0.578995,0.909408,0.584381,0.927991,0
365296598,0.586176,0.914053,0.585278,0.924506,0
365296631,0.584381,0.900116,0.584381,0.919861,0
365296664,0.508079,0.952381,0.571813,0.924506,1
365296698,0.48833,0.951219,0.559246,0.929152,1
365296731,0.485637,0.934959,0.549372,0.929152,1
365296764,0.48833,0.943089,0.54219,0.931475,1
365296798,0.492819,0.932636,0.535907,0.931475,1
365296831,0.447038,0.908246,0.52693,0.929152,1
365296864,0.404847,0.89547,0.404847,0.89547,0
365296898,0.400359,0.875726,0.400359,0.875726,0
365296931,0.409336,0.911731,0.404847,0.894309,0
365296966,0.394973,0.911731,0.401257,0.900116,0
365296998,0.406643,0.883856,0.402154,0.89547,0
365297031,0.394075,0.87921,0.400359,0.891986,0
365297064,0.396768,0.914053,0.400359,0.896632,1
365297097,0.403052,0.878049,0.400359,0.893148,1
365297131,0.394075,0.861789,0.399461,0.889663,1
365297164,0.397666,0.885017,0.399461,0.888502,1
365297197,0.40395,0.873403,0.399461,0.88734,1
365297231,0.40754,0.883856,0.400359,0.88734,1
365297264,0.401257,0.878049,0.400359,0.886179,1
365297297,0.406643,0.881533,0.401257,0.885017,1
365297331,0.402154,0.912892,0.401257,0.88734,1
365297364,0.403052,0.909408,0.401257,0.889663,1
365297397,0.399461,0.878049,0.401257,0.888502,1
365297435,0.263016,0.702671,0.263016,0.702671,0
365297464,0.222621,0.600465,0.222621,0.600465,0
365297497,0.219928,0.602787,0.220826,0.601626,0
365297530,0.22711,0.61324,0.223519,0.60511,0
365297564,0.218133,0.601626,0.221724,0.603949,0
365297597,0.223519,0.595819,0.222621,0.602787,0
365297630,0.222621,0.642276,0.222621,0.609756,1
365297664,0.222621,0.652729,0.222621,0.615563,1
365297698,0.2307,0.660859,0.223519,0.62137,1
365297731,0.219031,0.670151,0.222621,0.627178,1
365297764,0.225314,0.652729,0.223519,0.630662,1
365297797,0.218133,0.649245,0.222621,0.632985,1
365297830,0.223519,0.658537,0.222621,0.635308,1
365297863,0.222621,0.652729,0.222621,0.637631,1
365297897,0.219928,0.570267,0.222621,0.631823,1
365297930,0.2307,0.672474,0.223519,0.635308,1
365297963,0.222621,0.648084,0.222621,0.636469,1
365297997,0.2307,0.653891,0.223519,0.638792,1
365298063,0.249551,0.481998,0.249551,0.481998,0
365298097,0.226212,0.667828,0.226212,0.667828,0
365298163,0.226212,0.66899,0.221724,0.642276,0
365298196,0.212747,0.497096,0.219031,0.606272,0
365298230,0.330341,0.466899,0.241472,0.577236,0
365298263,0.728007,0.498258,0.728007,0.498258,0
365298296,0.805206,0.479675,0.805206,0.479675,0
365298330,0.803411,0.478513,0.804309,0.479675,0
365298363,0.798923,0.490128,0.802513,0.483159,0
365298396,0.803411,0.486643,0.802513,0.484321,0
365298430,0.795332,0.494774,0.801616,0.486643,0
365298463,0.798923,0.498258,0.800718,0.487805,1
365298497,0.79623,0.497096,0.79982,0.490128,1
365298530,0.790844,0.648084,0.790844,0.648084,0
365298563,0.794434,0.649245,0.794434,0.649245,0
365298596,0.791741,0.653891,0.793537,0.651568,0
365298629,0.791741,0.656214,0.792639,0.652729,0
365298663,0.791741,0.652729,0.792639,0.652729,0
365298696,0.788151,0.648084,0.791741,0.651568,0
365298729,0.79982,0.666667,0.792639,0.655052,1
365298763,0.787253,0.70151,0.791741,0.662021,1
365298796,0.776481,0.698026,0.789946,0.666667,1
365298829,0.773788,0.711963,0.788151,0.671312,1
365298862,0.773788,0.70964,0.786355,0.675958,1
365298896,0.780072,0.711963,0.785458,0.680604,1
365298929,0.728007,0.753775,0.780072,0.687573,1
365298962,0.729802,0.764228,0.775584,0.694541,1
365298996,0.729802,0.801394,0.729802,0.801394,0
365299029,0.722621,0.790941,0.722621,0.790941,0
365299062,0.733393,0.759582,0.728007,0.775842,0
365299096,0.722621,0.795587,0.726212,0.782811,0
365299129,0.721723,0.796748,0.725314,0.786295,0
365299162,0.671454,0.813008,0.714542,0.792102,0
