tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366438556,0.291741,0.178862,0.283662,0.178862,1
366438588,0.277379,0.178862,0.282765,0.178862,1
366438621,0.280072,0.181185,0.282765,0.178862,1
366438655,0.291741,0.184669,0.283662,0.178862,1
366438688,0.291741,0.188153,0.283662,0.180023,1
366438722,0.287253,0.174216,0.28456,0.178862,1
366438755,0.288151,0.181185,0.28456,0.180023,1
366438789,0.286355,0.1777,0.28456,0.178862,1
366438822,0.280072,0.175377,0.28456,0.178862,1
366438855,0.318671,0.508711,0.318671,0.508711,0
366438888,0.324955,0.558653,0.324955,0.558653,0
366438921,0.329443,0.571429,0.32675,0.56446,0
366438954,0.337522,0.569106,0.331239,0.565621,0
366438988,0.340215,0.559814,0.333034,0.56446,0
366439022,0.32316,0.536585,0.331239,0.558653,0
366439054,0.320467,0.536585,0.329443,0.555168,1
366439088,0.322262,0.551684,0.328546,0.554007,1
366439121,0.318671,0.542393,0.32675,0.552846,1
366439154,0.32316,0.550523,0.32675,0.552846,1
366439188,0.321364,0.544715,0.325853,0.551684,1
366439221,0.314183,0.560976,0.324955,0.552846,1
366439255,0.329443,0.567944,0.324955,0.554007,1
366439287,0.319569,0.547038,0.324955,0.552846,1
366439321,0.317774,0.54007,0.324057,0.551684,1
366439354,0.51167,0.469222,0.51167,0.469222,0
366439387,0.664273,0.447154,0.664273,0.447154,0
366439421,0.694794,0.464576,0.679533,0.456446,0
366439455,0.681329,0.458769,0.680431,0.457607,0
366439488,0.685817,0.455285,0.681329,0.456446,0
366439521,0.669659,0.501742,0.679533,0.465738,0
366439554,0.648115,0.528455,0.648115,0.528455,0
366439588,0.649013,0.524971,0.649013,0.524971,0
366439621,0.652603,0.551684,0.650808,0.538908,0
366439654,0.654399,0.542393,0.651706,0.54007,0
366439689,0.650808,0.541231,0.651706,0.54007,0
366439720,0.668761,0.545877,0.655296,0.541231,0
366439754,0.654399,0.543554,0.655296,0.541231,1
366439787,0.657989,0.534262,0.655296,0.541231,1
366439820,0.664273,0.541231,0.657092,0.541231,1
366439854,0.660682,0.516841,0.657092,0.537747,1
366439887,0.713645,0.429733,0.663375,0.526132,1
366439920,0.713645,0.432056,0.668761,0.516841,1
366439954,0.724416,0.421603,0.674147,0.507549,1
366439987,0.70377,0.414634,0.67684,0.499419,1
366440020,0.713645,0.432056,0.680431,0.492451,1
366440054,0.716338,0.41115,0.683124,0.485482,1
366440087,0.710054,0.432056,0.685817,0.480836,1
366440120,0.710054,0.434379,0.68851,0.47619,1
366440154,0.706463,0.414634,0.690305,0.470383,1
366440188,0.704668,0.433217,0.691203,0.466899,1
366440221,0.721723,0.426249,0.693896,0.463415,1
366440254,0.710952,0.447154,0.695691,0.461092,1
366440290,0.71544,0.441347,0.697487,0.458769,1
366440322,0.71544,0.440186,0.699282,0.456446,1
366440355,0.743267,0.552846,0.702873,0.461092,1
366440388,0.756733,0.543554,0.706463,0.465738,1
366440423,0.756733,0.566783,0.710952,0.470383,1
366440455,0.745063,0.562137,0.714542,0.475029,1
366440488,0.739677,0.54007,0.717235,0.478513,1
366440522,0.736984,0.559814,0.719928,0.483159,1
366440554,0.735188,0.55633,0.722621,0.487805,1
366440587,0.738779,0.545877,0.724416,0.492451,1
366440621,0.750449,0.545877,0.728007,0.495935,1
366440654,0.749551,0.552846,0.729802,0.500581,1
366440687,0.751347,0.543554,0.732495,0.504065,1
366440721,0.736984,0.533101,0.733393,0.508711,1
366440754,0.744165,0.550523,0.735188,0.513357,1
366440788,0.748653,0.542393,0.736086,0.518002,1
366440821,0.748653,0.529617,0.737881,0.521487,1
366440854,0.4614,0.626016,0.4614,0.626016,0
366440887,0.288151,0.720093,0.288151,0.720093,0
366440921,0.288151,0.743322,0.288151,0.731707,0
366440954,0.305206,0.730546,0.293537,0.731707,0
366440987,0.290844,0.720093,0.293537,0.728223,0
366441021,0.278276,0.736353,0.289946,0.730546,0
366441054,0.29982,0.749129,0.29982,0.749129,0
366441087,0.303411,0.782811,0.303411,0.782811,0
366441121,0.291741,0.75029,0.297127,0.766551,0
366441154,0.286355,0.783972,0.293537,0.772358,0
366441187,0.279174,0.831591,0.289946,0.787456,0
366441221,0.279174,0.778165,0.287253,0.785134,0
366441254,0.290844,0.774681,0.288151,0.783972,1
366441287,0.325853,0.845528,0.293537,0.793264,1
366441320,0.337522,0.83043,0.29982,0.797909,1
366441353,0.336625,0.860627,0.304309,0.804878,1
366441387,0.329443,0.867596,0.307002,0.811847,1
366441420,0.325853,0.799071,0.308797,0.811847,1
366441453,0.332136,0.832753,0.31149,0.81417,1
366441487,0.347397,0.851336,0.315081,0.817654,1
366441521,0.33842,0.826945,0.316876,0.818815,1
366441553,0.339318,0.803717,0.318671,0.817654,1
366441587,0.331239,0.825784,0.320467,0.818815,1
366441620,0.331239,0.842044,0.321364,0.821138,1
366441653,0.332136,0.835075,0.322262,0.8223,1
