tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366476226,0.501795,0.159117,0.493716,0.168409,1
366476260,0.496409,0.162602,0.493716,0.167247,1
366476293,0.489228,0.16144,0.493716,0.167247,1
366476326,0.491023,0.167247,0.493716,0.167247,1
366476359,0.5,0.16957,0.493716,0.167247,1
366476396,0.496409,0.163763,0.493716,0.166086,1
366476428,0.496409,0.162602,0.493716,0.166086,1
366476459,0.490126,0.174216,0.493716,0.167247,1
366476492,0.491023,0.164925,0.493716,0.167247,1
366476526,0.490126,0.166086,0.493716,0.166086,1
366476559,0.482047,0.173055,0.492819,0.167247,1
366476592,0.491023,0.163763,0.492819,0.167247,1
366476625,0.491023,0.159117,0.492819,0.166086,1
366476659,0.491023,0.156794,0.492819,0.166086,1
366476692,0.490126,0.170732,0.492819,0.166086,1
366476725,0.489228,0.149826,0.491921,0.164925,1
366476759,0.494614,0.155633,0.492819,0.164925,1
366476793,0.491921,0.156794,0.492819,0.163763,1
366476825,0.599641,0.289199,0.599641,0.289199,0
366476859,0.713645,0.497096,0.713645,0.497096,0
366476892,0.706463,0.520325,0.710054,0.508711,0
366476925,0.701077,0.515679,0.707361,0.511034,0
366476958,0.706463,0.52381,0.707361,0.514518,0
366476992,0.710054,0.527294,0.707361,0.516841,0
366477025,0.713645,0.511034,0.713645,0.511034,0
366477059,0.701077,0.519164,0.701077,0.519164,0
366477092,0.711849,0.536585,0.706463,0.527294,0
366477125,0.754937,0.527294,0.722621,0.527294,0
366477158,0.740574,0.520325,0.727109,0.526132,0
366477191,0.755835,0.516841,0.733393,0.52381,0
366477225,0.74237,0.535424,0.735188,0.526132,1
366477258,0.745063,0.52381,0.736984,0.526132,1
366477292,0.749551,0.544715,0.738779,0.528455,1
366477325,0.763914,0.528455,0.741472,0.528455,1
366477358,0.75763,0.536585,0.743267,0.529617,1
366477391,0.755835,0.536585,0.745063,0.529617,1
366477425,0.745063,0.524971,0.745063,0.529617,1
366477458,0.754937,0.533101,0.74596,0.529617,1
366477493,0.736086,0.538908,0.745063,0.530778,1
366477525,0.752244,0.536585,0.74596,0.530778,1
366477558,0.749551,0.538908,0.746858,0.53194,1
366477591,0.747756,0.515679,0.746858,0.530778,1
366477625,0.751347,0.497096,0.746858,0.528455,1
