tstamp,raw_x,raw_y,smoothed_x,smoothed_y,fix
366484952,0.498205,0.159117,0.490126,0.146341,1
366484985,0.481149,0.135889,0.489228,0.14518,1
366485018,0.493716,0.147503,0.490126,0.14518,1
366485052,0.491023,0.138211,0.490126,0.14518,1
366485085,0.492819,0.124274,0.490126,0.144019,1
366485118,0.496409,0.142857,0.491023,0.142857,1
366485151,0.486535,0.150987,0.491023,0.144019,1
366485185,0.5,0.139373,0.491921,0.142857,1
366485218,0.500898,0.144019,0.492819,0.142857,1
366485251,0.480251,0.160279,0.491921,0.144019,1
366485285,0.469479,0.180023,0.490126,0.146341,1
366485318,0.466786,0.612079,0.466786,0.612079,0
366485352,0.491921,0.651568,0.491921,0.651568,0
366485385,0.483842,0.649245,0.487433,0.650406,0
366485422,0.489228,0.652729,0.48833,0.651568,0
366485455,0.470377,0.627178,0.483842,0.644599,0
366485484,0.479354,0.650406,0.482944,0.645761,0
366485518,0.474865,0.641115,0.481149,0.645761,1
366485551,0.41921,0.655052,0.472172,0.646922,1
366485584,0.315081,0.670151,0.315081,0.670151,0
366485618,0.307002,0.675958,0.307002,0.675958,0
366485651,0.317774,0.700348,0.312388,0.688734,0
366485684,0.320467,0.694541,0.315081,0.691057,0
366485718,0.312388,0.678281,0.314183,0.687573,0
366485751,0.318671,0.692218,0.315081,0.688734,0
366485784,0.32316,0.708479,0.316876,0.692218,1
366485818,0.318671,0.679443,0.316876,0.689895,1
366485851,0.327648,0.696864,0.318671,0.691057,1
366485884,0.432675,0.804878,0.432675,0.804878,0
366485917,0.433573,0.780488,0.433573,0.780488,0
366485951,0.43447,0.756098,0.433573,0.768873,0
366485984,0.449731,0.786295,0.438959,0.774681,0
366486017,0.440754,0.828107,0.439856,0.787456,0
366486051,0.429084,0.803717,0.437163,0.790941,0
366486084,0.444345,0.816492,0.438061,0.795587,1
366486117,0.452424,0.817654,0.440754,0.799071,1
366486151,0.447038,0.782811,0.441652,0.796748,1
366486184,0.464093,0.799071,0.444345,0.797909,1
366486218,0.454219,0.793264,0.445242,0.796748,1
366486251,0.452424,0.785134,0.44614,0.795587,1
366486284,0.44614,0.803717,0.44614,0.796748,1
366486317,0.456912,0.778165,0.447038,0.795587,1
366486350,0.449731,0.789779,0.447935,0.794425,1
366486384,0.4614,0.764228,0.448833,0.792102,1
366486417,0.447038,0.789779,0.448833,0.792102,1
366486450,0.451526,0.795587,0.448833,0.792102,1
366486484,0.44614,0.789779,0.448833,0.792102,1
366486517,0.437163,0.772358,0.447935,0.790941,1
366486550,0.314183,0.796748,0.314183,0.796748,0
366486584,0.289946,0.763066,0.289946,0.763066,0
366486617,0.301616,0.775842,0.29623,0.768873,0
366486650,0.29623,0.766551,0.29623,0.768873,0
366486683,0.303411,0.789779,0.298025,0.773519,0
366486717,0.295332,0.796748,0.297127,0.778165,0
366486750,0.302513,0.819977,0.298025,0.786295,1
366486783,0.240575,0.828107,0.289946,0.792102,1
366486817,0.252244,0.794425,0.28456,0.792102,1
366486850,0.244165,0.777003,0.280072,0.790941,1
366486883,0.252244,0.777003,0.276481,0.789779,1
366486916,0.244165,0.763066,0.27289,0.787456,1
366486950,0.235189,0.761905,0.2693,0.785134,1
366487017,0.237882,0.761905,0.264811,0.777003,1
366487054,0.252244,0.775842,0.263016,0.777003,1
366487083,0.259425,0.771196,0.262118,0.775842,1
366487117,0.247756,0.780488,0.261221,0.775842,1
366487150,0.244165,0.763066,0.259425,0.774681,1
366487183,0.253142,0.757259,0.258528,0.773519,1
366487216,0.234291,0.787456,0.256732,0.774681,1
366487250,0.252244,0.759582,0.255835,0.773519,1
366487283,0.268402,0.760743,0.256732,0.772358,1
366487316,0.256732,0.797909,0.255835,0.773519,1
366487349,0.244165,0.480836,0.244165,0.480836,0
366487383,0.240575,0.486643,0.240575,0.486643,0
366487416,0.231598,0.458769,0.236086,0.472706,0
366487450,0.258528,0.485482,0.243268,0.477352,0
366487483,0.245063,0.493612,0.244165,0.480836,0
366487518,0.251346,0.479675,0.245063,0.480836,0
366487549,0.254937,0.47619,0.246858,0.479675,1
366487583,0.24237,0.486643,0.246858,0.480836,1
366487616,0.248654,0.488966,0.246858,0.481998,1
366487649,0.238779,0.475029,0.245961,0.480836,1
366487682,0.512567,0.504065,0.512567,0.504065,0
366487716,0.640036,0.462253,0.640036,0.462253,0
366487749,0.64991,0.490128,0.644524,0.47619,0
366487783,0.650808,0.487805,0.647217,0.479675,0
366487816,0.637343,0.495935,0.644524,0.484321,0
366487850,0.637343,0.494774,0.642729,0.486643,0
366487883,0.680431,0.428571,0.680431,0.428571,0
366487916,0.684022,0.399535,0.684022,0.399535,0
366487949,0.70018,0.416957,0.692101,0.407665,0
366487982,0.686715,0.414634,0.690305,0.409988,0
366488016,0.690305,0.40302,0.690305,0.408827,0
366488049,0.699282,0.235772,0.692101,0.373984,0
366488082,0.699282,0.224158,0.699282,0.224158,0
366488116,0.707361,0.221835,0.707361,0.221835,0
366488149,0.710054,0.225319,0.708259,0.224158,0
366488182,0.718133,0.227642,0.711849,0.225319,0
